system,method,method_label,sparse_factor,noise,support_f1_mean,support_f1_std,coef_error_median,coef_error_mean,practical_score_mean,n_ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.0,1.0,0.0,0.004140812605797,0.004140812605797,0.9958762630162881,10
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.01,0.978974358974359,0.03396938629415104,0.0083416230065624,0.016281324303385518,0.964280100353443,10
lorenz63,edmd_poly3,EDMD-polynomial,8,0.03,0.9331410256410256,0.029724749043113716,0.019960868683718852,0.02684122621240086,0.9092872663536562,10
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.05,0.8628221288515405,0.06402380429660617,0.049413557621653545,0.09705287763691993,0.8007288867719801,10
lorenz63,edmd_poly3,EDMD-polynomial,8,0.1,0.8415476190476191,0.07024246690726658,0.0850735645765732,0.24423049744969716,0.7167619603433497,10
lorenz63,smoothing_spline_cv,Tuned smoothing spline,16,0.0,1.0,0.0,0.0300683155418973,0.0300683155418973,0.970809396728139,10
lorenz63,smoothing_spline_cv,Tuned smoothing spline,16,0.01,0.9790476190476192,0.04768249741084088,0.0311619229010851,0.03714928210872557,0.9450281435273956,10
lorenz63,edmd_poly3,EDMD-polynomial,16,0.03,0.8786842105263158,0.056921196149127946,0.031135061583782552,0.03878400628026629,0.8463355689519515,10
lorenz63,edmd_poly3,EDMD-polynomial,16,0.05,0.853218954248366,0.07585904640026109,0.06583872859973135,0.1931390737700166,0.7638001892375434,10
lorenz63,linear_interp,Linear interpolation,16,0.1,0.7741666666666667,0.08318969101612306,0.23534046492602134,0.2528420257156713,0.6222132126231383,10
lorenz63,baseline,Baseline,32,0.0,0.4,0.0,0.9111712827736356,0.9111712827736355,0.20929573586909997,10
lorenz63,baseline,Baseline,32,0.01,0.5618181818181818,0.1251237526376798,1.0782212505521627,1.1685622086116125,0.25949805340259,10
lorenz63,edmd_poly3,EDMD-polynomial,32,0.03,0.586988625409678,0.0657834204693185,1.3124526314881448,1.0226277216226292,0.3116957358355557,10
lorenz63,edmd_poly3,EDMD-polynomial,32,0.05,0.6493203597228365,0.09641818368118661,1.2896270268995829,1.1276638090092024,0.3402937837138639,10
lorenz63,linear_interp,Linear interpolation,32,0.1,0.6710812579233632,0.08215633082678638,1.240067830975811,1.404878540684573,0.30816586223416975,10
lorenz63,baseline,Baseline,64,0.0,0.6666666666666666,0.0,1.0275093730742937,1.0275093730742937,0.3288106459679672,10
lorenz63,linear_interp,Linear interpolation,64,0.01,0.6615384615384615,0.016216808513683977,1.0406666089565622,1.040637933940917,0.32418462188982683,10
lorenz63,linear_interp,Linear interpolation,64,0.03,0.6624708624708624,0.031192492724087174,1.0418208292606614,1.041782184671001,0.3244653940101343,10
lorenz63,linear_interp,Linear interpolation,64,0.05,0.6675990675990675,0.02644543575593802,1.0411530572426502,1.0410880024577278,0.3270883749255065,10
lorenz63,linear_interp,Linear interpolation,64,0.1,0.6724530371589195,0.03917047633529548,1.041489434692795,1.0413994103124378,0.32944256224869795,10
vanderpol_mu2,edmd_poly3,EDMD-polynomial,8,0.0,1.0,0.0,0.0002387748033307,0.00023877480333069998,0.9997612821964659,10
vanderpol_mu2,edmd_poly3,EDMD-polynomial,8,0.01,1.0,0.0,0.0028907148508570497,0.00254604393337304,0.9974613461711058,10
vanderpol_mu2,edmd_poly3,EDMD-polynomial,8,0.03,1.0,0.0,0.0086967181835741,0.0081919253807416,0.9918857166138109,10
