system,method,method_label,sparse_factor,noise,seed,feature,equation,coef,true_coef
lorenz63,baseline,Baseline,8,0.0,0,x,dx/dt,-9.677789885652508,-10.0
lorenz63,baseline,Baseline,8,0.0,0,x,dy/dt,24.989250094733134,28.0
lorenz63,baseline,Baseline,8,0.0,0,y,dx/dt,9.677276096483444,10.0
lorenz63,baseline,Baseline,8,0.0,0,y,dy/dt,-0.4295317208233762,-1.0
lorenz63,baseline,Baseline,8,0.0,0,z,dz/dt,-2.550689631336993,-2.6666666666666665
lorenz63,baseline,Baseline,8,0.0,0,x*y,dz/dt,0.9557017577933945,1.0
lorenz63,baseline,Baseline,8,0.0,0,x*z,dy/dt,-0.9153941576420066,-1.0
lorenz63,linear_interp,Linear interpolation,8,0.0,0,x,dx/dt,-9.971495244580142,-10.0
lorenz63,linear_interp,Linear interpolation,8,0.0,0,x,dy/dt,27.35042787194319,28.0
lorenz63,linear_interp,Linear interpolation,8,0.0,0,y,dx/dt,9.972852900919735,10.0
lorenz63,linear_interp,Linear interpolation,8,0.0,0,y,dy/dt,-0.8615853361525904,-1.0
lorenz63,linear_interp,Linear interpolation,8,0.0,0,z,dz/dt,-2.6378787315474743,-2.6666666666666665
lorenz63,linear_interp,Linear interpolation,8,0.0,0,x*y,dz/dt,0.9974094741979548,1.0
lorenz63,linear_interp,Linear interpolation,8,0.0,0,x*z,dy/dt,-0.9858063609705782,-1.0
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.0,0,x,dx/dt,-9.98771906306966,-10.0
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.0,0,x,dy/dt,27.860830752373452,28.0
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.0,0,y,dx/dt,9.98758186570949,10.0
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.0,0,y,dy/dt,-0.9726502181112164,-1.0
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.0,0,z,dz/dt,-2.6616645727797983,-2.6666666666666665
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.0,0,x*y,dz/dt,0.9981140383071344,1.0
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.0,0,x*z,dy/dt,-0.9961668515546104,-1.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.0,0,x,dx/dt,-9.987191026257099,-10.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.0,0,x,dy/dt,27.873132327422187,28.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.0,0,y,dx/dt,9.98711958863587,10.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.0,0,y,dy/dt,-0.9758660518236814,-1.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.0,0,z,dz/dt,-2.662009719183669,-2.6666666666666665
lorenz63,edmd_poly3,EDMD-polynomial,8,0.0,0,x*y,dz/dt,0.9982159250959424,1.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.0,0,x*z,dy/dt,-0.9964422586912863,-1.0
lorenz63,baseline,Baseline,8,0.1,0,1,dx/dt,-0.9275054680126023,0.0
lorenz63,baseline,Baseline,8,0.1,0,1,dy/dt,4.350550003964468,0.0
lorenz63,baseline,Baseline,8,0.1,0,1,dz/dt,-0.7106560335747881,0.0
lorenz63,baseline,Baseline,8,0.1,0,x,dx/dt,-8.800461279990621,-10.0
lorenz63,baseline,Baseline,8,0.1,0,x,dy/dt,-6.51133890813993,28.0
lorenz63,baseline,Baseline,8,0.1,0,y,dx/dt,8.964648650183662,10.0
lorenz63,baseline,Baseline,8,0.1,0,y,dy/dt,18.51703217817488,-1.0
lorenz63,baseline,Baseline,8,0.1,0,z,dz/dt,-2.450303823476247,-2.6666666666666665
lorenz63,baseline,Baseline,8,0.1,0,x*y,dz/dt,0.9415220446160706,1.0
lorenz63,baseline,Baseline,8,0.1,0,x*z,dy/dt,0.0,-1.0
lorenz63,baseline,Baseline,8,0.1,0,y*z,dy/dt,-0.5690146131675996,0.0
lorenz63,linear_interp,Linear interpolation,8,0.1,0,1,dx/dt,-0.9563094698916528,0.0
lorenz63,linear_interp,Linear interpolation,8,0.1,0,1,dy/dt,1.2690158656747803,0.0
lorenz63,linear_interp,Linear interpolation,8,0.1,0,1,dz/dt,-0.8715655593939629,0.0
lorenz63,linear_interp,Linear interpolation,8,0.1,0,x,dx/dt,-9.295786417451145,-10.0
lorenz63,linear_interp,Linear interpolation,8,0.1,0,x,dy/dt,20.72957518594438,28.0
lorenz63,linear_interp,Linear interpolation,8,0.1,0,x,dz/dt,-0.27947214312025015,0.0
lorenz63,linear_interp,Linear interpolation,8,0.1,0,y,dx/dt,9.439426746521441,10.0
lorenz63,linear_interp,Linear interpolation,8,0.1,0,y,dy/dt,2.9901205949151652,-1.0
lorenz63,linear_interp,Linear interpolation,8,0.1,0,z,dz/dt,-2.5241725324729343,-2.6666666666666665
lorenz63,linear_interp,Linear interpolation,8,0.1,0,x*y,dz/dt,0.9916956701146366,1.0
lorenz63,linear_interp,Linear interpolation,8,0.1,0,x*z,dy/dt,-0.8006127450613079,-1.0
lorenz63,linear_interp,Linear interpolation,8,0.1,0,y*z,dy/dt,-0.10905091203716057,0.0
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.1,0,1,dx/dt,0.07587556185954596,0.0
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.1,0,1,dy/dt,0.5519408033361162,0.0
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.1,0,1,dz/dt,-1.329245989440222,0.0
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.1,0,x,dx/dt,-7.559556245255909,-10.0
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.1,0,x,dy/dt,20.308923040400504,28.0
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.1,0,x,dz/dt,-0.9500399545215238,0.0
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.1,0,y,dx/dt,9.051557215993421,10.0
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.1,0,y,dy/dt,3.4080040037409054,-1.0
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.1,0,y,dz/dt,1.1441830304524545,0.0
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.1,0,z,dx/dt,-0.053842052662250395,0.0
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.1,0,z,dz/dt,-2.537535154411634,-2.6666666666666665
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.1,0,x*y,dy/dt,-0.07356830086574473,0.0
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.1,0,x*y,dz/dt,0.9978249652405504,1.0
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.1,0,x*z,dx/dt,-0.04483614834644897,0.0
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.1,0,x*z,dy/dt,-0.7803713736648977,-1.0
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.1,0,x*z,dz/dt,0.031978890365782164,0.0
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.1,0,y*y,dy/dt,0.0626044376413265,0.0
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.1,0,y*z,dy/dt,-0.12840949346859196,0.0
lorenz63,smoothing_spline_cv,Tuned smoothing spline,8,0.1,0,y*z,dz/dt,-0.0544069235292896,0.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.1,0,1,dy/dt,6.117663740842606,0.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.1,0,x,dx/dt,-9.658964738685171,-10.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.1,0,x,dy/dt,-12.502753261896457,28.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.1,0,y,dx/dt,9.741626821794641,10.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.1,0,y,dy/dt,9.201993732430346,-1.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.1,0,z,dz/dt,-2.618148793913233,-2.6666666666666665
lorenz63,edmd_poly3,EDMD-polynomial,8,0.1,0,x*y,dz/dt,0.9946900080905561,1.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.1,0,x*z,dy/dt,0.0,-1.0
lorenz63,baseline,Baseline,16,0.0,0,1,dy/dt,1.15398538213621,0.0
lorenz63,baseline,Baseline,16,0.0,0,x,dx/dt,-8.764125692559457,-10.0
lorenz63,baseline,Baseline,16,0.0,0,x,dy/dt,17.04038793587283,28.0
lorenz63,baseline,Baseline,16,0.0,0,y,dx/dt,8.765328341107837,10.0
lorenz63,baseline,Baseline,16,0.0,0,y,dy/dt,1.0838330109563648,-1.0
lorenz63,baseline,Baseline,16,0.0,0,z,dz/dt,-2.237577971171921,-2.6666666666666665
lorenz63,baseline,Baseline,16,0.0,0,x*y,dz/dt,0.8362378152307854,1.0
lorenz63,baseline,Baseline,16,0.0,0,x*z,dy/dt,-0.693486455366295,-1.0
lorenz63,linear_interp,Linear interpolation,16,0.0,0,1,dy/dt,0.6849043838654613,0.0
lorenz63,linear_interp,Linear interpolation,16,0.0,0,1,dz/dt,9.677514613000497,0.0
lorenz63,linear_interp,Linear interpolation,16,0.0,0,x,dx/dt,-9.822630710190557,-10.0
lorenz63,linear_interp,Linear interpolation,16,0.0,0,x,dy/dt,24.73332146872682,28.0
lorenz63,linear_interp,Linear interpolation,16,0.0,0,y,dx/dt,9.827495661757096,10.0
lorenz63,linear_interp,Linear interpolation,16,0.0,0,y,dy/dt,-0.2772153613434377,-1.0
lorenz63,linear_interp,Linear interpolation,16,0.0,0,z,dz/dt,-3.0989637120235614,-2.6666666666666665
lorenz63,linear_interp,Linear interpolation,16,0.0,0,x*x,dz/dt,0.1651022385916968,0.0
lorenz63,linear_interp,Linear interpolation,16,0.0,0,x*y,dz/dt,0.8726791622507053,1.0
lorenz63,linear_interp,Linear interpolation,16,0.0,0,x*z,dy/dt,-0.9249026302359639,-1.0
lorenz63,smoothing_spline_cv,Tuned smoothing spline,16,0.0,0,x,dx/dt,-9.948545920217654,-10.0
lorenz63,smoothing_spline_cv,Tuned smoothing spline,16,0.0,0,x,dy/dt,27.080970597864084,28.0
lorenz63,smoothing_spline_cv,Tuned smoothing spline,16,0.0,0,y,dx/dt,9.946904480358441,10.0
lorenz63,smoothing_spline_cv,Tuned smoothing spline,16,0.0,0,y,dy/dt,-0.7828002732264824,-1.0
lorenz63,smoothing_spline_cv,Tuned smoothing spline,16,0.0,0,z,dz/dt,-2.6373874122044296,-2.6666666666666665
lorenz63,smoothing_spline_cv,Tuned smoothing spline,16,0.0,0,x*y,dz/dt,0.989165105038231,1.0
lorenz63,smoothing_spline_cv,Tuned smoothing spline,16,0.0,0,x*z,dy/dt,-0.9766046081095802,-1.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.0,0,1,dz/dt,0.36822394591413293,0.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.0,0,x,dx/dt,-9.897053260558323,-10.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.0,0,x,dy/dt,27.91456443000884,28.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.0,0,y,dx/dt,9.899775024333374,10.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.0,0,y,dy/dt,-0.9670465175352412,-1.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.0,0,z,dz/dt,-2.651451841600296,-2.6666666666666665
lorenz63,edmd_poly3,EDMD-polynomial,16,0.0,0,x*y,dz/dt,0.988617361375627,1.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.0,0,x*z,dy/dt,-0.9979999380070084,-1.0
lorenz63,baseline,Baseline,16,0.1,0,1,dx/dt,-1.4674973605192392,0.0
lorenz63,baseline,Baseline,16,0.1,0,1,dy/dt,2.671010172056978,0.0
lorenz63,baseline,Baseline,16,0.1,0,1,dz/dt,23.401257493238113,0.0
lorenz63,baseline,Baseline,16,0.1,0,x,dx/dt,-8.0400008316462,-10.0
lorenz63,baseline,Baseline,16,0.1,0,x,dy/dt,11.445178430548097,28.0
lorenz63,baseline,Baseline,16,0.1,0,y,dx/dt,8.315538829209812,10.0
lorenz63,baseline,Baseline,16,0.1,0,y,dy/dt,4.8609109488446745,-1.0
lorenz63,baseline,Baseline,16,0.1,0,y,dz/dt,0.2429718978581797,0.0
lorenz63,baseline,Baseline,16,0.1,0,z,dz/dt,-3.7823869281395175,-2.6666666666666665
lorenz63,baseline,Baseline,16,0.1,0,x*x,dz/dt,0.6222222739927931,0.0
lorenz63,baseline,Baseline,16,0.1,0,x*y,dz/dt,0.0,1.0
lorenz63,baseline,Baseline,16,0.1,0,x*z,dy/dt,-0.5223789007415242,-1.0
lorenz63,baseline,Baseline,16,0.1,0,y*y,dz/dt,0.2904794608071433,0.0
lorenz63,baseline,Baseline,16,0.1,0,y*z,dy/dt,-0.12844356404920704,0.0
lorenz63,linear_interp,Linear interpolation,16,0.1,0,1,dx/dt,-1.5929089872550453,0.0
lorenz63,linear_interp,Linear interpolation,16,0.1,0,1,dy/dt,2.4798243178036343,0.0
lorenz63,linear_interp,Linear interpolation,16,0.1,0,1,dz/dt,10.717264220252549,0.0
lorenz63,linear_interp,Linear interpolation,16,0.1,0,x,dx/dt,-9.179167478972712,-10.0
lorenz63,linear_interp,Linear interpolation,16,0.1,0,x,dy/dt,18.132750261803366,28.0
lorenz63,linear_interp,Linear interpolation,16,0.1,0,x,dz/dt,-0.5563138386297071,0.0
lorenz63,linear_interp,Linear interpolation,16,0.1,0,y,dx/dt,9.465817121329529,10.0
lorenz63,linear_interp,Linear interpolation,16,0.1,0,y,dy/dt,4.333954455534327,-1.0
lorenz63,linear_interp,Linear interpolation,16,0.1,0,y,dz/dt,0.5321195864836067,0.0
lorenz63,linear_interp,Linear interpolation,16,0.1,0,z,dz/dt,-3.1184431467055016,-2.6666666666666665
lorenz63,linear_interp,Linear interpolation,16,0.1,0,x*x,dz/dt,0.20368147294684802,0.0
lorenz63,linear_interp,Linear interpolation,16,0.1,0,x*y,dz/dt,0.807057027086895,1.0
lorenz63,linear_interp,Linear interpolation,16,0.1,0,x*z,dy/dt,-0.7216658944572926,-1.0
lorenz63,linear_interp,Linear interpolation,16,0.1,0,y*z,dy/dt,-0.15660357043124778,0.0
lorenz63,smoothing_spline_cv,Tuned smoothing spline,16,0.1,0,1,dx/dt,1.1488003860936042,0.0
lorenz63,smoothing_spline_cv,Tuned smoothing spline,16,0.1,0,1,dz/dt,-55.05806643551072,0.0
lorenz63,smoothing_spline_cv,Tuned smoothing spline,16,0.1,0,x,dx/dt,0.0,-10.0
lorenz63,smoothing_spline_cv,Tuned smoothing spline,16,0.1,0,x,dy/dt,9.960448926500773,28.0
lorenz63,smoothing_spline_cv,Tuned smoothing spline,16,0.1,0,x,dz/dt,1.013029998476459,0.0
lorenz63,smoothing_spline_cv,Tuned smoothing spline,16,0.1,0,y,dx/dt,1.758826193580188,10.0
lorenz63,smoothing_spline_cv,Tuned smoothing spline,16,0.1,0,y,dy/dt,9.819836533787699,-1.0
lorenz63,smoothing_spline_cv,Tuned smoothing spline,16,0.1,0,y,dz/dt,-0.6835569375517611,0.0
lorenz63,smoothing_spline_cv,Tuned smoothing spline,16,0.1,0,z,dx/dt,-2.161269315548319,0.0
lorenz63,smoothing_spline_cv,Tuned smoothing spline,16,0.1,0,z,dz/dt,0.0,-2.6666666666666665
lorenz63,smoothing_spline_cv,Tuned smoothing spline,16,0.1,0,x*y,dx/dt,0.589721447826111,0.0
lorenz63,smoothing_spline_cv,Tuned smoothing spline,16,0.1,0,x*y,dz/dt,0.8578486458285826,1.0
lorenz63,smoothing_spline_cv,Tuned smoothing spline,16,0.1,0,x*z,dy/dt,-0.4882006288711227,-1.0
lorenz63,smoothing_spline_cv,Tuned smoothing spline,16,0.1,0,y*z,dy/dt,-0.3124502696916526,0.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,1,dx/dt,-1.6443732937702937,0.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,1,dy/dt,1.7904871888680047,0.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,1,dz/dt,-1.657674702168873,0.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,x,dx/dt,-9.53382751639318,-10.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,x,dy/dt,26.949449804574282,28.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,x,dz/dt,-0.5222545307498005,0.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,y,dx/dt,9.825992608283899,10.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,y,dy/dt,-0.8743567075029577,-1.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,y,dz/dt,0.4080657870882714,0.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,z,dz/dt,-2.4898807354783057,-2.6666666666666665
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,x*y,dz/dt,0.9560452272050383,1.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,x*z,dy/dt,-0.9745480990512907,-1.0
lorenz63,baseline,Baseline,32,0.0,0,1,dy/dt,-1.0753900646335102,0.0
lorenz63,baseline,Baseline,32,0.0,0,x,dx/dt,-6.1205593749075575,-10.0
lorenz63,baseline,Baseline,32,0.0,0,x,dy/dt,0.0,28.0
lorenz63,baseline,Baseline,32,0.0,0,y,dx/dt,6.123620043242218,10.0
lorenz63,baseline,Baseline,32,0.0,0,y,dy/dt,0.0,-1.0
lorenz63,baseline,Baseline,32,0.0,0,z,dz/dt,0.0,-2.6666666666666665
lorenz63,baseline,Baseline,32,0.0,0,x*y,dz/dt,0.0,1.0
lorenz63,baseline,Baseline,32,0.0,0,x*z,dy/dt,0.0,-1.0
lorenz63,linear_interp,Linear interpolation,32,0.0,0,1,dy/dt,26.85684622009392,0.0
lorenz63,linear_interp,Linear interpolation,32,0.0,0,1,dz/dt,70.04894289406727,0.0
lorenz63,linear_interp,Linear interpolation,32,0.0,0,x,dx/dt,-8.644169649728592,-10.0
lorenz63,linear_interp,Linear interpolation,32,0.0,0,x,dy/dt,0.0,28.0
lorenz63,linear_interp,Linear interpolation,32,0.0,0,y,dx/dt,8.648873786584042,10.0
lorenz63,linear_interp,Linear interpolation,32,0.0,0,y,dy/dt,0.0,-1.0
lorenz63,linear_interp,Linear interpolation,32,0.0,0,z,dy/dt,-1.1897575252262467,0.0
lorenz63,linear_interp,Linear interpolation,32,0.0,0,z,dz/dt,-5.888080028006994,-2.6666666666666665
lorenz63,linear_interp,Linear interpolation,32,0.0,0,x*x,dz/dt,1.2017545714775952,0.0
