system,method,method_label,sparse_factor,noise,support_f1_mean,support_f1_std,coef_error_median,coef_error_mean,practical_score_mean,n_ok
advection_diffusion,pod_edmd_rbf,POD-EDMD-RBF,4,0.0,1.0,0.0,7.984938949354652e-06,7.989686624611876e-06,0.9999920103772115,8
advection_diffusion,pod_edmd_rbf,POD-EDMD-RBF,4,0.01,0.8916666666666666,0.15507294750413125,0.0042026401793115,0.009120278043874237,0.8846362368025166,8
advection_diffusion,pod_edmd_rbf,POD-EDMD-RBF,4,0.03,0.6666666666666666,0.0,0.0224748040304016,0.022219066479579212,0.6521763945946324,8
advection_diffusion,smoothing_spline_cv,Tuned smoothing spline,4,0.05,0.6666666666666666,0.0,0.02056887806811055,0.021715321866655875,0.6525001636877549,8
advection_diffusion,smoothing_spline_cv,Tuned smoothing spline,4,0.1,0.6666666666666666,0.0,0.05665936125455735,0.05582525573553911,0.6314489050185493,8
advection_diffusion,pod_edmd_rbf,POD-EDMD-RBF,8,0.0,1.0,0.0,3.2153309285704004e-05,3.215653568225828e-05,0.9999678444983279,8
advection_diffusion,pod_edmd_rbf,POD-EDMD-RBF,8,0.01,0.6666666666666666,0.0,0.020153099436510398,0.020169944285585276,0.6534858948455242,8
advection_diffusion,smoothing_spline_cv,Tuned smoothing spline,8,0.03,0.6666666666666666,0.0,0.02087577994238985,0.020885991064364586,0.653027688251873,8
advection_diffusion,smoothing_spline_cv,Tuned smoothing spline,8,0.05,0.6666666666666666,0.0,0.03314064394251625,0.03199625780763521,0.6460012595733472,8
advection_diffusion,smoothing_spline_cv,Tuned smoothing spline,8,0.1,0.6666666666666666,0.0,0.13201908361183595,0.12617852573700292,0.5920887079999807,8
advection_diffusion,linear_interp,Linear interpolation,16,0.0,1.0,0.0,0.0001234257140414,0.0001234257140414,0.9998765895179854,8
advection_diffusion,smoothing_spline_cv,Tuned smoothing spline,16,0.01,0.6666666666666666,0.0,0.02001884218935775,0.020052396979196002,0.6535612001711075,8
advection_diffusion,smoothing_spline_cv,Tuned smoothing spline,16,0.03,0.6666666666666666,0.0,0.024102626325979398,0.02503905537571825,0.6503905137906312,8
advection_diffusion,smoothing_spline_cv,Tuned smoothing spline,16,0.05,0.6666666666666666,0.0,0.06944285729724725,0.06796289353733764,0.6242597326285234,8
advection_diffusion,smoothing_spline_cv,Tuned smoothing spline,16,0.1,0.6124999999999999,0.10379696297970148,0.2285260450372014,0.2785760615932795,0.48848128575358923,8
advection_diffusion,linear_interp,Linear interpolation,32,0.0,1.0,0.0,0.0004542369070695,0.0004542369070695,0.9995459693304174,8
advection_diffusion,pod_edmd_rbf,POD-EDMD-RBF,32,0.01,0.6666666666666666,0.0,0.024865130204760402,0.024905189049818602,0.6504670459765891,8
advection_diffusion,smoothing_spline_cv,Tuned smoothing spline,32,0.03,0.6666666666666666,0.0,0.0462715621413599,0.04934880342903696,0.6353753918485289,8
advection_diffusion,smoothing_spline_cv,Tuned smoothing spline,32,0.05,0.6666666666666666,0.0,0.1176316488802127,0.11718355621476076,0.5968478318778045,8
advection_diffusion,baseline,Baseline,32,0.1,0.6666666666666666,0.0,0.6765280602664542,0.6791578253989203,0.3970315939361061,8
burgers,smoothing_spline_cv,Tuned smoothing spline,4,0.0,1.0,0.0,2.366379628218958e-05,2.3711402577621837e-05,0.999976289159667,8
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.01,1.0,0.0,0.01587035903844355,0.016054652972056986,0.9842023861108827,8
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.03,0.75,0.15430334996209194,0.16706618441156285,0.14671457251400588,0.6589075882991807,8
burgers,smoothing_spline_cv,Tuned smoothing spline,4,0.05,0.6666666666666666,0.0,0.1640102175249762,0.16451582721684244,0.5724862813175045,8
burgers,smoothing_spline_cv,Tuned smoothing spline,4,0.1,0.6666666666666666,0.0,0.22492631862009738,0.22310059999223464,0.5450797856258529,8
burgers,smoothing_spline_cv,Tuned smoothing spline,8,0.0,1.0,0.0,9.493796283191038e-05,9.493796283191038e-05,0.9999050710495292,8
burgers,pod_edmd_rbf,POD-EDMD-RBF,8,0.01,1.0,0.0,0.0271183287975282,0.02752839728435101,0.973213903385166,8
burgers,smoothing_spline_cv,Tuned smoothing spline,8,0.03,0.6666666666666666,0.0,0.1584221017649336,0.15924694195076622,0.5750897389768385,8
burgers,smoothing_spline_cv,Tuned smoothing spline,8,0.05,0.6666666666666666,0.0,0.18326416570925455,0.18289164060078153,0.5636006265154851,8
burgers,smoothing_spline_cv,Tuned smoothing spline,8,0.1,0.6666666666666666,0.0,0.2769833237081551,0.27956527720711605,0.521152373453972,8
burgers,smoothing_spline_cv,Tuned smoothing spline,16,0.0,1.0,0.0,0.000379903277975,0.000379903277975,0.9996202409937164,8
burgers,pod_edmd_rbf,POD-EDMD-RBF,16,0.01,1.0,0.0,0.03879585041476835,0.03949140695260736,0.9620150086456661,8
burgers,smoothing_spline_cv,Tuned smoothing spline,16,0.03,0.6666666666666666,0.0,0.16941425137446994,0.16958156119268544,0.5700070640615817,8
burgers,smoothing_spline_cv,Tuned smoothing spline,16,0.05,0.6666666666666666,0.0,0.21903971914193995,0.2166427900941525,0.5479979206791764,8
burgers,smoothing_spline_cv,Tuned smoothing spline,16,0.1,0.6666666666666666,0.0,0.37446304554778576,0.37520495401299336,0.4850023826625969,8
burgers,smoothing_spline_cv,Tuned smoothing spline,32,0.0,1.0,0.0,0.0015827062329901,0.0015827062329901,0.9984197947676804,8
burgers,pod_edmd_rbf,POD-EDMD-RBF,32,0.01,0.6666666666666666,0.0,0.1341015073563199,0.1336266665604233,0.5880854951599631,8
burgers,pod_edmd_rbf,POD-EDMD-RBF,32,0.03,0.6666666666666666,0.0,0.23518693825796316,0.2356379457877247,0.5395580413896625,8
burgers,smoothing_spline_cv,Tuned smoothing spline,32,0.05,0.6666666666666666,0.0,0.25158384561654284,0.2647019126729978,0.5274050091586386,8
burgers,smoothing_spline_cv,Tuned smoothing spline,32,0.1,0.6666666666666666,0.0,0.470058877131188,0.4629152248702837,0.455861222095588,8
fisher_kpp,linear_interp,Linear interpolation,4,0.0,1.0,0.0,1.3178258209648726e-05,1.2871568470355608e-05,0.9999871286003069,8
