system,method,support_f1_mean,coef_error_median,practical_score_mean,method_label
advection_diffusion,baseline,0.6950000000000001,0.16779766643105498,0.5925874989020368,Baseline
advection_diffusion,linear_interp,0.7015277777777778,0.1178181288732669,0.6153088921942821,Linear interpolation
advection_diffusion,pod_edmd_rbf,0.7182638888888888,0.02654467038813945,0.6775229938296045,POD-EDMD-RBF
advection_diffusion,smoothing_spline_cv,0.7217361111111111,0.0243289839623504,0.6872154218682109,Tuned smoothing spline
burgers,baseline,0.7302083333333333,0.2976387412717845,0.5799631964165635,Baseline
burgers,linear_interp,0.7322916666666666,0.25177837827187344,0.597603226877122,Linear interpolation
burgers,pod_edmd_rbf,0.7708333333333333,0.19697300554164793,0.6715105750536222,POD-EDMD-RBF
burgers,smoothing_spline_cv,0.7523611111111111,0.16535850085922635,0.6613657885909985,Tuned smoothing spline
fisher_kpp,baseline,0.8369805194805195,0.038533166894558296,0.8099015259563724,Baseline
fisher_kpp,linear_interp,0.8385714285714286,0.03914282628902515,0.8120509577224352,Linear interpolation
fisher_kpp,pod_edmd_rbf,0.83495670995671,0.0373367504287182,0.788514166858246,POD-EDMD-RBF
fisher_kpp,smoothing_spline_cv,0.8569642857142858,0.0418640114176844,0.8306751006392542,Tuned smoothing spline
