system,method,method_label,sparse_factor,noise,seed,feature,coef,true_coef
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.0,0,u*u_x,-0.9976945770300126,-1.0
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.0,0,u_xx,0.0496592665953238,0.05
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.1,0,u*u_x,-0.7131542311208227,-1.0
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.1,0,u_xx,0.0,0.05
burgers,pod_edmd_rbf,POD-EDMD-RBF,8,0.0,0,u*u_x,-0.9978261916160056,-1.0
burgers,pod_edmd_rbf,POD-EDMD-RBF,8,0.0,0,u_xx,0.0497868214729342,0.05
burgers,pod_edmd_rbf,POD-EDMD-RBF,8,0.1,0,u*u_x,-0.633615399267238,-1.0
burgers,pod_edmd_rbf,POD-EDMD-RBF,8,0.1,0,u_xx,0.0,0.05
burgers,pod_edmd_rbf,POD-EDMD-RBF,16,0.0,0,u*u_x,-0.991958032161618,-1.0
burgers,pod_edmd_rbf,POD-EDMD-RBF,16,0.0,0,u_xx,0.0498796678185059,0.05
burgers,pod_edmd_rbf,POD-EDMD-RBF,16,0.1,0,u*u_x,-0.5538380196672412,-1.0
burgers,pod_edmd_rbf,POD-EDMD-RBF,16,0.1,0,u_xx,0.0,0.05
burgers,pod_edmd_rbf,POD-EDMD-RBF,32,0.0,0,u_x,0.0334571387394828,0.0
burgers,pod_edmd_rbf,POD-EDMD-RBF,32,0.0,0,u*u_x,-0.9426428102745495,-1.0
burgers,pod_edmd_rbf,POD-EDMD-RBF,32,0.0,0,u^2*u_x,-0.0773753697035195,0.0
burgers,pod_edmd_rbf,POD-EDMD-RBF,32,0.0,0,u_xx,0.0495576717472341,0.05
burgers,pod_edmd_rbf,POD-EDMD-RBF,32,0.1,0,u*u_x,-0.5915240481596545,-1.0
burgers,pod_edmd_rbf,POD-EDMD-RBF,32,0.1,0,u_xx,0.0,0.05
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,4,0.0,0,u,1.0002691109040074,1.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,4,0.0,0,u^2,-1.0005420164959271,-1.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,4,0.0,0,u_xx,0.0296158845641072,0.03
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,4,0.1,0,u,1.0044580094216744,1.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,4,0.1,0,u^2,-1.0048658477810002,-1.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,4,0.1,0,u_xx,0.0,0.03
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,8,0.0,0,u,1.0002539229189642,1.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,8,0.0,0,u^2,-1.0005178673604984,-1.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,8,0.0,0,u_xx,0.0296413190235232,0.03
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,8,0.1,0,1,0.132589363149225,0.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,8,0.1,0,u,0.3198277801959829,1.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,8,0.1,0,u^2,-0.2596891269232601,-1.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,8,0.1,0,u_xx,0.0,0.03
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,16,0.0,0,u,1.0000114244857408,1.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,16,0.0,0,u^2,-1.0000395380098432,-1.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,16,0.0,0,u_xx,0.0299624583453733,0.03
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,16,0.1,0,1,0.1502148687040966,0.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,16,0.1,0,u,0.2491971617705747,1.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,16,0.1,0,u^2,-0.1821865684084435,-1.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,16,0.1,0,u_xx,0.0,0.03
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,32,0.0,0,u,0.999913645376176,1.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,32,0.0,0,u^2,-0.9998987938358112,-1.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,32,0.0,0,u_xx,0.0299999851934916,0.03
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,32,0.1,0,1,0.1637507757225396,0.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,32,0.1,0,u,0.1271902391289519,1.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,32,0.1,0,u^2,0.0091781409291061,-1.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,32,0.1,0,u_x,-0.0115378145433025,0.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,32,0.1,0,u*u_x,0.0931373500166025,0.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,32,0.1,0,u^2*u_x,-0.1223826280024863,0.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,32,0.1,0,u_xx,0.0018202703763027,0.03
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,32,0.1,0,u*u_xx,-0.0039587861977152,0.0
advection_diffusion,pod_edmd_rbf,POD-EDMD-RBF,4,0.0,0,u_x,-0.9999920860171644,-1.0
advection_diffusion,pod_edmd_rbf,POD-EDMD-RBF,4,0.0,0,u_xx,0.0199990994117257,0.02
advection_diffusion,pod_edmd_rbf,POD-EDMD-RBF,4,0.1,0,u_x,-0.9091995178231916,-1.0
advection_diffusion,pod_edmd_rbf,POD-EDMD-RBF,4,0.1,0,u_xx,0.0,0.02
advection_diffusion,pod_edmd_rbf,POD-EDMD-RBF,8,0.0,0,u_x,-0.999968047289334,-1.0
