system,method,method_label,sparse_factor,obs_dt,noise,seed,upsample,pod_rank,rank_mode,rank_cv_error,rank_cv_folds,rank_grid,spline_alpha,spline_cv_error,spline_cv_folds,support_f1,coef_error,practical_score,threshold,status,gp_kernel,gp_cv_error,gp_cv_folds,gp_cv_spatial_points
burgers,baseline,Baseline,4,0.02,0.0,0,1,0,cv,,0,"1,2,3,4,6,8",,,0,1.0,0.0005922402086964,0.999408110332164,0.0001,ok,,,,
burgers,linear_interp,Linear interpolation,4,0.02,0.0,0,5,0,cv,,0,"1,2,3,4,6,8",,,0,1.0,2.3489554938459624e-05,0.9999765109968076,3e-05,ok,,,,
burgers,smoothing_spline_cv,Tuned smoothing spline,4,0.02,0.0,0,5,0,cv,,0,"1,2,3,4,6,8",0.0,1.6247988068286846e-11,4,1.0,2.395858730003433e-05,0.9999760419867,1e-05,ok,,,,
burgers,baseline,Baseline,4,0.02,0.0,1,1,0,cv,,0,"1,2,3,4,6,8",,,0,1.0,0.0005922402086964,0.999408110332164,0.0001,ok,,,,
burgers,linear_interp,Linear interpolation,4,0.02,0.0,1,5,0,cv,,0,"1,2,3,4,6,8",,,0,1.0,2.4703327772944712e-05,0.9999752972824664,0.0001,ok,,,,
burgers,smoothing_spline_cv,Tuned smoothing spline,4,0.02,0.0,1,5,0,cv,,0,"1,2,3,4,6,8",0.0,1.6247988068286846e-11,4,1.0,2.3697949196022387e-05,0.9999763026123832,1e-05,ok,,,,
burgers,baseline,Baseline,4,0.02,0.0,2,1,0,cv,,0,"1,2,3,4,6,8",,,0,1.0,0.0005922402086964,0.999408110332164,0.0001,ok,,,,
burgers,linear_interp,Linear interpolation,4,0.02,0.0,2,5,0,cv,,0,"1,2,3,4,6,8",,,0,1.0,4.738566372888972e-05,0.999952616581566,0.0001,ok,,,,
burgers,smoothing_spline_cv,Tuned smoothing spline,4,0.02,0.0,2,5,0,cv,,0,"1,2,3,4,6,8",0.0,1.6247988068286846e-11,4,1.0,2.3939141252252207e-05,0.9999760614318166,1e-05,ok,,,,
burgers,baseline,Baseline,4,0.02,0.0,3,1,0,cv,,0,"1,2,3,4,6,8",,,0,1.0,0.0005922402086964,0.999408110332164,0.0001,ok,,,,
burgers,linear_interp,Linear interpolation,4,0.02,0.0,3,5,0,cv,,0,"1,2,3,4,6,8",,,0,1.0,2.8017899593214296e-05,0.9999719828853876,0.0001,ok,,,,
