system,method,method_label,sparse_factor,noise,support_f1_mean,support_f1_std,coef_error_median,coef_error_mean,practical_score_mean,n_ok
advection_diffusion,baseline,Baseline,4,0.0,1.0,0.0,0.0002013512241555,0.0002013512241555,0.9997986893099984,8
advection_diffusion,baseline,Baseline,4,0.01,0.6666666666666666,0.0,0.02951456034694515,0.029476909578105323,0.6475781423693413,8
advection_diffusion,baseline,Baseline,4,0.03,0.6666666666666666,0.0,0.16502899455606207,0.16425054212495144,0.572629255158058,8
advection_diffusion,baseline,Baseline,4,0.05,0.5416666666666666,0.07715167498104591,0.386418926016196,0.38430203210316255,0.39244555493229794,8
advection_diffusion,baseline,Baseline,4,0.1,0.525,0.12440333788202979,0.6805976898985289,0.6777273511974612,0.31341830660791603,8
advection_diffusion,baseline,Baseline,8,0.0,1.0,0.0,0.0008049859231063,0.0008049859231063,0.9991956615580168,8
advection_diffusion,baseline,Baseline,8,0.01,0.6666666666666666,0.0,0.0297644424540648,0.029722950375493964,0.6474239184529137,8
advection_diffusion,baseline,Baseline,8,0.03,0.6666666666666666,0.0,0.16679161121788566,0.16572847137448538,0.5718962160497816,8
advection_diffusion,baseline,Baseline,8,0.05,0.5833333333333333,0.08908708063747477,0.36853860616863177,0.37118390743025476,0.4267709602475282,8
advection_diffusion,baseline,Baseline,8,0.1,0.6041666666666666,0.08625819491779424,0.6498597065604579,0.6552339026459254,0.3644104357736197,8
advection_diffusion,baseline,Baseline,16,0.0,1.0,0.0,0.003214628511957,0.003214628511957,0.9967956722115136,8
advection_diffusion,baseline,Baseline,16,0.01,0.6666666666666666,0.0,0.03099056031888575,0.031027208495230586,0.6466046000180237,8
advection_diffusion,baseline,Baseline,16,0.03,0.6666666666666666,0.0,0.166375343683293,0.1699370514528823,0.5698654779014503,8
advection_diffusion,baseline,Baseline,16,0.05,0.5833333333333333,0.08908708063747477,0.3715044961306473,0.37465819218572216,0.425459195818552,8
advection_diffusion,baseline,Baseline,16,0.1,0.5458333333333333,0.13325890779957827,0.6903733455766505,0.6909303759447998,0.32354696803659205,8
advection_diffusion,baseline,Baseline,32,0.0,1.0,0.0,0.0127910098037655,0.0127910098037655,0.9873705338219344,8
advection_diffusion,baseline,Baseline,32,0.01,0.6666666666666666,0.0,0.03924012947505125,0.0387370721329495,0.6418066412229009,8
advection_diffusion,baseline,Baseline,32,0.03,0.6666666666666666,0.0,0.17196582055685214,0.17480703697850478,0.5674829121393254,8
advection_diffusion,baseline,Baseline,32,0.05,0.5166666666666666,0.10235326314383178,0.3942239453418419,0.4614876747628633,0.36021924247486375,8
advection_diffusion,baseline,Baseline,32,0.1,0.6666666666666666,0.0,0.6765280602664542,0.6791578253989203,0.3970315939361061,8
advection_diffusion,linear_interp,Linear interpolation,4,0.0,1.0,0.0,9.097421256037746e-06,1.08494047110764e-05,0.9999891507728712,8
advection_diffusion,linear_interp,Linear interpolation,4,0.01,0.6666666666666666,0.0,0.0248121151447548,0.02487922557056875,0.6504832401537867,8
advection_diffusion,linear_interp,Linear interpolation,4,0.03,0.6666666666666666,0.0,0.117076187596518,0.11765943755271581,0.5965048146126176,8
advection_diffusion,linear_interp,Linear interpolation,4,0.05,0.6041666666666666,0.08625819491779423,0.27463980433488594,0.2979830618643913,0.46823221879369664,8
advection_diffusion,linear_interp,Linear interpolation,4,0.1,0.5638888888888889,0.11435734087033826,0.6099861614964823,0.6380659520751855,0.34724532871316727,8
advection_diffusion,linear_interp,Linear interpolation,8,0.0,1.0,0.0,3.294990594468314e-05,3.294990594468314e-05,0.999967051179716,8
advection_diffusion,linear_interp,Linear interpolation,8,0.01,0.6666666666666666,0.0,0.02455925905240315,0.024663473442292274,0.6506204931808189,8
advection_diffusion,linear_interp,Linear interpolation,8,0.03,0.6666666666666666,0.0,0.11851202847700545,0.11813082074489742,0.5962437490404239,8
advection_diffusion,linear_interp,Linear interpolation,8,0.05,0.625,0.07715167498104594,0.26988093170379224,0.2856300592108891,0.4881516533987973,8
advection_diffusion,linear_interp,Linear interpolation,8,0.1,0.5625,0.08625819491779425,0.5661427388436572,0.5677142664027948,0.3586102278817924,8
advection_diffusion,linear_interp,Linear interpolation,16,0.0,1.0,0.0,0.0001234257140414,0.0001234257140414,0.9998765895179854,8
advection_diffusion,linear_interp,Linear interpolation,16,0.01,0.6666666666666666,0.0,0.0243028934147146,0.024307510937195936,0.6508463011593304,8
advection_diffusion,linear_interp,Linear interpolation,16,0.03,0.6666666666666666,0.0,0.11964872786905381,0.12183500630198324,0.594283526596353,8
advection_diffusion,linear_interp,Linear interpolation,16,0.05,0.625,0.07715167498104594,0.2761894309951828,0.2942344916364217,0.4846059949181074,8
advection_diffusion,linear_interp,Linear interpolation,16,0.1,0.5416666666666666,0.07715167498104596,0.5724759141629877,0.5707689774176183,0.3444180173838389,8
advection_diffusion,linear_interp,Linear interpolation,32,0.0,1.0,0.0,0.0004542369070695,0.0004542369070695,0.9995459693304174,8
advection_diffusion,linear_interp,Linear interpolation,32,0.01,0.6666666666666666,0.0,0.0254637846067962,0.025177844361794887,0.6502942339994773,8
advection_diffusion,linear_interp,Linear interpolation,32,0.03,0.6666666666666666,0.0,0.1184031033126409,0.1194134784921658,0.5955602783013784,8
advection_diffusion,linear_interp,Linear interpolation,32,0.05,0.6124999999999999,0.10379696297970148,0.27489504019983546,0.3256699057594128,0.47124857159640765,8
advection_diffusion,linear_interp,Linear interpolation,32,0.1,0.5625,0.08625819491779425,0.5597677580021502,0.5622035812917594,0.35945043335465765,8
advection_diffusion,pod_edmd_rbf,POD-EDMD-RBF,4,0.0,1.0,0.0,7.984938949354652e-06,7.989686624611876e-06,0.9999920103772115,8
advection_diffusion,pod_edmd_rbf,POD-EDMD-RBF,4,0.01,0.8916666666666666,0.15507294750413125,0.0042026401793115,0.009120278043874237,0.8846362368025166,8
advection_diffusion,pod_edmd_rbf,POD-EDMD-RBF,4,0.03,0.6666666666666666,0.0,0.0224748040304016,0.022219066479579212,0.6521763945946324,8
advection_diffusion,pod_edmd_rbf,POD-EDMD-RBF,4,0.05,0.6666666666666666,0.0,0.03149617820108905,0.03382887154771534,0.6448896923008989,8
advection_diffusion,pod_edmd_rbf,POD-EDMD-RBF,4,0.1,0.6666666666666666,0.0,0.10454560464672924,0.10326658205962118,0.6043594715400304,8
advection_diffusion,pod_edmd_rbf,POD-EDMD-RBF,8,0.0,1.0,0.0,3.2153309285704004e-05,3.215653568225828e-05,0.9999678444983279,8
advection_diffusion,pod_edmd_rbf,POD-EDMD-RBF,8,0.01,0.6666666666666666,0.0,0.020153099436510398,0.020169944285585276,0.6534858948455242,8
advection_diffusion,pod_edmd_rbf,POD-EDMD-RBF,8,0.03,0.6666666666666666,0.0,0.02594318820662745,0.025977132758734662,0.6497892897202628,8
advection_diffusion,pod_edmd_rbf,POD-EDMD-RBF,8,0.05,0.6666666666666666,0.0,0.06009091392966085,0.059383751781393046,0.6293025129648242,8
advection_diffusion,pod_edmd_rbf,POD-EDMD-RBF,8,0.1,0.6666666666666666,0.0,0.16395730878030618,0.1665277837846962,0.5716860919553168,8
advection_diffusion,pod_edmd_rbf,POD-EDMD-RBF,16,0.0,1.0,0.0,0.00012865060179305,0.0001286508915642875,0.9998713656573586,8
advection_diffusion,pod_edmd_rbf,POD-EDMD-RBF,16,0.01,0.6666666666666666,0.0,0.02041286548878015,0.020699722756610736,0.6531470330752108,8
advection_diffusion,pod_edmd_rbf,POD-EDMD-RBF,16,0.03,0.6666666666666666,0.0,0.04282024665460535,0.043542814042494576,0.6388573110204527,8
advection_diffusion,pod_edmd_rbf,POD-EDMD-RBF,16,0.05,0.6666666666666666,0.0,0.0979416235655757,0.10818137952335263,0.6020540522782475,8
advection_diffusion,pod_edmd_rbf,POD-EDMD-RBF,16,0.1,0.6124999999999999,0.10379696297970148,0.2609149108235199,0.3030850301694552,0.4775422434374748,8
advection_diffusion,pod_edmd_rbf,POD-EDMD-RBF,32,0.0,0.6666666666666666,0.0,0.021991758125404798,0.0219917582482963,0.6523209813446438,8
advection_diffusion,pod_edmd_rbf,POD-EDMD-RBF,32,0.01,0.6666666666666666,0.0,0.024865130204760402,0.024905189049818602,0.6504670459765891,8
advection_diffusion,pod_edmd_rbf,POD-EDMD-RBF,32,0.03,0.6666666666666666,0.0,0.061892786261199303,0.0620815521845218,0.6277600989422484,8
