system,method,method_label,sparse_factor,obs_dt,noise,seed,upsample,pod_rank,rank_mode,rank_cv_error,rank_cv_folds,rank_grid,spline_alpha,spline_cv_error,spline_cv_folds,gp_kernel,gp_cv_error,gp_cv_folds,gp_cv_spatial_points,support_f1,coef_error,practical_score,threshold,status
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.0,0,5,8,cv,3.921302477593238e-05,3,"1,2,3,4,6,8",,,0,,,0,0,1.0,0.0023275589138331606,0.9976778460363243,0.003,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.0,1,5,8,cv,3.9209042089855964e-05,3,"1,2,3,4,6,8",,,0,,,0,0,1.0,0.0023258070424802954,0.9976795897839417,0.003,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.0,2,5,8,cv,3.920898688822822e-05,3,"1,2,3,4,6,8",,,0,,,0,0,1.0,0.0025423899598166506,0.9974640573952004,0.003,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.0,3,5,8,cv,3.92088798902222e-05,3,"1,2,3,4,6,8",,,0,,,0,0,1.0,0.002474745258775616,0.9975313639864944,0.003,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.0,4,5,8,cv,3.92145339256939e-05,3,"1,2,3,4,6,8",,,0,,,0,0,1.0,0.002447784723564667,0.997558192296031,0.003,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.0,5,5,8,cv,3.9213821123174635e-05,3,"1,2,3,4,6,8",,,0,,,0,0,1.0,0.0023823554377318417,0.9976233066904979,0.003,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.0,6,5,8,cv,3.921228936041804e-05,3,"1,2,3,4,6,8",,,0,,,0,0,1.0,0.0023335738717491193,0.997671859017218,0.003,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.0,7,5,8,cv,3.920843088334752e-05,3,"1,2,3,4,6,8",,,0,,,0,0,1.0,0.0021604024924854483,0.9978442547848505,0.003,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.01,0,5,8,cv,0.006515883143282306,3,"1,2,3,4,6,8",,,0,,,0,0,1.0,0.013788659133171136,0.986398882046125,0.01,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.01,1,5,8,cv,0.006951140291347365,3,"1,2,3,4,6,8",,,0,,,0,0,1.0,0.013821179123080462,0.9863672416717164,0.01,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.01,2,5,8,cv,0.007233101908891536,3,"1,2,3,4,6,8",,,0,,,0,0,1.0,0.015996464909675188,0.9842553931414543,0.01,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.01,3,5,8,cv,0.006621374247074471,3,"1,2,3,4,6,8",,,0,,,0,0,1.0,0.014386837551531874,0.9858172079733822,0.01,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.01,4,5,8,cv,0.005855191730387295,3,"1,2,3,4,6,8",,,0,,,0,0,1.0,0.017433385302561805,0.9828653300015533,0.01,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.01,5,5,8,cv,0.0063761056007989965,3,"1,2,3,4,6,8",,,0,,,0,0,1.0,0.018614166485486257,0.9817259889976688,0.01,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.01,6,5,8,cv,0.006092962607597073,3,"1,2,3,4,6,8",,,0,,,0,0,1.0,0.01574425316721205,0.9844997861241945,0.01,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.01,7,5,8,cv,0.0061905053172194545,3,"1,2,3,4,6,8",,,0,,,0,0,1.0,0.018652278103737565,0.9816892589309676,0.01,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.03,0,5,6,cv,0.038773422178710465,3,"1,2,3,4,6,8",,,0,,,0,0,0.6666666666666666,0.16819407690505167,0.5706814302918709,0.1,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.03,1,5,6,cv,0.03794375378002951,3,"1,2,3,4,6,8",,,0,,,0,0,0.6666666666666666,0.1659415792579291,0.5717839371428635,0.1,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.03,2,5,6,cv,0.04003984475401146,3,"1,2,3,4,6,8",,,0,,,0,0,1.0,0.06990469227937092,0.9346626921221899,0.03,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.03,3,5,6,cv,0.03908937669619886,3,"1,2,3,4,6,8",,,0,,,0,0,0.6666666666666666,0.1680886178791878,0.5707329533585251,0.1,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.03,4,5,6,cv,0.03532531129966896,3,"1,2,3,4,6,8",,,0,,,0,0,0.6666666666666666,0.16905548788000527,0.5702609273710496,0.1,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.03,5,5,6,cv,0.03601804294989724,3,"1,2,3,4,6,8",,,0,,,0,0,0.6666666666666666,0.16884089042851316,0.5703656264303496,0.1,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.03,6,5,4,cv,0.03923829654201249,3,"1,2,3,4,6,8",,,0,,,0,0,1.0,0.09764748453805143,0.9110393036803188,0.03,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.03,7,5,6,cv,0.04052958730155806,3,"1,2,3,4,6,8",,,0,,,0,0,0.6666666666666666,0.16604375094393795,0.5717338359962784,0.1,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.05,0,5,4,cv,0.07344198054744684,3,"1,2,3,4,6,8",,,0,,,0,0,0.6666666666666666,0.21383548200497665,0.5492232485785362,0.1,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.05,1,5,4,cv,0.07894098585487859,3,"1,2,3,4,6,8",,,0,,,0,0,0.6666666666666666,0.24615251279724307,0.5349799962848829,0.1,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.05,2,5,4,cv,0.07747424410270382,3,"1,2,3,4,6,8",,,0,,,0,0,0.6666666666666666,0.20754924741517358,0.55208238346693,0.1,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.05,3,5,4,cv,0.07191901371444966,3,"1,2,3,4,6,8",,,0,,,0,0,0.6666666666666666,0.20654160957742748,0.5525434526043045,0.1,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.05,4,5,4,cv,0.0761152621773089,3,"1,2,3,4,6,8",,,0,,,0,0,0.6666666666666666,0.19687718383190772,0.5570050759362583,0.1,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.05,5,5,4,cv,0.07436360749990313,3,"1,2,3,4,6,8",,,0,,,0,0,0.6666666666666666,0.1955989829590673,0.5576005635407024,0.1,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.05,6,5,4,cv,0.07306433271851388,3,"1,2,3,4,6,8",,,0,,,0,0,0.6666666666666666,0.1864430250668936,0.5619036503072525,0.1,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.05,7,5,4,cv,0.07798465652191998,3,"1,2,3,4,6,8",,,0,,,0,0,0.6666666666666666,0.2026127043424889,0.554348598064376,0.1,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.1,0,5,3,cv,0.18586905566181733,3,"1,2,3,4,6,8",,,0,,,0,0,0.6666666666666666,0.2908076210190845,0.5164725213973694,0.1,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.1,1,5,3,cv,0.18730800986950213,3,"1,2,3,4,6,8",,,0,,,0,0,0.6666666666666666,0.3232354478402285,0.5038156042107195,0.1,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.1,2,5,3,cv,0.18777374946861056,3,"1,2,3,4,6,8",,,0,,,0,0,0.6666666666666666,0.30334703742490055,0.5115035731264937,0.1,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.1,3,5,4,cv,0.19569939089146215,3,"1,2,3,4,6,8",,,0,,,0,0,0.6666666666666666,0.2667580574375505,0.5262778182088117,0.1,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.1,4,5,3,cv,0.1889964507886357,3,"1,2,3,4,6,8",,,0,,,0,0,0.6666666666666666,0.3061019212416997,0.5104246887814639,0.1,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.1,5,5,3,cv,0.1847548112182175,3,"1,2,3,4,6,8",,,0,,,0,0,0.6666666666666666,0.3133361152073669,0.5076131379828875,0.1,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.1,6,5,3,cv,0.1843813165145202,3,"1,2,3,4,6,8",,,0,,,0,0,0.6666666666666666,0.3042144867521967,0.5111633657181839,0.1,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.1,7,5,3,cv,0.187099963281971,3,"1,2,3,4,6,8",,,0,,,0,0,0.6666666666666666,0.33627293758971794,0.49890007341550785,0.1,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,8,0.04,0.0,0,5,8,cv,4.072450661187087e-05,3,"1,2,3,4,6,8",,,0,,,0,0,1.0,0.002181511058528021,0.9978232375727788,0.003,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,8,0.04,0.0,1,5,8,cv,4.073618369059308e-05,3,"1,2,3,4,6,8",,,0,,,0,0,1.0,0.0021814836620688486,0.9978232648500973,0.003,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,8,0.04,0.0,2,5,8,cv,4.0723340462472264e-05,3,"1,2,3,4,6,8",,,0,,,0,0,1.0,0.0021814871289357373,0.9978232613983068,0.003,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,8,0.04,0.0,3,5,8,cv,4.0732398851235916e-05,3,"1,2,3,4,6,8",,,0,,,0,0,1.0,0.002181484574930959,0.9978232639412049,0.003,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,8,0.04,0.0,4,5,8,cv,4.072982321770516e-05,3,"1,2,3,4,6,8",,,0,,,0,0,1.0,0.0021814422283877094,0.9978233061035963,0.003,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,8,0.04,0.0,5,5,8,cv,4.074425920880346e-05,3,"1,2,3,4,6,8",,,0,,,0,0,1.0,0.002181405325307255,0.9978233428461993,0.003,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,8,0.04,0.0,6,5,8,cv,4.072480461409095e-05,3,"1,2,3,4,6,8",,,0,,,0,0,1.0,0.0021815418837462185,0.9978232068816137,0.003,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,8,0.04,0.0,7,5,8,cv,4.074178272900134e-05,3,"1,2,3,4,6,8",,,0,,,0,0,1.0,0.0021815098251625805,0.9978232388007806,0.003,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,8,0.04,0.01,0,5,8,cv,0.008331437310198803,3,"1,2,3,4,6,8",,,0,,,0,0,1.0,0.02884838740732949,0.9719605067564652,0.03,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,8,0.04,0.01,1,5,6,cv,0.0073618851386281145,3,"1,2,3,4,6,8",,,0,,,0,0,1.0,0.02545797290882073,0.9751740455665809,0.03,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,8,0.04,0.01,2,5,6,cv,0.00787476992792708,3,"1,2,3,4,6,8",,,0,,,0,0,1.0,0.030549970493944232,0.9703556631229618,0.03,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,8,0.04,0.01,3,5,6,cv,0.006492501323644623,3,"1,2,3,4,6,8",,,0,,,0,0,1.0,0.024666298033208703,0.975927481873314,0.03,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,8,0.04,0.01,4,5,8,cv,0.0069998307999532315,3,"1,2,3,4,6,8",,,0,,,0,0,1.0,0.031100595730700044,0.9698374767122889,0.03,ok
