system,method,method_label,sparse_factor,noise,seed,feature,equation,coef,true_coef
lorenz63,edmd_poly3,EDMD-polynomial,8,0.0,0,x,dx/dt,-9.987191026257394,-10.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.0,0,x,dy/dt,27.873132327428678,28.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.0,0,y,dx/dt,9.98711958863576,10.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.0,0,y,dy/dt,-0.975866051824805,-1.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.0,0,z,dz/dt,-2.6620097191835117,-2.6666666666666665
lorenz63,edmd_poly3,EDMD-polynomial,8,0.0,0,x*y,dz/dt,0.9982159250958509,1.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.0,0,x*z,dy/dt,-0.9964422586914765,-1.0
lorenz63,edmd_rbf,EDMD-RBF,8,0.0,0,x,dx/dt,-9.98630069940185,-10.0
lorenz63,edmd_rbf,EDMD-RBF,8,0.0,0,x,dy/dt,27.88359341666933,28.0
lorenz63,edmd_rbf,EDMD-RBF,8,0.0,0,y,dx/dt,9.986375511780299,10.0
lorenz63,edmd_rbf,EDMD-RBF,8,0.0,0,y,dy/dt,-0.9792560979580126,-1.0
lorenz63,edmd_rbf,EDMD-RBF,8,0.0,0,z,dz/dt,-2.6616302510916983,-2.6666666666666665
lorenz63,edmd_rbf,EDMD-RBF,8,0.0,0,x*y,dz/dt,0.9980884186520262,1.0
lorenz63,edmd_rbf,EDMD-RBF,8,0.0,0,x*z,dy/dt,-0.996682014508652,-1.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.1,0,1,dy/dt,6.13566878184884,0.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.1,0,x,dx/dt,-9.666885116271066,-10.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.1,0,x,dy/dt,-12.51278924008555,28.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.1,0,y,dx/dt,9.746120981400763,10.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.1,0,y,dy/dt,9.209728570451205,-1.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.1,0,z,dz/dt,-2.618732602268748,-2.6666666666666665
lorenz63,edmd_poly3,EDMD-polynomial,8,0.1,0,x*y,dz/dt,0.9948915602164978,1.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.1,0,x*z,dy/dt,0.0,-1.0
lorenz63,edmd_rbf,EDMD-RBF,8,0.1,0,1,dy/dt,3.3964291683241297,0.0
lorenz63,edmd_rbf,EDMD-RBF,8,0.1,0,1,dz/dt,-7.334870227620439,0.0
lorenz63,edmd_rbf,EDMD-RBF,8,0.1,0,x,dx/dt,-9.408965059816799,-10.0
lorenz63,edmd_rbf,EDMD-RBF,8,0.1,0,x,dy/dt,26.343860645661895,28.0
lorenz63,edmd_rbf,EDMD-RBF,8,0.1,0,y,dx/dt,9.5178043806379,10.0
lorenz63,edmd_rbf,EDMD-RBF,8,0.1,0,y,dy/dt,-0.5613410332210986,-1.0
lorenz63,edmd_rbf,EDMD-RBF,8,0.1,0,y,dz/dt,-0.20367552105893114,0.0
lorenz63,edmd_rbf,EDMD-RBF,8,0.1,0,z,dy/dt,-0.12953017201613037,0.0
lorenz63,edmd_rbf,EDMD-RBF,8,0.1,0,z,dz/dt,-2.2815590218011814,-2.6666666666666665
lorenz63,edmd_rbf,EDMD-RBF,8,0.1,0,x*y,dz/dt,0.833445495875636,1.0
lorenz63,edmd_rbf,EDMD-RBF,8,0.1,0,x*z,dy/dt,-0.9614350112225181,-1.0
lorenz63,edmd_rbf,EDMD-RBF,8,0.1,0,y*y,dz/dt,0.12127917753421952,0.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.0,0,1,dz/dt,0.25130764727828037,0.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.0,0,x,dx/dt,-9.87216868900561,-10.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.0,0,x,dy/dt,27.914715067089414,28.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.0,0,y,dx/dt,9.877627607823994,10.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.0,0,y,dy/dt,-0.9873563031304293,-1.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.0,0,z,dz/dt,-2.648130951824853,-2.6666666666666665
lorenz63,edmd_poly3,EDMD-polynomial,16,0.0,0,x*y,dz/dt,0.9896021547435367,1.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.0,0,x*z,dy/dt,-0.9971764669527194,-1.0
lorenz63,edmd_rbf,EDMD-RBF,16,0.0,0,x,dx/dt,-9.931861778780657,-10.0
lorenz63,edmd_rbf,EDMD-RBF,16,0.0,0,x,dy/dt,27.788379611451436,28.0
lorenz63,edmd_rbf,EDMD-RBF,16,0.0,0,y,dx/dt,9.930041722357407,10.0
lorenz63,edmd_rbf,EDMD-RBF,16,0.0,0,y,dy/dt,-0.9458902640501592,-1.0
lorenz63,edmd_rbf,EDMD-RBF,16,0.0,0,z,dz/dt,-2.6390193214301507,-2.6666666666666665
lorenz63,edmd_rbf,EDMD-RBF,16,0.0,0,x*y,dz/dt,0.9885427784989302,1.0
lorenz63,edmd_rbf,EDMD-RBF,16,0.0,0,x*z,dy/dt,-0.9941169557001,-1.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,1,dx/dt,-2.519057892109641,0.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,1,dz/dt,-1.2470542254747419,0.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,x,dx/dt,16.275585335025056,-10.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,x,dy/dt,28.362673571616362,28.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,x,dz/dt,-0.5393942428168342,0.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,y,dx/dt,0.0,10.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,y,dy/dt,-1.1731100922579556,-1.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,y,dz/dt,0.4320921732182734,0.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,z,dz/dt,-2.49495457018579,-2.6666666666666665
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,x*y,dz/dt,0.9508390053769976,1.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,x*z,dx/dt,-0.5388402674592434,0.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,x*z,dy/dt,-1.0090299833365648,-1.0
lorenz63,edmd_rbf,EDMD-RBF,16,0.1,0,1,dx/dt,-1.514451398635255,0.0
lorenz63,edmd_rbf,EDMD-RBF,16,0.1,0,1,dy/dt,1.887900806528958,0.0
lorenz63,edmd_rbf,EDMD-RBF,16,0.1,0,1,dz/dt,-0.9822314418215816,0.0
lorenz63,edmd_rbf,EDMD-RBF,16,0.1,0,x,dx/dt,-9.380686152578715,-10.0
lorenz63,edmd_rbf,EDMD-RBF,16,0.1,0,x,dy/dt,27.244183992341338,28.0
lorenz63,edmd_rbf,EDMD-RBF,16,0.1,0,y,dx/dt,9.648869154095433,10.0
lorenz63,edmd_rbf,EDMD-RBF,16,0.1,0,y,dy/dt,-0.9108201864919544,-1.0
lorenz63,edmd_rbf,EDMD-RBF,16,0.1,0,z,dz/dt,-2.534494673105923,-2.6666666666666665
lorenz63,edmd_rbf,EDMD-RBF,16,0.1,0,x*y,dz/dt,0.9562213757861046,1.0
lorenz63,edmd_rbf,EDMD-RBF,16,0.1,0,x*z,dy/dt,-0.9837274134006366,-1.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.0,0,1,dx/dt,1.008252744452488,0.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.0,0,1,dy/dt,7.198312290705736,0.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.0,0,1,dz/dt,74.94672194629662,0.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.0,0,x,dx/dt,-9.023318205929261,-10.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.0,0,x,dy/dt,-11.868363967263605,28.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.0,0,y,dx/dt,8.946538175274542,10.0
