system,method,method_label,sparse_factor,obs_dt,noise,seed,upsample,spline_alpha,spline_cv_error,spline_cv_folds,gp_kernel,gp_cv_error,gp_cv_folds,support_f1,coef_error,practical_score,threshold,status
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.0,0,5,,,0,,,0,1.0,0.004140812605797092,0.9958762630162881,0.03,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.0,0,5,,,0,,,0,1.0,0.003805180131984644,0.9962092443760009,0.01,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.0,1,5,,,0,,,0,1.0,0.004140812605797092,0.9958762630162881,0.03,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.0,1,5,,,0,,,0,1.0,0.003907080721912164,0.996108125147297,0.03,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.0,2,5,,,0,,,0,1.0,0.004140812605797092,0.9958762630162881,0.03,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.0,2,5,,,0,,,0,1.0,0.004011216009983103,0.9960048095618653,0.03,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.0,3,5,,,0,,,0,1.0,0.004140812605797092,0.9958762630162881,0.03,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.0,3,5,,,0,,,0,1.0,0.0040596360279116775,0.995956777981862,0.03,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.0,4,5,,,0,,,0,1.0,0.004140812605797092,0.9958762630162881,0.03,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.0,4,5,,,0,,,0,1.0,0.004211978831714209,0.9958056875236496,0.03,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.0,5,5,,,0,,,0,1.0,0.004140812605797092,0.9958762630162881,0.03,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.0,5,5,,,0,,,0,1.0,0.003923111547821858,0.9960922191125043,0.01,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.0,6,5,,,0,,,0,1.0,0.004140812605797092,0.9958762630162881,0.03,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.0,6,5,,,0,,,0,1.0,0.004100798481241347,0.9959159493873085,0.01,ok
lorenz63,edmd_poly3,EDMD-polynomial,8,0.04,0.0,7,5,,,0,,,0,1.0,0.004140812605797092,0.9958762630162881,0.03,ok
lorenz63,edmd_rbf,EDMD-RBF,8,0.04,0.0,7,5,,,0,,,0,1.0,0.003954365841303271,0.9960612095770015,0.03,ok
