system,method,method_label,sparse_factor,noise,seed,feature,coef,true_coef
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.0,0,u*u_x,-0.9975525544670617,-1.0
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.0,0,u_xx,0.04962060939738947,0.05
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.1,0,u*u_x,-0.6608330944797296,-1.0
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.1,0,u_xx,0.0,0.05
burgers,pod_edmd_rbf,POD-EDMD-RBF,8,0.0,0,u*u_x,-0.9978261947868245,-1.0
burgers,pod_edmd_rbf,POD-EDMD-RBF,8,0.0,0,u_xx,0.049786778338018645,0.05
burgers,pod_edmd_rbf,POD-EDMD-RBF,8,0.1,0,u*u_x,-0.2858711912964037,-1.0
burgers,pod_edmd_rbf,POD-EDMD-RBF,8,0.1,0,u_xx,0.0,0.05
burgers,pod_edmd_rbf,POD-EDMD-RBF,16,0.0,0,u*u_x,-0.9978556444557393,-1.0
burgers,pod_edmd_rbf,POD-EDMD-RBF,16,0.0,0,u_xx,0.04999230227117105,0.05
burgers,pod_edmd_rbf,POD-EDMD-RBF,16,0.1,0,u*u_x,-0.35687400978412676,-1.0
burgers,pod_edmd_rbf,POD-EDMD-RBF,16,0.1,0,u_xx,0.0,0.05
burgers,pod_edmd_rbf,POD-EDMD-RBF,32,0.0,0,u*u_x,-0.9959827011803749,-1.0
burgers,pod_edmd_rbf,POD-EDMD-RBF,32,0.0,0,u_xx,0.0501087735355508,0.05
burgers,pod_edmd_rbf,POD-EDMD-RBF,32,0.1,0,u*u_x,-0.3438113699408185,-1.0
burgers,pod_edmd_rbf,POD-EDMD-RBF,32,0.1,0,u_xx,0.0,0.05
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,4,0.0,0,u,1.000271214289112,1.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,4,0.0,0,u^2,-1.0005480822123949,-1.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,4,0.0,0,u_xx,0.02961542633498927,0.03
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,4,0.1,0,1,0.013705606540738687,0.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,4,0.1,0,u,0.9332949218732568,1.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,4,0.1,0,u^2,-0.9226124891176112,-1.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,4,0.1,0,u_x,-0.3747706254186629,0.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,4,0.1,0,u*u_x,2.4855025707219243,0.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,4,0.1,0,u^2*u_x,-3.2973458918444996,0.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,4,0.1,0,u_xx,0.002676853395866797,0.03
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,4,0.1,0,u*u_xx,-0.0029687310893820136,0.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,8,0.0,0,u,1.0002576675971218,1.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,8,0.0,0,u^2,-1.0005254515552535,-1.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,8,0.0,0,u_xx,0.029636478634308995,0.03
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,8,0.1,0,u,1.0039205981064825,1.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,8,0.1,0,u^2,-1.0118431373539858,-1.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,8,0.1,0,u*u_x,0.47949901091197905,0.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,8,0.1,0,u^2*u_x,-1.1041646794231812,0.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,8,0.1,0,u_xx,0.0,0.03
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,16,0.0,0,u,1.000198858022073,1.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,16,0.0,0,u^2,-1.0004180711858872,-1.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,16,0.0,0,u_xx,0.029707277416799512,0.03
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,16,0.1,0,u,0.9924536835487102,1.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,16,0.1,0,u^2,-0.9828803016035642,-1.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,16,0.1,0,u_xx,0.0,0.03
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,32,0.0,0,u,1.0001799824574173,1.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,32,0.0,0,u^2,-1.0004547227081693,-1.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,32,0.0,0,u_xx,0.029642263968111142,0.03
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,32,0.1,0,u,1.0149956048042545,1.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,32,0.1,0,u^2,-1.0158106679805308,-1.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,32,0.1,0,u_xx,0.0,0.03
