system,method,method_label,sparse_factor,obs_dt,noise,seed,upsample,pod_rank,rank_mode,rank_cv_error,rank_cv_folds,rank_grid,spline_alpha,spline_cv_error,spline_cv_folds,gp_kernel,gp_cv_error,gp_cv_folds,gp_cv_spatial_points,support_f1,coef_error,practical_score,threshold,status
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.0,0,5,8,system,,0,,,,0,,,0,0,1.0,0.002473586523718748,0.9975325170089555,0.003,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.0,1,5,8,system,,0,,,,0,,,0,0,1.0,0.002416048146163313,0.9975897750733027,0.003,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.0,2,5,8,system,,0,,,,0,,,0,0,1.0,0.0023673572280914572,0.9976382339159187,0.003,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.0,3,5,8,system,,0,,,,0,,,0,0,1.0,0.002206359642940426,0.9977984976629698,0.003,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.0,4,5,8,system,,0,,,,0,,,0,0,1.0,0.0025081149392128087,0.9974981599631592,0.003,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.0,5,5,8,system,,0,,,,0,,,0,0,1.0,0.0024000435467631614,0.9976057028706111,0.003,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.0,6,5,8,system,,0,,,,0,,,0,0,1.0,0.002375094015917335,0.9976305336893381,0.003,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.0,7,5,8,system,,0,,,,0,,,0,0,1.0,0.0023209370780816257,0.9976844371974833,0.003,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.01,0,5,8,system,,0,,,,0,,,0,0,1.0,0.014171234990791568,0.9860267827543735,0.01,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.01,1,5,8,system,,0,,,,0,,,0,0,1.0,0.012887864152144568,0.9872761194913391,0.01,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.01,2,5,8,system,,0,,,,0,,,0,0,1.0,0.014077606368812919,0.9861178214759898,0.01,ok
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.01,3,5,8,system,,0,,,,0,,,0,0,1.0,0.013457629852555492,0.9867210730314266,0.01,ok
