system,method,method_label,sparse_factor,noise,seed,feature,equation,coef,true_coef
lorenz63,edmd_poly3,EDMD-polynomial,8,0.0,0,x,dx/dt,-9.987191026257394,-10.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.0,0,x,dy/dt,27.87313232742868,28.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.0,0,y,dx/dt,9.98711958863576,10.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.0,0,y,dy/dt,-0.975866051824805,-1.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.0,0,z,dz/dt,-2.662009719183512,-2.6666666666666665
lorenz63,edmd_poly3,EDMD-polynomial,8,0.0,0,x*y,dz/dt,0.9982159250958508,1.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.0,0,x*z,dy/dt,-0.9964422586914764,-1.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.1,0,1,dy/dt,6.13566878184884,0.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.1,0,x,dx/dt,-9.666885116271066,-10.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.1,0,x,dy/dt,-12.51278924008555,28.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.1,0,y,dx/dt,9.746120981400765,10.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.1,0,y,dy/dt,9.209728570451205,-1.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.1,0,z,dz/dt,-2.618732602268748,-2.6666666666666665
lorenz63,edmd_poly3,EDMD-polynomial,8,0.1,0,x*y,dz/dt,0.9948915602164978,1.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.1,0,x*z,dy/dt,0.0,-1.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.0,0,1,dz/dt,0.2513076472782803,0.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.0,0,x,dx/dt,-9.87216868900561,-10.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.0,0,x,dy/dt,27.91471506708941,28.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.0,0,y,dx/dt,9.877627607823994,10.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.0,0,y,dy/dt,-0.9873563031304292,-1.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.0,0,z,dz/dt,-2.648130951824853,-2.6666666666666665
lorenz63,edmd_poly3,EDMD-polynomial,16,0.0,0,x*y,dz/dt,0.9896021547435369,1.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.0,0,x*z,dy/dt,-0.9971764669527194,-1.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,1,dx/dt,-2.519057892109641,0.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,1,dz/dt,-1.247054225474742,0.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,x,dx/dt,16.275585335025056,-10.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,x,dy/dt,28.36267357161636,28.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,x,dz/dt,-0.5393942428168342,0.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,y,dx/dt,0.0,10.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,y,dy/dt,-1.1731100922579556,-1.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,y,dz/dt,0.4320921732182734,0.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,z,dz/dt,-2.49495457018579,-2.6666666666666665
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,x*y,dz/dt,0.9508390053769976,1.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,x*z,dx/dt,-0.5388402674592434,0.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,x*z,dy/dt,-1.0090299833365648,-1.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.0,0,1,dx/dt,1.008252744452488,0.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.0,0,1,dy/dt,7.198312290705736,0.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.0,0,1,dz/dt,74.94672194629662,0.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.0,0,x,dx/dt,-9.02331820592926,-10.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.0,0,x,dy/dt,-11.868363967263605,28.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.0,0,y,dx/dt,8.946538175274542,10.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.0,0,y,dy/dt,8.741585108393249,-1.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.0,0,z,dz/dt,-6.556726345696181,-2.6666666666666665
lorenz63,edmd_poly3,EDMD-polynomial,32,0.0,0,x*x,dz/dt,1.258587146828622,0.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.0,0,x*y,dz/dt,0.0,1.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.0,0,x*z,dy/dt,0.0,-1.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.1,0,1,dx/dt,-1.62564108335239,0.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.1,0,1,dy/dt,7.372610946063079,0.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.1,0,1,dz/dt,-1.332752466481647,0.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.1,0,x,dx/dt,-6.471248838181933,-10.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.1,0,x,dy/dt,-9.862605330402806,28.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.1,0,x,dz/dt,-1.814070357328541,0.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.1,0,y,dx/dt,7.250511784454368,10.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.1,0,y,dy/dt,6.502061122557589,-1.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.1,0,y,dz/dt,2.082742579309425,0.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.1,0,z,dz/dt,0.0,-2.6666666666666665
lorenz63,edmd_poly3,EDMD-polynomial,32,0.1,0,x*y,dz/dt,0.0,1.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.1,0,x*z,dy/dt,0.0,-1.0
lorenz63,edmd_poly3,EDMD-polynomial,64,0.0,0,1,dx/dt,-3.7231391935106193,0.0
lorenz63,edmd_poly3,EDMD-polynomial,64,0.0,0,1,dy/dt,1.994474469427768,0.0
lorenz63,edmd_poly3,EDMD-polynomial,64,0.0,0,x,dx/dt,-2.732686567933209,-10.0
lorenz63,edmd_poly3,EDMD-polynomial,64,0.0,0,x,dy/dt,-3.890383030500279,28.0
lorenz63,edmd_poly3,EDMD-polynomial,64,0.0,0,y,dx/dt,4.066371761475289,10.0
lorenz63,edmd_poly3,EDMD-polynomial,64,0.0,0,y,dy/dt,2.254474473031279,-1.0
lorenz63,edmd_poly3,EDMD-polynomial,64,0.0,0,z,dz/dt,0.0,-2.6666666666666665
lorenz63,edmd_poly3,EDMD-polynomial,64,0.0,0,x*y,dz/dt,0.0,1.0
lorenz63,edmd_poly3,EDMD-polynomial,64,0.0,0,x*z,dy/dt,0.0,-1.0
lorenz63,edmd_poly3,EDMD-polynomial,64,0.1,0,1,dx/dt,-6.356106186578003,0.0
lorenz63,edmd_poly3,EDMD-polynomial,64,0.1,0,1,dy/dt,-1.684957943834258,0.0
lorenz63,edmd_poly3,EDMD-polynomial,64,0.1,0,1,dz/dt,-2.0426854501195137,0.0
lorenz63,edmd_poly3,EDMD-polynomial,64,0.1,0,x,dx/dt,-2.244347613595757,-10.0
lorenz63,edmd_poly3,EDMD-polynomial,64,0.1,0,x,dy/dt,-1.611085517460735,28.0
lorenz63,edmd_poly3,EDMD-polynomial,64,0.1,0,y,dx/dt,6.685014963339294,10.0
lorenz63,edmd_poly3,EDMD-polynomial,64,0.1,0,y,dy/dt,1.7969266824000536,-1.0
lorenz63,edmd_poly3,EDMD-polynomial,64,0.1,0,z,dz/dt,0.0,-2.6666666666666665
lorenz63,edmd_poly3,EDMD-polynomial,64,0.1,0,x*y,dz/dt,0.0,1.0
lorenz63,edmd_poly3,EDMD-polynomial,64,0.1,0,x*z,dy/dt,0.0,-1.0
vanderpol_mu2,edmd_poly3,EDMD-polynomial,8,0.0,0,x,dy/dt,-0.9999373670339816,-1.0
vanderpol_mu2,edmd_poly3,EDMD-polynomial,8,0.0,0,y,dx/dt,0.9999472330051862,1.0
vanderpol_mu2,edmd_poly3,EDMD-polynomial,8,0.0,0,y,dy/dt,1.999470601739552,2.0
vanderpol_mu2,edmd_poly3,EDMD-polynomial,8,0.0,0,x*x*y,dy/dt,-1.9994678681510036,-2.0
vanderpol_mu2,edmd_poly3,EDMD-polynomial,8,0.1,0,x,dy/dt,-1.0081292920231664,-1.0
vanderpol_mu2,edmd_poly3,EDMD-polynomial,8,0.1,0,y,dx/dt,0.983622394154528,1.0
vanderpol_mu2,edmd_poly3,EDMD-polynomial,8,0.1,0,y,dy/dt,1.9042584931130304,2.0
vanderpol_mu2,edmd_poly3,EDMD-polynomial,8,0.1,0,x*x*y,dy/dt,-1.9426752686588764,-2.0
vanderpol_mu2,edmd_poly3,EDMD-polynomial,16,0.0,0,x,dy/dt,-0.9997461484145652,-1.0
vanderpol_mu2,edmd_poly3,EDMD-polynomial,16,0.0,0,y,dx/dt,0.9997891703046596,1.0
vanderpol_mu2,edmd_poly3,EDMD-polynomial,16,0.0,0,y,dy/dt,1.99789531631678,2.0
vanderpol_mu2,edmd_poly3,EDMD-polynomial,16,0.0,0,x*x*y,dy/dt,-1.997861358033798,-2.0
vanderpol_mu2,edmd_poly3,EDMD-polynomial,16,0.1,0,x,dy/dt,-1.0005454889535674,-1.0
vanderpol_mu2,edmd_poly3,EDMD-polynomial,16,0.1,0,y,dx/dt,0.9843342628416633,1.0
vanderpol_mu2,edmd_poly3,EDMD-polynomial,16,0.1,0,y,dy/dt,1.9965040111310268,2.0
vanderpol_mu2,edmd_poly3,EDMD-polynomial,16,0.1,0,x*x*y,dy/dt,-1.8710357033899052,-2.0
vanderpol_mu2,edmd_poly3,EDMD-polynomial,32,0.0,0,x,dy/dt,-0.9989545573290248,-1.0
vanderpol_mu2,edmd_poly3,EDMD-polynomial,32,0.0,0,y,dx/dt,0.9991524387491736,1.0
vanderpol_mu2,edmd_poly3,EDMD-polynomial,32,0.0,0,y,dy/dt,1.991453348298165,2.0
vanderpol_mu2,edmd_poly3,EDMD-polynomial,32,0.0,0,x*x*y,dy/dt,-1.991195118707647,-2.0
vanderpol_mu2,edmd_poly3,EDMD-polynomial,32,0.1,0,x,dy/dt,-0.9473040225928906,-1.0
vanderpol_mu2,edmd_poly3,EDMD-polynomial,32,0.1,0,y,dx/dt,1.015926809759672,1.0
vanderpol_mu2,edmd_poly3,EDMD-polynomial,32,0.1,0,y,dy/dt,2.143180145855311,2.0
vanderpol_mu2,edmd_poly3,EDMD-polynomial,32,0.1,0,x*x*y,dy/dt,-1.9396573777536688,-2.0
vanderpol_mu2,edmd_poly3,EDMD-polynomial,64,0.0,0,x,dy/dt,-1.0089874622014752,-1.0
vanderpol_mu2,edmd_poly3,EDMD-polynomial,64,0.0,0,y,dx/dt,0.9887978895758448,1.0
vanderpol_mu2,edmd_poly3,EDMD-polynomial,64,0.0,0,y,dy/dt,2.0797485136627034,2.0
vanderpol_mu2,edmd_poly3,EDMD-polynomial,64,0.0,0,x*x*y,dy/dt,-2.047297990388765,-2.0
vanderpol_mu2,edmd_poly3,EDMD-polynomial,64,0.1,0,x,dy/dt,-0.9640388181331988,-1.0
vanderpol_mu2,edmd_poly3,EDMD-polynomial,64,0.1,0,y,dx/dt,1.021247933269526,1.0
vanderpol_mu2,edmd_poly3,EDMD-polynomial,64,0.1,0,y,dy/dt,1.695704641848958,2.0
vanderpol_mu2,edmd_poly3,EDMD-polynomial,64,0.1,0,x*x*y,dy/dt,-1.6495769764295631,-2.0
