seed,feature,coef,true_coef
0,1,0.0,0.0
0,u,1.0057159139960163,1.0
0,u^2,-1.0120778903688263,-1.0
0,u_x,0.0,0.0
0,u*u_x,0.0,0.0
0,u^2*u_x,0.0,0.0
0,u_xx,0.021623761687437185,0.03
0,u*u_xx,0.0,0.0
1,1,0.0,0.0
1,u,1.0093620442124198,1.0
1,u^2,-1.01919018557148,-1.0
1,u_x,0.0,0.0
1,u*u_x,0.0,0.0
1,u^2*u_x,0.0,0.0
1,u_xx,0.0198409168355145,0.03
1,u*u_xx,0.0,0.0
2,1,0.0,0.0
2,u,1.022827995868305,1.0
2,u^2,-1.046805857137694,-1.0
2,u_x,0.0,0.0
2,u*u_x,0.0,0.0
2,u^2*u_x,0.0,0.0
2,u_xx,0.0,0.03
2,u*u_xx,0.0,0.0
3,1,0.0,0.0
3,u,1.024716992650162,1.0
3,u^2,-1.0511452703849224,-1.0
3,u_x,0.0,0.0
3,u*u_x,0.0,0.0
3,u^2*u_x,0.0,0.0
3,u_xx,0.0,0.03
3,u*u_xx,0.0,0.0
4,1,0.0,0.0
4,u,1.0093881388134545,1.0
4,u^2,-1.0193398280097243,-1.0
4,u_x,0.0,0.0
4,u*u_x,0.0,0.0
4,u^2*u_x,0.0,0.0
4,u_xx,0.016785909669481,0.03
4,u*u_xx,0.0,0.0
