setting,system,equation,method,method_label,seed,noise,sparse_factor,threshold,support_size,rss,bic,ebic,true_support_size,support_f1,coef_error,active_terms
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,0,0.01,8,0.0,10,3.694600084197788,-993.2600353390422,-993.2600353390422,1,0.18181818181818182,0.06405725185134399,0;1;2;3;4;5;6;7;8;9
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,0,0.01,8,0.0001,9,3.694600086519638,-998.7774880790242,-996.4749029860302,1,0.2,0.06406017014596467,0;1;2;3;4;5;6;7;9
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,0,0.01,8,0.003,8,3.6980017154640077,-1004.0657914312246,-1000.2591289414543,1,0.2222222222222222,0.0690185081468281,0;1;2;3;4;5;6;9
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,0,0.01,8,0.01,1,3.8692376662853922,-1031.417000280045,-1029.1144151870508,1,1.0,0.006036724062719712,2
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,0,0.01,8,1.0,0,521.3706017751651,184.0130468293987,184.0130468293987,1,0.0,1.0,
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,0,0.01,8,0.0,10,6.634794785617907,-847.4816354344358,-847.4816354344358,3,0.46153846153846156,0.09815010911799944,0;1;2;3;4;5;6;7;8;9
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,0,0.01,8,0.01,6,6.667638859711571,-868.3218688414825,-862.974761310765,3,0.6666666666666666,0.09699139346654866,1;2;6;7;8;9
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,0,0.01,8,0.03,5,6.835610647932799,-867.6442006682041,-862.1147715806927,3,0.75,0.0871026444628318,1;2;7;8;9
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,0,0.01,8,0.1,3,8.669917575341433,-819.4884508476279,-814.7009591048458,3,1.0,0.033137774197246984,1;2;7
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,0,0.01,8,1.0,2,566.0571213719072,215.52418814464582,219.33085063441615,3,0.8,0.33629750796192076,2;7
ODE,vanderpol_mu2,dx/dt,edmd_poly3,EDMD-polynomial,0,0.01,8,0.0,10,218.86926499422714,-2103.987293550946,-2103.987293550946,1,0.18181818181818182,0.0672328777300744,0;1;2;3;4;5;6;7;8;9
ODE,vanderpol_mu2,dx/dt,edmd_poly3,EDMD-polynomial,0,0.01,8,0.01,1,219.43739059610226,-2164.920313387907,-2162.617728294913,1,1.0,0.00100785550601179,2
ODE,vanderpol_mu2,dx/dt,edmd_poly3,EDMD-polynomial,0,0.01,8,1.0,0,2833.3000707851434,1023.0545309622556,1023.0545309622556,1,0.0,1.0,
ODE,vanderpol_mu2,dy/dt,edmd_poly3,EDMD-polynomial,0,0.01,8,0.0,10,204.15240967220765,-2190.927394447239,-2190.927394447239,3,0.46153846153846156,0.026474940803155624,0;1;2;3;4;5;6;7;8;9
ODE,vanderpol_mu2,dy/dt,edmd_poly3,EDMD-polynomial,0,0.01,8,0.01,4,204.49111426449352,-2231.637515243027,-2226.2904077123094,3,0.8571428571428571,0.007088499831558257,1;2;7;8
ODE,vanderpol_mu2,dy/dt,edmd_poly3,EDMD-polynomial,0,0.01,8,0.03,3,205.49536011094318,-2232.6488481393235,-2227.8613563965414,3,1.0,0.004531361253209516,1;2;7
ODE,vanderpol_mu2,dy/dt,edmd_poly3,EDMD-polynomial,0,0.01,8,1.0,2,3039.9727773725463,1125.252353469494,1129.0590159592643,3,0.8,0.3336755513043852,2;7
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,1,0.01,8,0.0,10,5.084636964331693,-913.7415575118731,-913.7415575118731,1,0.18181818181818182,0.06869677302926169,0;1;2;3;4;5;6;7;8;9
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,1,0.01,8,0.003,8,5.107899714761278,-923.6398601024742,-919.8331976127039,1,0.2222222222222222,0.05117094066528056,0;2;3;4;5;7;8;9
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,1,0.01,8,0.01,1,5.193367199150172,-958.1301324033695,-955.8275473103755,1,1.0,0.004394203615865067,2
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,1,0.01,8,1.0,0,523.7609899622394,185.1520568854657,185.1520568854657,1,0.0,1.0,
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,1,0.01,8,0.0,10,5.739980370501488,-883.5547504075256,-883.5547504075256,3,0.46153846153846156,0.10790635663504478,0;1;2;3;4;5;6;7;8;9
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,1,0.01,8,0.01,9,5.746648331954134,-888.7831154208151,-886.480530327821,3,0.5,0.10742413249438802,0;1;2;4;5;6;7;8;9
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,1,0.01,8,0.03,5,6.060289908019343,-897.6208547399082,-892.0914256523968,3,0.75,0.09913123175136024,1;2;7;8;9
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,1,0.01,8,0.1,3,7.817742289004746,-845.2508575767025,-840.4633658339204,3,1.0,0.03130645870277583,1;2;7
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,1,0.01,8,1.0,2,555.0515855683868,210.63533761611976,214.4420001058901,3,0.8,0.33584707975666434,2;7
ODE,vanderpol_mu2,dx/dt,edmd_poly3,EDMD-polynomial,1,0.01,8,0.0,10,228.30679352351817,-2051.2598567371224,-2051.2598567371224,1,0.18181818181818182,0.08495802168567793,0;1;2;3;4;5;6;7;8;9
