setting,system,equation,method,method_label,seed,noise,sparse_factor,threshold,support_size,rss,bic,ebic,true_support_size,support_f1,coef_error,active_terms,delta_ebic_from_best
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,0,0.01,8,1.0,0,521.3706017751651,184.0130468293987,184.0130468293987,1,0.0,1.0,,1213.1274620164502
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,0,0.01,8,0.01,1,3.869237666285383,-1031.4170002800456,-1029.1144151870515,1,1.0,0.0060367240627193786,2,0.0
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,0,0.01,8,0.003,8,3.698001715463999,-1004.0657914312253,-1000.259128941455,1,0.2222222222222222,0.069018508146822,0;1;2;3;4;5;6;9,28.855286245596517
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,0,0.01,8,0.0001,9,3.6946000865196287,-998.7774880790249,-996.4749029860309,1,0.2,0.06406017014595658,0;1;2;3;4;5;6;7;9,32.63951220102058
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,0,0.01,8,0.0,10,3.6946000841977784,-993.2600353390429,-993.2600353390429,1,0.18181818181818182,0.06405725185132971,0;1;2;3;4;5;6;7;8;9,35.854379848008534
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,1,0.01,8,1.0,0,523.7609899622394,185.1520568854657,185.1520568854657,1,0.0,1.0,,1140.9796041958414
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,1,0.01,8,0.01,1,5.19336719915017,-958.1301324033697,-955.8275473103756,1,1.0,0.0043942036158648445,2,0.0
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,1,0.01,8,0.003,8,5.107899714761276,-923.6398601024745,-919.8331976127041,1,0.2222222222222222,0.05117094066523207,0;2;3;4;5;7;8;9,35.99434969767151
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,1,0.01,8,0.0,10,5.084636964331692,-913.7415575118731,-913.7415575118731,1,0.18181818181818182,0.06869677302920736,0;1;2;3;4;5;6;7;8;9,42.08598979850251
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,2,0.01,8,1.0,0,520.6344475662671,183.66122045652722,183.66122045652722,1,0.0,1.0,,1150.0391086313225
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,2,0.01,8,0.01,1,4.977916479717761,-968.6804732677894,-966.3778881747953,1,1.0,0.007001149072989876,2,0.0
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,2,0.01,8,0.003,5,4.7907786587668,-956.1519603315903,-950.6225312440789,1,0.3333333333333333,0.045450741135638885,1;2;6;7;8,15.755356930716403
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,2,0.01,8,0.001,8,4.784719321421422,-939.9147341195896,-936.1080716298193,1,0.2222222222222222,0.04921819196460227,0;1;2;3;6;7;8;9,30.269816544976038
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,2,0.01,8,0.0001,9,4.784559380462299,-934.4056047969419,-932.1030197039479,1,0.2,0.049083743304820245,0;1;2;3;4;6;7;8;9,34.27486847084742
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,2,0.01,8,0.0,10,4.784555729167342,-928.8883419227382,-928.8883419227382,1,0.18181818181818182,0.049044640474077215,0;1;2;3;4;5;6;7;8;9,37.48954625205715
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,3,0.01,8,1.0,0,525.2666602374709,185.86683719828613,185.86683719828613,1,0.0,1.0,,1175.9366952335554
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,3,0.01,8,0.01,1,4.526110460093047,-992.3724431282632,-990.0698580352691,1,1.0,0.004079941421043287,2,0.0
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,3,0.01,8,0.003,5,4.472192179157684,-973.2867082457113,-967.7572791581999,1,0.3333333333333333,0.039991174259486444,1;2;7;8;9,22.3125788770692
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,3,0.01,8,0.0,10,4.461904037056598,-946.2729205770559,-946.2729205770559,1,0.18181818181818182,0.04300815621301619,0;1;2;3;4;5;6;7;8;9,43.79693745821328
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,4,0.01,8,1.0,0,523.0795433657235,184.8278810036626,184.8278810036626,1,0.0,1.0,,1167.044339877857
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,4,0.01,8,0.03,1,4.671137921426073,-984.5190439671885,-982.2164588741945,1,1.0,0.005300830884490071,2,0.0
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,4,0.01,8,0.01,5,4.518729010597777,-970.7090470102115,-965.1796179227001,1,0.3333333333333333,0.0571963255704172,1;2;6;7;8,17.036840951494355
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,4,0.01,8,0.003,7,4.4878387283108925,-961.3821637786367,-956.5946720358546,1,0.25,0.06493036249294283,1;2;4;6;7;8;9,25.621786838339858
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,4,0.01,8,0.0,10,4.48246782480614,-945.1279788750714,-945.1279788750714,1,0.18181818181818182,0.06734232623829514,0;1;2;3;4;5;6;7;8;9,37.088479999123024
ODE,vanderpol_mu2,dx/dt,edmd_poly3,EDMD-polynomial,0,0.01,8,1.0,0,2833.300070785135,1023.0545309622519,1023.0545309622519,1,0.0,1.0,,3185.672259257174
ODE,vanderpol_mu2,dx/dt,edmd_poly3,EDMD-polynomial,0,0.01,8,0.01,1,219.4373905961007,-2164.920313387916,-2162.617728294922,1,1.0,0.0010078555060133443,2,0.0
