setting,system,equation,method,method_label,seed,noise,sparse_factor,threshold,support_size,rss,bic,ebic,true_support_size,support_f1,coef_error,active_terms,delta_ebic_from_best,selection_rule
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,0,0.01,8,0.01,1,3.8692376662853922,-1031.417000280045,-1029.1144151870508,1,1.0,0.006036724062719712,2,0.0,elbow_ebic
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,1,0.01,8,0.01,1,5.193367199150172,-958.1301324033695,-955.8275473103755,1,1.0,0.004394203615865067,2,0.0,elbow_ebic
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,2,0.01,8,0.01,1,4.977916479717758,-968.6804732677896,-966.3778881747955,1,1.0,0.007001149072989987,2,0.0,elbow_ebic
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,3,0.01,8,0.01,1,4.526110460093053,-992.3724431282627,-990.0698580352687,1,1.0,0.004079941421043731,2,0.0,elbow_ebic
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,4,0.01,8,0.03,1,4.6711379214260775,-984.5190439671883,-982.2164588741942,1,1.0,0.005300830884490293,2,0.0,elbow_ebic
ODE,vanderpol_mu2,dx/dt,edmd_poly3,EDMD-polynomial,0,0.01,8,0.01,1,219.43739059610226,-2164.920313387907,-2162.617728294913,1,1.0,0.00100785550601179,2,0.0,elbow_ebic
ODE,vanderpol_mu2,dx/dt,edmd_poly3,EDMD-polynomial,1,0.01,8,0.01,1,228.90881800932004,-2112.1415773489985,-2109.8389922560045,1,1.0,0.0006952896858545277,2,0.0,elbow_ebic
ODE,vanderpol_mu2,dx/dt,edmd_poly3,EDMD-polynomial,2,0.01,8,0.01,1,195.9175502413476,-2306.5232486785617,-2304.2206635855678,1,1.0,0.002011702160456874,2,0.0,elbow_ebic
ODE,vanderpol_mu2,dx/dt,edmd_poly3,EDMD-polynomial,3,0.01,8,0.01,1,227.53792932524465,-2119.6440740795824,-2117.3414889865885,1,1.0,0.0011250652682834872,2,0.0,elbow_ebic
ODE,vanderpol_mu2,dx/dt,edmd_poly3,EDMD-polynomial,4,0.01,8,0.01,1,203.67551406070055,-2258.0193310969953,-2255.7167460040014,1,1.0,0.0002745871983947934,2,0.0,elbow_ebic
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,0,0.01,8,0.1,3,8.669917575341433,-819.4884508476279,-814.7009591048458,3,1.0,0.033137774197246984,1;2;7,48.273802205919196,elbow_ebic
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,1,0.01,8,0.1,3,7.817742289004746,-845.2508575767025,-840.4633658339204,3,1.0,0.03130645870277583,1;2;7,51.628059818476345,elbow_ebic
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,2,0.01,8,0.1,3,7.869245267981847,-843.6158351994277,-838.8283434566456,3,1.0,0.02333896853787291,1;2;7,16.354138547717525,elbow_ebic
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,3,0.01,8,0.1,3,9.59610154029582,-794.2155378456176,-789.4280461028355,3,1.0,0.03895917093127762,1;2;7,69.42090233586441,elbow_ebic
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,4,0.01,8,0.1,3,7.954274805317768,-840.9397481478263,-836.1522564050442,3,1.0,0.027788515949025264,1;2;7,30.15042639772048,elbow_ebic
ODE,vanderpol_mu2,dy/dt,edmd_poly3,EDMD-polynomial,0,0.01,8,0.03,3,205.49536011094318,-2232.6488481393235,-2227.8613563965414,3,1.0,0.004531361253209516,1;2;7,0.0,elbow_ebic
ODE,vanderpol_mu2,dy/dt,edmd_poly3,EDMD-polynomial,1,0.01,8,0.03,3,181.67855564656404,-2386.5062978394817,-2381.7188060966996,3,1.0,0.003302821280601758,1;2;7,0.0,elbow_ebic
ODE,vanderpol_mu2,dy/dt,edmd_poly3,EDMD-polynomial,2,0.01,8,0.03,3,193.62039202125084,-2306.9942681366183,-2302.206776393836,3,1.0,0.007247905878088899,1;2;7,0.0,elbow_ebic
ODE,vanderpol_mu2,dy/dt,edmd_poly3,EDMD-polynomial,3,0.01,8,0.01,3,213.73188131932739,-2183.5645428717903,-2178.777051129008,3,1.0,0.008619491786520677,1;2;7,0.0,elbow_ebic
ODE,vanderpol_mu2,dy/dt,edmd_poly3,EDMD-polynomial,4,0.01,8,0.01,3,222.19674043804932,-2135.0522973213174,-2130.2648055785353,3,1.0,0.0019118733487271569,1;2;7,0.0,elbow_ebic
PDE,burgers,u_t,baseline,Baseline,0,0.01,4,0.03,2,67.71203235943145,-8328.799395873943,-8325.467191363767,2,1.0,0.04643226209936803,4;6,15.645023624101668,elbow_ebic
