system,method,method_label,sparse_factor,noise,seed,feature,equation,coef,true_coef
lorenz63,baseline,Baseline,8,0.0,0,x,dx/dt,-9.677789885652508,-10.0
lorenz63,baseline,Baseline,8,0.0,0,x,dy/dt,24.989250094733134,28.0
lorenz63,baseline,Baseline,8,0.0,0,y,dx/dt,9.677276096483444,10.0
lorenz63,baseline,Baseline,8,0.0,0,y,dy/dt,-0.4295317208233762,-1.0
lorenz63,baseline,Baseline,8,0.0,0,z,dz/dt,-2.550689631336993,-2.6666666666666665
lorenz63,baseline,Baseline,8,0.0,0,x*y,dz/dt,0.9557017577933944,1.0
lorenz63,baseline,Baseline,8,0.0,0,x*z,dy/dt,-0.9153941576420066,-1.0
lorenz63,baseline,Baseline,8,0.1,0,1,dx/dt,-0.9275054680126024,0.0
lorenz63,baseline,Baseline,8,0.1,0,1,dy/dt,4.350550003964468,0.0
lorenz63,baseline,Baseline,8,0.1,0,1,dz/dt,-0.7106560335747881,0.0
lorenz63,baseline,Baseline,8,0.1,0,x,dx/dt,-8.800461279990621,-10.0
lorenz63,baseline,Baseline,8,0.1,0,x,dy/dt,-6.51133890813993,28.0
lorenz63,baseline,Baseline,8,0.1,0,y,dx/dt,8.964648650183662,10.0
lorenz63,baseline,Baseline,8,0.1,0,y,dy/dt,18.51703217817488,-1.0
lorenz63,baseline,Baseline,8,0.1,0,z,dz/dt,-2.450303823476247,-2.6666666666666665
lorenz63,baseline,Baseline,8,0.1,0,x*y,dz/dt,0.9415220446160706,1.0
lorenz63,baseline,Baseline,8,0.1,0,x*z,dy/dt,0.0,-1.0
lorenz63,baseline,Baseline,8,0.1,0,y*z,dy/dt,-0.5690146131675996,0.0
lorenz63,baseline,Baseline,16,0.0,0,1,dy/dt,1.15398538213621,0.0
lorenz63,baseline,Baseline,16,0.0,0,x,dx/dt,-8.764125692559457,-10.0
lorenz63,baseline,Baseline,16,0.0,0,x,dy/dt,17.04038793587283,28.0
lorenz63,baseline,Baseline,16,0.0,0,y,dx/dt,8.765328341107837,10.0
lorenz63,baseline,Baseline,16,0.0,0,y,dy/dt,1.0838330109563648,-1.0
lorenz63,baseline,Baseline,16,0.0,0,z,dz/dt,-2.237577971171921,-2.6666666666666665
lorenz63,baseline,Baseline,16,0.0,0,x*y,dz/dt,0.8362378152307854,1.0
lorenz63,baseline,Baseline,16,0.0,0,x*z,dy/dt,-0.693486455366295,-1.0
lorenz63,baseline,Baseline,16,0.1,0,1,dx/dt,-1.4674973605192392,0.0
lorenz63,baseline,Baseline,16,0.1,0,1,dy/dt,2.671010172056978,0.0
lorenz63,baseline,Baseline,16,0.1,0,1,dz/dt,23.401257493238116,0.0
lorenz63,baseline,Baseline,16,0.1,0,x,dx/dt,-8.0400008316462,-10.0
lorenz63,baseline,Baseline,16,0.1,0,x,dy/dt,11.445178430548095,28.0
lorenz63,baseline,Baseline,16,0.1,0,y,dx/dt,8.315538829209812,10.0
lorenz63,baseline,Baseline,16,0.1,0,y,dy/dt,4.8609109488446745,-1.0
lorenz63,baseline,Baseline,16,0.1,0,y,dz/dt,0.2429718978581797,0.0
lorenz63,baseline,Baseline,16,0.1,0,z,dz/dt,-3.7823869281395175,-2.6666666666666665
lorenz63,baseline,Baseline,16,0.1,0,x*x,dz/dt,0.6222222739927931,0.0
lorenz63,baseline,Baseline,16,0.1,0,x*y,dz/dt,0.0,1.0
lorenz63,baseline,Baseline,16,0.1,0,x*z,dy/dt,-0.5223789007415242,-1.0
lorenz63,baseline,Baseline,16,0.1,0,y*y,dz/dt,0.2904794608071433,0.0
lorenz63,baseline,Baseline,16,0.1,0,y*z,dy/dt,-0.128443564049207,0.0
lorenz63,baseline,Baseline,32,0.0,0,1,dy/dt,-1.0753900646335102,0.0
lorenz63,baseline,Baseline,32,0.0,0,x,dx/dt,-6.1205593749075575,-10.0
lorenz63,baseline,Baseline,32,0.0,0,x,dy/dt,0.0,28.0
lorenz63,baseline,Baseline,32,0.0,0,y,dx/dt,6.123620043242218,10.0
lorenz63,baseline,Baseline,32,0.0,0,y,dy/dt,0.0,-1.0
lorenz63,baseline,Baseline,32,0.0,0,z,dz/dt,0.0,-2.6666666666666665
lorenz63,baseline,Baseline,32,0.0,0,x*y,dz/dt,0.0,1.0
lorenz63,baseline,Baseline,32,0.0,0,x*z,dy/dt,0.0,-1.0
lorenz63,baseline,Baseline,32,0.1,0,1,dx/dt,-3.1098360839467523,0.0
lorenz63,baseline,Baseline,32,0.1,0,1,dy/dt,3.22431781828047,0.0
lorenz63,baseline,Baseline,32,0.1,0,1,dz/dt,44.10443555520979,0.0
lorenz63,baseline,Baseline,32,0.1,0,x,dx/dt,9.17529725995428,-10.0
lorenz63,baseline,Baseline,32,0.1,0,x,dy/dt,-7.433308331162954,28.0
lorenz63,baseline,Baseline,32,0.1,0,y,dx/dt,0.0,10.0
lorenz63,baseline,Baseline,32,0.1,0,y,dy/dt,5.6323272623642495,-1.0
lorenz63,baseline,Baseline,32,0.1,0,y,dz/dt,0.9724546227550784,0.0
lorenz63,baseline,Baseline,32,0.1,0,z,dz/dt,-4.104044215867641,-2.6666666666666665
lorenz63,baseline,Baseline,32,0.1,0,x*x,dz/dt,0.7956334410987027,0.0
lorenz63,baseline,Baseline,32,0.1,0,x*y,dz/dt,0.0,1.0
lorenz63,baseline,Baseline,32,0.1,0,x*z,dx/dt,-0.3008343484512772,0.0
lorenz63,baseline,Baseline,32,0.1,0,x*z,dy/dt,0.0,-1.0
lorenz63,baseline,Baseline,64,0.0,0,1,dz/dt,-1.303688177991118,0.0
lorenz63,baseline,Baseline,64,0.0,0,x,dx/dt,-1.5096119644056842,-10.0
lorenz63,baseline,Baseline,64,0.0,0,x,dy/dt,-1.9456202662554605,28.0
lorenz63,baseline,Baseline,64,0.0,0,y,dx/dt,1.9789974421035637,10.0
lorenz63,baseline,Baseline,64,0.0,0,y,dy/dt,1.3630719284715362,-1.0
lorenz63,baseline,Baseline,64,0.0,0,z,dz/dt,0.0,-2.6666666666666665
lorenz63,baseline,Baseline,64,0.0,0,x*y,dz/dt,0.0,1.0
lorenz63,baseline,Baseline,64,0.0,0,x*z,dy/dt,0.0,-1.0
lorenz63,baseline,Baseline,64,0.1,0,1,dz/dt,-1.2303874022237158,0.0
lorenz63,baseline,Baseline,64,0.1,0,x,dx/dt,-1.3771158843590772,-10.0
lorenz63,baseline,Baseline,64,0.1,0,x,dy/dt,-1.8527874545005056,28.0
lorenz63,baseline,Baseline,64,0.1,0,y,dx/dt,1.9290491714090348,10.0
lorenz63,baseline,Baseline,64,0.1,0,y,dy/dt,1.2088761976533335,-1.0
lorenz63,baseline,Baseline,64,0.1,0,z,dz/dt,0.0,-2.6666666666666665
lorenz63,baseline,Baseline,64,0.1,0,x*y,dz/dt,0.0,1.0
lorenz63,baseline,Baseline,64,0.1,0,x*z,dy/dt,0.0,-1.0
vanderpol_mu2,baseline,Baseline,8,0.0,0,x,dy/dt,-0.9984653756307664,-1.0
vanderpol_mu2,baseline,Baseline,8,0.0,0,y,dx/dt,0.9986833426330132,1.0
vanderpol_mu2,baseline,Baseline,8,0.0,0,y,dy/dt,1.9840588316510217,2.0
vanderpol_mu2,baseline,Baseline,8,0.0,0,x*x*y,dy/dt,-1.9841066617333936,-2.0
vanderpol_mu2,baseline,Baseline,8,0.1,0,x,dy/dt,-0.9906924466136472,-1.0
vanderpol_mu2,baseline,Baseline,8,0.1,0,y,dx/dt,0.9742602526849894,1.0
vanderpol_mu2,baseline,Baseline,8,0.1,0,y,dy/dt,1.7632383786178485,2.0
vanderpol_mu2,baseline,Baseline,8,0.1,0,x*x*y,dy/dt,-1.760028049037875,-2.0
vanderpol_mu2,baseline,Baseline,16,0.0,0,x,dy/dt,-0.9938829236952692,-1.0
vanderpol_mu2,baseline,Baseline,16,0.0,0,y,dx/dt,0.9947645108365346,1.0
vanderpol_mu2,baseline,Baseline,16,0.0,0,y,dy/dt,1.937108219561696,2.0
vanderpol_mu2,baseline,Baseline,16,0.0,0,x*x*y,dy/dt,-1.93728933295417,-2.0
vanderpol_mu2,baseline,Baseline,16,0.1,0,x,dy/dt,-0.9719916181691874,-1.0
vanderpol_mu2,baseline,Baseline,16,0.1,0,y,dx/dt,0.9718381253259012,1.0
vanderpol_mu2,baseline,Baseline,16,0.1,0,y,dy/dt,1.7537836921135104,2.0
vanderpol_mu2,baseline,Baseline,16,0.1,0,x*x*y,dy/dt,-1.6196288858206582,-2.0
vanderpol_mu2,baseline,Baseline,32,0.0,0,x,dy/dt,-0.9762063469276338,-1.0
vanderpol_mu2,baseline,Baseline,32,0.0,0,y,dx/dt,0.9795409716770972,1.0
vanderpol_mu2,baseline,Baseline,32,0.0,0,y,dy/dt,1.7620273076697912,2.0
vanderpol_mu2,baseline,Baseline,32,0.0,0,x*x*y,dy/dt,-1.7626173906195857,-2.0
vanderpol_mu2,baseline,Baseline,32,0.1,0,x,dy/dt,-0.9135237549900558,-1.0
vanderpol_mu2,baseline,Baseline,32,0.1,0,y,dx/dt,0.987913599470588,1.0
vanderpol_mu2,baseline,Baseline,32,0.1,0,y,dy/dt,1.7088315486327206,2.0
vanderpol_mu2,baseline,Baseline,32,0.1,0,x*x*y,dy/dt,-1.54840210595759,-2.0
vanderpol_mu2,baseline,Baseline,64,0.0,0,x,dy/dt,-1.2042719349156483,-1.0
vanderpol_mu2,baseline,Baseline,64,0.0,0,y,dx/dt,0.920360935887076,1.0
vanderpol_mu2,baseline,Baseline,64,0.0,0,y,dy/dt,3.887139040315109,2.0
vanderpol_mu2,baseline,Baseline,64,0.0,0,x*x*y,dy/dt,-2.6111047306614203,-2.0
vanderpol_mu2,baseline,Baseline,64,0.0,0,x*y*y,dy/dt,0.998434671774688,0.0
vanderpol_mu2,baseline,Baseline,64,0.0,0,y*y*y,dy/dt,-0.36903953598639,0.0
vanderpol_mu2,baseline,Baseline,64,0.1,0,x,dy/dt,-0.8602735490689618,-1.0
vanderpol_mu2,baseline,Baseline,64,0.1,0,y,dx/dt,0.9314922139338936,1.0
vanderpol_mu2,baseline,Baseline,64,0.1,0,y,dy/dt,1.0905158917050868,2.0
vanderpol_mu2,baseline,Baseline,64,0.1,0,x*x*y,dy/dt,-1.0346959557091675,-2.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.0,0,x,dx/dt,-9.987191026257394,-10.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.0,0,x,dy/dt,27.87313232742868,28.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.0,0,y,dx/dt,9.98711958863576,10.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.0,0,y,dy/dt,-0.975866051824805,-1.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.0,0,z,dz/dt,-2.662009719183512,-2.6666666666666665
lorenz63,edmd_poly3,EDMD-polynomial,8,0.0,0,x*y,dz/dt,0.9982159250958508,1.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.0,0,x*z,dy/dt,-0.9964422586914764,-1.0
lorenz63,edmd_rbf,EDMD-RBF,8,0.0,0,x,dx/dt,-9.98630069940185,-10.0
lorenz63,edmd_rbf,EDMD-RBF,8,0.0,0,x,dy/dt,27.88359341666933,28.0
lorenz63,edmd_rbf,EDMD-RBF,8,0.0,0,y,dx/dt,9.9863755117803,10.0
lorenz63,edmd_rbf,EDMD-RBF,8,0.0,0,y,dy/dt,-0.9792560979580126,-1.0
lorenz63,edmd_rbf,EDMD-RBF,8,0.0,0,z,dz/dt,-2.6616302510916983,-2.6666666666666665
lorenz63,edmd_rbf,EDMD-RBF,8,0.0,0,x*y,dz/dt,0.9980884186520262,1.0
lorenz63,edmd_rbf,EDMD-RBF,8,0.0,0,x*z,dy/dt,-0.996682014508652,-1.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.1,0,1,dy/dt,6.13566878184884,0.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.1,0,x,dx/dt,-9.666885116271066,-10.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.1,0,x,dy/dt,-12.51278924008555,28.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.1,0,y,dx/dt,9.746120981400765,10.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.1,0,y,dy/dt,9.209728570451205,-1.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.1,0,z,dz/dt,-2.618732602268748,-2.6666666666666665
lorenz63,edmd_poly3,EDMD-polynomial,8,0.1,0,x*y,dz/dt,0.9948915602164978,1.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.1,0,x*z,dy/dt,0.0,-1.0
lorenz63,edmd_rbf,EDMD-RBF,8,0.1,0,1,dy/dt,3.3964291683241297,0.0
lorenz63,edmd_rbf,EDMD-RBF,8,0.1,0,1,dz/dt,-7.334870227620439,0.0
lorenz63,edmd_rbf,EDMD-RBF,8,0.1,0,x,dx/dt,-9.4089650598168,-10.0
lorenz63,edmd_rbf,EDMD-RBF,8,0.1,0,x,dy/dt,26.34386064566189,28.0
lorenz63,edmd_rbf,EDMD-RBF,8,0.1,0,y,dx/dt,9.5178043806379,10.0
lorenz63,edmd_rbf,EDMD-RBF,8,0.1,0,y,dy/dt,-0.5613410332210986,-1.0
lorenz63,edmd_rbf,EDMD-RBF,8,0.1,0,y,dz/dt,-0.2036755210589311,0.0
lorenz63,edmd_rbf,EDMD-RBF,8,0.1,0,z,dy/dt,-0.1295301720161303,0.0
lorenz63,edmd_rbf,EDMD-RBF,8,0.1,0,z,dz/dt,-2.2815590218011814,-2.6666666666666665
lorenz63,edmd_rbf,EDMD-RBF,8,0.1,0,x*y,dz/dt,0.833445495875636,1.0
lorenz63,edmd_rbf,EDMD-RBF,8,0.1,0,x*z,dy/dt,-0.961435011222518,-1.0
lorenz63,edmd_rbf,EDMD-RBF,8,0.1,0,y*y,dz/dt,0.1212791775342195,0.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.0,0,1,dz/dt,0.2513076472782803,0.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.0,0,x,dx/dt,-9.87216868900561,-10.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.0,0,x,dy/dt,27.91471506708941,28.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.0,0,y,dx/dt,9.877627607823994,10.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.0,0,y,dy/dt,-0.9873563031304292,-1.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.0,0,z,dz/dt,-2.648130951824853,-2.6666666666666665
lorenz63,edmd_poly3,EDMD-polynomial,16,0.0,0,x*y,dz/dt,0.9896021547435369,1.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.0,0,x*z,dy/dt,-0.9971764669527194,-1.0
lorenz63,edmd_rbf,EDMD-RBF,16,0.0,0,x,dx/dt,-9.931861778780656,-10.0
lorenz63,edmd_rbf,EDMD-RBF,16,0.0,0,x,dy/dt,27.78837961145144,28.0
lorenz63,edmd_rbf,EDMD-RBF,16,0.0,0,y,dx/dt,9.930041722357409,10.0
lorenz63,edmd_rbf,EDMD-RBF,16,0.0,0,y,dy/dt,-0.9458902640501592,-1.0
lorenz63,edmd_rbf,EDMD-RBF,16,0.0,0,z,dz/dt,-2.6390193214301507,-2.6666666666666665
lorenz63,edmd_rbf,EDMD-RBF,16,0.0,0,x*y,dz/dt,0.9885427784989302,1.0
lorenz63,edmd_rbf,EDMD-RBF,16,0.0,0,x*z,dy/dt,-0.9941169557001,-1.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,1,dx/dt,-2.519057892109641,0.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,1,dz/dt,-1.247054225474742,0.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,x,dx/dt,16.275585335025056,-10.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,x,dy/dt,28.36267357161636,28.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,x,dz/dt,-0.5393942428168342,0.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,y,dx/dt,0.0,10.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,y,dy/dt,-1.1731100922579556,-1.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,y,dz/dt,0.4320921732182734,0.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,z,dz/dt,-2.49495457018579,-2.6666666666666665
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,x*y,dz/dt,0.9508390053769976,1.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,x*z,dx/dt,-0.5388402674592434,0.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,x*z,dy/dt,-1.0090299833365648,-1.0
lorenz63,edmd_rbf,EDMD-RBF,16,0.1,0,1,dx/dt,-1.514451398635255,0.0
lorenz63,edmd_rbf,EDMD-RBF,16,0.1,0,1,dy/dt,1.887900806528958,0.0
lorenz63,edmd_rbf,EDMD-RBF,16,0.1,0,1,dz/dt,-0.9822314418215816,0.0
lorenz63,edmd_rbf,EDMD-RBF,16,0.1,0,x,dx/dt,-9.380686152578717,-10.0
lorenz63,edmd_rbf,EDMD-RBF,16,0.1,0,x,dy/dt,27.244183992341338,28.0
lorenz63,edmd_rbf,EDMD-RBF,16,0.1,0,y,dx/dt,9.648869154095433,10.0
lorenz63,edmd_rbf,EDMD-RBF,16,0.1,0,y,dy/dt,-0.9108201864919544,-1.0
lorenz63,edmd_rbf,EDMD-RBF,16,0.1,0,z,dz/dt,-2.534494673105923,-2.6666666666666665
lorenz63,edmd_rbf,EDMD-RBF,16,0.1,0,x*y,dz/dt,0.9562213757861046,1.0
lorenz63,edmd_rbf,EDMD-RBF,16,0.1,0,x*z,dy/dt,-0.9837274134006366,-1.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.0,0,1,dx/dt,1.008252744452488,0.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.0,0,1,dy/dt,7.198312290705736,0.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.0,0,1,dz/dt,74.94672194629662,0.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.0,0,x,dx/dt,-9.02331820592926,-10.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.0,0,x,dy/dt,-11.868363967263605,28.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.0,0,y,dx/dt,8.946538175274542,10.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.0,0,y,dy/dt,8.741585108393249,-1.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.0,0,z,dz/dt,-6.556726345696181,-2.6666666666666665
lorenz63,edmd_poly3,EDMD-polynomial,32,0.0,0,x*x,dz/dt,1.258587146828622,0.0
