system,method,method_label,sparse_factor,obs_dt,noise,seed,upsample,pod_rank,rank_mode,support_f1,coef_error,practical_score,threshold,status,rank_cv_error,rank_cv_folds,rank_grid,spline_alpha,spline_cv_error,spline_cv_folds,gp_kernel,gp_cv_error,gp_cv_folds,gp_cv_spatial_points
burgers,baseline,Baseline,4,0.02,0.0,0,1,0,system,1.0,0.0005922402086964,0.999408110332164,0.0001,ok,,,,,,,,,,
burgers,pydmd_optdmd,PyDMD optimized DMD,4,0.02,0.0,0,5,8,system,1.0,0.0054686404205218,0.9945611029517196,0.01,ok,,,,,,,,,,
burgers,baseline,Baseline,4,0.02,0.0,1,1,0,system,1.0,0.0005922402086964,0.999408110332164,0.0001,ok,,,,,,,,,,
burgers,pydmd_optdmd,PyDMD optimized DMD,4,0.02,0.0,1,5,8,system,1.0,0.0054771126137267,0.9945527227372792,0.01,ok,,,,,,,,,,
burgers,baseline,Baseline,4,0.02,0.0,2,1,0,system,1.0,0.0005922402086964,0.999408110332164,0.0001,ok,,,,,,,,,,
burgers,pydmd_optdmd,PyDMD optimized DMD,4,0.02,0.0,2,5,8,system,1.0,0.0053048945257446,0.9947230988781296,0.01,ok,,,,,,,,,,
burgers,baseline,Baseline,4,0.02,0.0,3,1,0,system,1.0,0.0005922402086964,0.999408110332164,0.0001,ok,,,,,,,,,,
burgers,pydmd_optdmd,PyDMD optimized DMD,4,0.02,0.0,3,5,8,system,1.0,0.0053033243943081,0.9947246524848574,0.01,ok,,,,,,,,,,
burgers,baseline,Baseline,4,0.02,0.0,4,1,0,system,1.0,0.0005922402086964,0.999408110332164,0.0001,ok,,,,,,,,,,
burgers,pydmd_optdmd,PyDMD optimized DMD,4,0.02,0.0,4,5,8,system,1.0,0.0055869791836272,0.9944440617278448,0.01,ok,,,,,,,,,,
burgers,baseline,Baseline,4,0.02,0.0,5,1,0,system,1.0,0.0005922402086964,0.999408110332164,0.0001,ok,,,,,,,,,,
