system,method,method_label,seed,sparse_factor,noise,pod_rank,support_f1,coef_error,practical_score,threshold
fisher_kpp_front,baseline,Baseline,0,8,0.01,0,0.8,0.04170485528720372,0.7679718453260311,0.015
fisher_kpp_front,pod_edmd_rbf,POD-EDMD-RBF,0,8,0.01,2,1.0,0.010939674402756748,0.9891787070190714,0.013
fisher_kpp_front,baseline,Baseline,1,8,0.01,0,0.8,0.04505583993082872,0.765509333982528,0.02
fisher_kpp_front,pod_edmd_rbf,POD-EDMD-RBF,1,8,0.01,2,1.0,0.016783884165829925,0.9834931646466846,0.007
fisher_kpp_front,baseline,Baseline,2,8,0.01,0,0.8,0.042826366522791814,0.7671459273393001,0.02
fisher_kpp_front,pod_edmd_rbf,POD-EDMD-RBF,2,8,0.01,2,0.8,0.042026273885203386,0.7677349602877034,0.015
fisher_kpp_front,baseline,Baseline,3,8,0.01,0,0.8,0.04357771738263024,0.7665936007204706,0.02
fisher_kpp_front,pod_edmd_rbf,POD-EDMD-RBF,3,8,0.01,2,1.0,0.016832529637061503,0.9834461141373304,0.02
fisher_kpp_front,baseline,Baseline,4,8,0.01,0,0.8,0.04240510705001509,0.7674559483538828,0.02
fisher_kpp_front,pod_edmd_rbf,POD-EDMD-RBF,4,8,0.01,2,1.0,0.01725531218294054,0.9830373830676664,0.01
