setting,system,equation,method,method_label,seed,noise,sparse_factor,threshold,support_size,rss,bic,ebic,true_support_size,support_f1,coef_error,active_terms,delta_ebic_from_best,selection_rule
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,0,0.01,8,0.01,1,3.869237666285383,-1031.4170002800456,-1029.1144151870515,1,1.0,0.0060367240627193786,2,0.0,elbow_ebic
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,1,0.01,8,0.01,1,5.19336719915017,-958.1301324033697,-955.8275473103756,1,1.0,0.0043942036158648445,2,0.0,elbow_ebic
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,2,0.01,8,0.01,1,4.977916479717761,-968.6804732677894,-966.3778881747953,1,1.0,0.007001149072989876,2,0.0,elbow_ebic
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,3,0.01,8,0.01,1,4.526110460093047,-992.3724431282632,-990.0698580352691,1,1.0,0.004079941421043287,2,0.0,elbow_ebic
ODE,vanderpol_mu2,dx/dt,baseline,Baseline,4,0.01,8,0.03,1,4.671137921426073,-984.5190439671885,-982.2164588741945,1,1.0,0.005300830884490071,2,0.0,elbow_ebic
ODE,vanderpol_mu2,dx/dt,edmd_poly3,EDMD-polynomial,0,0.01,8,0.01,1,219.4373905961007,-2164.920313387916,-2162.617728294922,1,1.0,0.0010078555060133443,2,0.0,elbow_ebic
ODE,vanderpol_mu2,dx/dt,edmd_poly3,EDMD-polynomial,1,0.01,8,0.01,1,228.90881800931885,-2112.141577349005,-2109.838992256011,1,1.0,0.0006952896858585245,2,0.0,elbow_ebic
ODE,vanderpol_mu2,dx/dt,edmd_poly3,EDMD-polynomial,2,0.01,8,0.01,1,195.9175502413477,-2306.523248678561,-2304.220663585567,1,1.0,0.0020117021604580954,2,0.0,elbow_ebic
ODE,vanderpol_mu2,dx/dt,edmd_poly3,EDMD-polynomial,3,0.01,8,0.01,1,227.5379293252443,-2119.6440740795842,-2117.3414889865903,1,1.0,0.0011250652682781581,2,0.0,elbow_ebic
ODE,vanderpol_mu2,dx/dt,edmd_poly3,EDMD-polynomial,4,0.01,8,0.01,1,203.67551406070066,-2258.0193310969944,-2255.7167460040005,1,1.0,0.00027458719839756895,2,0.0,elbow_ebic
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,0,0.01,8,0.1,3,8.669917575341367,-819.4884508476298,-814.7009591048477,3,1.0,0.03313777419724735,1;2;7,48.27380220591897,elbow_ebic
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,1,0.01,8,0.1,3,7.81774228900475,-845.2508575767024,-840.4633658339203,3,1.0,0.031306458702775826,1;2;7,51.62805981847646,elbow_ebic
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,2,0.01,8,0.1,3,7.869245267981826,-843.6158351994284,-838.8283434566463,3,1.0,0.023338968537874902,1;2;7,16.354138547717298,elbow_ebic
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,3,0.01,8,0.1,3,9.596101540295786,-794.2155378456184,-789.4280461028363,3,1.0,0.03895917093127809,1;2;7,69.4209023358643,elbow_ebic
ODE,vanderpol_mu2,dy/dt,baseline,Baseline,4,0.01,8,0.1,3,7.9542748053177466,-840.939748147827,-836.1522564050449,3,1.0,0.02778851594902534,1;2;7,30.15042639772048,elbow_ebic
ODE,vanderpol_mu2,dy/dt,edmd_poly3,EDMD-polynomial,0,0.01,8,0.03,3,205.49536011094753,-2232.648848139297,-2227.861356396515,3,1.0,0.004531361253210085,1;2;7,0.0,elbow_ebic
ODE,vanderpol_mu2,dy/dt,edmd_poly3,EDMD-polynomial,1,0.01,8,0.03,3,181.67855564656395,-2386.506297839482,-2381.7188060967,3,1.0,0.0033028212806030504,1;2;7,0.0,elbow_ebic
ODE,vanderpol_mu2,dy/dt,edmd_poly3,EDMD-polynomial,2,0.01,8,0.03,3,193.6203920212511,-2306.9942681366165,-2302.2067763938344,3,1.0,0.007247905878088795,1;2;7,0.0,elbow_ebic
ODE,vanderpol_mu2,dy/dt,edmd_poly3,EDMD-polynomial,3,0.01,8,0.01,3,213.73188131933014,-2183.564542871774,-2178.777051128992,3,1.0,0.008619491786518843,1;2;7,0.0,elbow_ebic
ODE,vanderpol_mu2,dy/dt,edmd_poly3,EDMD-polynomial,4,0.01,8,0.01,3,222.19674043805017,-2135.0522973213124,-2130.2648055785303,3,1.0,0.0019118733487307903,1;2;7,0.0,elbow_ebic
PDE,burgers,u_t,baseline,Baseline,0,0.01,4,0.03,2,67.71203235943214,-8328.799395873919,-8325.467191363743,2,1.0,0.046432262099368814,4;6,15.64502362409985,elbow_ebic
PDE,burgers,u_t,baseline,Baseline,1,0.01,4,0.03,2,65.61329991154653,-8402.853237164267,-8399.521032654091,2,1.0,0.04477514249625557,4;6,9.341442134367753,elbow_ebic
