system,method,method_label,sparse_factor,noise,seed,feature,equation,coef,true_coef
lorenz63,baseline,Baseline,8,0.0,0,x,dx/dt,-9.677789885652508,-10.0
lorenz63,baseline,Baseline,8,0.0,0,x,dy/dt,24.989250094733134,28.0
lorenz63,baseline,Baseline,8,0.0,0,y,dx/dt,9.677276096483444,10.0
lorenz63,baseline,Baseline,8,0.0,0,y,dy/dt,-0.4295317208233762,-1.0
lorenz63,baseline,Baseline,8,0.0,0,z,dz/dt,-2.550689631336993,-2.6666666666666665
lorenz63,baseline,Baseline,8,0.0,0,x*y,dz/dt,0.9557017577933945,1.0
lorenz63,baseline,Baseline,8,0.0,0,x*z,dy/dt,-0.9153941576420066,-1.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.0,0,x,dx/dt,-9.987191026257099,-10.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.0,0,x,dy/dt,27.873132327422187,28.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.0,0,y,dx/dt,9.98711958863587,10.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.0,0,y,dy/dt,-0.9758660518236814,-1.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.0,0,z,dz/dt,-2.662009719183669,-2.6666666666666665
lorenz63,edmd_poly3,EDMD-polynomial,8,0.0,0,x*y,dz/dt,0.9982159250959424,1.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.0,0,x*z,dy/dt,-0.9964422586912863,-1.0
lorenz63,edmd_rbf,EDMD-RBF,8,0.0,0,x,dx/dt,-9.9863006970369,-10.0
lorenz63,edmd_rbf,EDMD-RBF,8,0.0,0,x,dy/dt,27.883593343589308,28.0
lorenz63,edmd_rbf,EDMD-RBF,8,0.0,0,y,dx/dt,9.986375509490133,10.0
lorenz63,edmd_rbf,EDMD-RBF,8,0.0,0,y,dy/dt,-0.9792560720775461,-1.0
lorenz63,edmd_rbf,EDMD-RBF,8,0.0,0,z,dz/dt,-2.661630246046565,-2.6666666666666665
lorenz63,edmd_rbf,EDMD-RBF,8,0.0,0,x*y,dz/dt,0.9980884178741534,1.0
lorenz63,edmd_rbf,EDMD-RBF,8,0.0,0,x*z,dy/dt,-0.9966820129901567,-1.0
lorenz63,baseline,Baseline,8,0.1,0,1,dx/dt,-0.9275054680126023,0.0
lorenz63,baseline,Baseline,8,0.1,0,1,dy/dt,4.350550003964468,0.0
lorenz63,baseline,Baseline,8,0.1,0,1,dz/dt,-0.7106560335747881,0.0
lorenz63,baseline,Baseline,8,0.1,0,x,dx/dt,-8.800461279990621,-10.0
lorenz63,baseline,Baseline,8,0.1,0,x,dy/dt,-6.51133890813993,28.0
lorenz63,baseline,Baseline,8,0.1,0,y,dx/dt,8.964648650183662,10.0
lorenz63,baseline,Baseline,8,0.1,0,y,dy/dt,18.51703217817488,-1.0
lorenz63,baseline,Baseline,8,0.1,0,z,dz/dt,-2.450303823476247,-2.6666666666666665
lorenz63,baseline,Baseline,8,0.1,0,x*y,dz/dt,0.9415220446160706,1.0
lorenz63,baseline,Baseline,8,0.1,0,x*z,dy/dt,0.0,-1.0
lorenz63,baseline,Baseline,8,0.1,0,y*z,dy/dt,-0.5690146131675996,0.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.1,0,1,dy/dt,6.117663740842606,0.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.1,0,x,dx/dt,-9.658964738685171,-10.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.1,0,x,dy/dt,-12.502753261896457,28.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.1,0,y,dx/dt,9.741626821794641,10.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.1,0,y,dy/dt,9.201993732430346,-1.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.1,0,z,dz/dt,-2.618148793913233,-2.6666666666666665
lorenz63,edmd_poly3,EDMD-polynomial,8,0.1,0,x*y,dz/dt,0.9946900080905561,1.0
lorenz63,edmd_poly3,EDMD-polynomial,8,0.1,0,x*z,dy/dt,0.0,-1.0
lorenz63,edmd_rbf,EDMD-RBF,8,0.1,0,1,dy/dt,3.386752732577842,0.0
lorenz63,edmd_rbf,EDMD-RBF,8,0.1,0,1,dz/dt,-7.271620932294089,0.0
lorenz63,edmd_rbf,EDMD-RBF,8,0.1,0,x,dx/dt,-9.409695592539146,-10.0
lorenz63,edmd_rbf,EDMD-RBF,8,0.1,0,x,dy/dt,26.337967361996427,28.0
lorenz63,edmd_rbf,EDMD-RBF,8,0.1,0,y,dx/dt,9.518645036081256,10.0
lorenz63,edmd_rbf,EDMD-RBF,8,0.1,0,y,dy/dt,-0.5592464064778367,-1.0
lorenz63,edmd_rbf,EDMD-RBF,8,0.1,0,y,dz/dt,-0.20367050490665334,0.0
lorenz63,edmd_rbf,EDMD-RBF,8,0.1,0,z,dy/dt,-0.12909436935977742,0.0
lorenz63,edmd_rbf,EDMD-RBF,8,0.1,0,z,dz/dt,-2.2844863238190474,-2.6666666666666665
lorenz63,edmd_rbf,EDMD-RBF,8,0.1,0,x*y,dz/dt,0.8348285618837772,1.0
lorenz63,edmd_rbf,EDMD-RBF,8,0.1,0,x*z,dy/dt,-0.9613121247389682,-1.0
lorenz63,edmd_rbf,EDMD-RBF,8,0.1,0,y*y,dz/dt,0.12030866155297863,0.0
lorenz63,baseline,Baseline,16,0.0,0,1,dy/dt,1.15398538213621,0.0
lorenz63,baseline,Baseline,16,0.0,0,x,dx/dt,-8.764125692559457,-10.0
lorenz63,baseline,Baseline,16,0.0,0,x,dy/dt,17.04038793587283,28.0
lorenz63,baseline,Baseline,16,0.0,0,y,dx/dt,8.765328341107837,10.0
lorenz63,baseline,Baseline,16,0.0,0,y,dy/dt,1.0838330109563648,-1.0
lorenz63,baseline,Baseline,16,0.0,0,z,dz/dt,-2.237577971171921,-2.6666666666666665
lorenz63,baseline,Baseline,16,0.0,0,x*y,dz/dt,0.8362378152307854,1.0
lorenz63,baseline,Baseline,16,0.0,0,x*z,dy/dt,-0.693486455366295,-1.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.0,0,1,dz/dt,0.36822394591413293,0.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.0,0,x,dx/dt,-9.897053260558323,-10.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.0,0,x,dy/dt,27.91456443000884,28.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.0,0,y,dx/dt,9.899775024333374,10.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.0,0,y,dy/dt,-0.9670465175352412,-1.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.0,0,z,dz/dt,-2.651451841600296,-2.6666666666666665
lorenz63,edmd_poly3,EDMD-polynomial,16,0.0,0,x*y,dz/dt,0.988617361375627,1.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.0,0,x*z,dy/dt,-0.9979999380070084,-1.0
lorenz63,edmd_rbf,EDMD-RBF,16,0.0,0,x,dx/dt,-9.926333681295146,-10.0
lorenz63,edmd_rbf,EDMD-RBF,16,0.0,0,x,dy/dt,27.62392943105245,28.0
lorenz63,edmd_rbf,EDMD-RBF,16,0.0,0,y,dx/dt,9.926586269264106,10.0
lorenz63,edmd_rbf,EDMD-RBF,16,0.0,0,y,dy/dt,-0.9125242114777014,-1.0
lorenz63,edmd_rbf,EDMD-RBF,16,0.0,0,z,dz/dt,-2.6420886733567603,-2.6666666666666665
lorenz63,edmd_rbf,EDMD-RBF,16,0.0,0,x*y,dz/dt,0.9901291468275962,1.0
lorenz63,edmd_rbf,EDMD-RBF,16,0.0,0,x*z,dy/dt,-0.9898850402139612,-1.0
lorenz63,baseline,Baseline,16,0.1,0,1,dx/dt,-1.4674973605192392,0.0
lorenz63,baseline,Baseline,16,0.1,0,1,dy/dt,2.671010172056978,0.0
lorenz63,baseline,Baseline,16,0.1,0,1,dz/dt,23.401257493238113,0.0
lorenz63,baseline,Baseline,16,0.1,0,x,dx/dt,-8.0400008316462,-10.0
lorenz63,baseline,Baseline,16,0.1,0,x,dy/dt,11.445178430548097,28.0
lorenz63,baseline,Baseline,16,0.1,0,y,dx/dt,8.315538829209812,10.0
lorenz63,baseline,Baseline,16,0.1,0,y,dy/dt,4.8609109488446745,-1.0
lorenz63,baseline,Baseline,16,0.1,0,y,dz/dt,0.2429718978581797,0.0
lorenz63,baseline,Baseline,16,0.1,0,z,dz/dt,-3.7823869281395175,-2.6666666666666665
lorenz63,baseline,Baseline,16,0.1,0,x*x,dz/dt,0.6222222739927931,0.0
lorenz63,baseline,Baseline,16,0.1,0,x*y,dz/dt,0.0,1.0
lorenz63,baseline,Baseline,16,0.1,0,x*z,dy/dt,-0.5223789007415242,-1.0
lorenz63,baseline,Baseline,16,0.1,0,y*y,dz/dt,0.2904794608071433,0.0
lorenz63,baseline,Baseline,16,0.1,0,y*z,dy/dt,-0.12844356404920704,0.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,1,dx/dt,-1.6443732937702937,0.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,1,dy/dt,1.7904871888680047,0.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,1,dz/dt,-1.657674702168873,0.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,x,dx/dt,-9.53382751639318,-10.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,x,dy/dt,26.949449804574282,28.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,x,dz/dt,-0.5222545307498005,0.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,y,dx/dt,9.825992608283899,10.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,y,dy/dt,-0.8743567075029577,-1.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,y,dz/dt,0.4080657870882714,0.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,z,dz/dt,-2.4898807354783057,-2.6666666666666665
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,x*y,dz/dt,0.9560452272050383,1.0
lorenz63,edmd_poly3,EDMD-polynomial,16,0.1,0,x*z,dy/dt,-0.9745480990512907,-1.0
lorenz63,edmd_rbf,EDMD-RBF,16,0.1,0,1,dx/dt,-1.5569224273989672,0.0
lorenz63,edmd_rbf,EDMD-RBF,16,0.1,0,1,dy/dt,-0.9633187467623284,0.0
lorenz63,edmd_rbf,EDMD-RBF,16,0.1,0,1,dz/dt,-1.5097728206179348,0.0
lorenz63,edmd_rbf,EDMD-RBF,16,0.1,0,x,dx/dt,-9.375190058906377,-10.0
lorenz63,edmd_rbf,EDMD-RBF,16,0.1,0,x,dy/dt,19.88047488550457,28.0
lorenz63,edmd_rbf,EDMD-RBF,16,0.1,0,x,dz/dt,-0.31676564233185023,0.0
lorenz63,edmd_rbf,EDMD-RBF,16,0.1,0,y,dx/dt,9.648112780681117,10.0
lorenz63,edmd_rbf,EDMD-RBF,16,0.1,0,y,dy/dt,4.740021922205376,-1.0
lorenz63,edmd_rbf,EDMD-RBF,16,0.1,0,y,dz/dt,0.2238529560418506,0.0
lorenz63,edmd_rbf,EDMD-RBF,16,0.1,0,z,dy/dt,0.1447061139175754,0.0
lorenz63,edmd_rbf,EDMD-RBF,16,0.1,0,z,dz/dt,-2.491716795209573,-2.6666666666666665
lorenz63,edmd_rbf,EDMD-RBF,16,0.1,0,x*y,dz/dt,0.9519601813397794,1.0
lorenz63,edmd_rbf,EDMD-RBF,16,0.1,0,x*z,dy/dt,-0.760838525410123,-1.0
lorenz63,edmd_rbf,EDMD-RBF,16,0.1,0,y*z,dy/dt,-0.1883802248235722,0.0
lorenz63,baseline,Baseline,32,0.0,0,1,dy/dt,-1.0753900646335102,0.0
lorenz63,baseline,Baseline,32,0.0,0,x,dx/dt,-6.1205593749075575,-10.0
lorenz63,baseline,Baseline,32,0.0,0,x,dy/dt,0.0,28.0
lorenz63,baseline,Baseline,32,0.0,0,y,dx/dt,6.123620043242218,10.0
lorenz63,baseline,Baseline,32,0.0,0,y,dy/dt,0.0,-1.0
lorenz63,baseline,Baseline,32,0.0,0,z,dz/dt,0.0,-2.6666666666666665
lorenz63,baseline,Baseline,32,0.0,0,x*y,dz/dt,0.0,1.0
lorenz63,baseline,Baseline,32,0.0,0,x*z,dy/dt,0.0,-1.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.0,0,1,dx/dt,15.91802514889602,0.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.0,0,1,dz/dt,-1.6512843979144165,0.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.0,0,x,dx/dt,-9.93310122449346,-10.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.0,0,x,dy/dt,21.304311270480518,28.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.0,0,x,dz/dt,2.6377050820616916,0.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.0,0,y,dx/dt,9.945206377221087,10.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.0,0,y,dy/dt,0.0,-1.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.0,0,y,dz/dt,-1.9067305218026838,0.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.0,0,z,dx/dt,-0.7719711449919923,0.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.0,0,z,dz/dt,-2.4712339000700227,-2.6666666666666665
lorenz63,edmd_poly3,EDMD-polynomial,32,0.0,0,x*x,dx/dt,0.38502065969847976,0.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.0,0,x*y,dx/dt,-0.337747531476864,0.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.0,0,x*y,dz/dt,0.9171386206317181,1.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.0,0,x*z,dy/dt,-0.806419816024129,-1.0
lorenz63,edmd_rbf,EDMD-RBF,32,0.0,0,1,dx/dt,16.010130958520403,0.0
lorenz63,edmd_rbf,EDMD-RBF,32,0.0,0,1,dy/dt,0.32291337286778593,0.0
lorenz63,edmd_rbf,EDMD-RBF,32,0.0,0,1,dz/dt,28.02560108131133,0.0
lorenz63,edmd_rbf,EDMD-RBF,32,0.0,0,x,dx/dt,-4.317616142924642,-10.0
lorenz63,edmd_rbf,EDMD-RBF,32,0.0,0,x,dy/dt,4.47694896546632,28.0
lorenz63,edmd_rbf,EDMD-RBF,32,0.0,0,x,dz/dt,3.720672016498717,0.0
lorenz63,edmd_rbf,EDMD-RBF,32,0.0,0,y,dx/dt,8.369340026084522,10.0
lorenz63,edmd_rbf,EDMD-RBF,32,0.0,0,y,dy/dt,12.775089092937094,-1.0
lorenz63,edmd_rbf,EDMD-RBF,32,0.0,0,y,dz/dt,-5.366509597472906,0.0
lorenz63,edmd_rbf,EDMD-RBF,32,0.0,0,z,dx/dt,-1.036043120235612,0.0
lorenz63,edmd_rbf,EDMD-RBF,32,0.0,0,z,dz/dt,-4.2556540272892995,-2.6666666666666665
lorenz63,edmd_rbf,EDMD-RBF,32,0.0,0,x*x,dx/dt,0.44578794643983827,0.0
lorenz63,edmd_rbf,EDMD-RBF,32,0.0,0,x*x,dz/dt,0.8041227392359653,0.0
lorenz63,edmd_rbf,EDMD-RBF,32,0.0,0,x*y,dx/dt,-0.32671244757462936,0.0
lorenz63,edmd_rbf,EDMD-RBF,32,0.0,0,x*y,dz/dt,-0.15206403818311556,1.0
lorenz63,edmd_rbf,EDMD-RBF,32,0.0,0,x*z,dx/dt,-0.13589834452274513,0.0
lorenz63,edmd_rbf,EDMD-RBF,32,0.0,0,x*z,dy/dt,-0.2978208186410047,-1.0
lorenz63,edmd_rbf,EDMD-RBF,32,0.0,0,x*z,dz/dt,-0.11583879316845534,0.0
lorenz63,edmd_rbf,EDMD-RBF,32,0.0,0,y*y,dz/dt,0.34685797392867534,0.0
lorenz63,edmd_rbf,EDMD-RBF,32,0.0,0,y*z,dy/dt,-0.4291841142232819,0.0
lorenz63,edmd_rbf,EDMD-RBF,32,0.0,0,y*z,dz/dt,0.22401189547061764,0.0
lorenz63,baseline,Baseline,32,0.1,0,1,dx/dt,-3.1098360839467523,0.0
lorenz63,baseline,Baseline,32,0.1,0,1,dy/dt,3.22431781828047,0.0
lorenz63,baseline,Baseline,32,0.1,0,1,dz/dt,44.10443555520979,0.0
lorenz63,baseline,Baseline,32,0.1,0,x,dx/dt,9.17529725995428,-10.0
lorenz63,baseline,Baseline,32,0.1,0,x,dy/dt,-7.433308331162954,28.0
lorenz63,baseline,Baseline,32,0.1,0,y,dx/dt,0.0,10.0
lorenz63,baseline,Baseline,32,0.1,0,y,dy/dt,5.6323272623642495,-1.0
lorenz63,baseline,Baseline,32,0.1,0,y,dz/dt,0.9724546227550785,0.0
lorenz63,baseline,Baseline,32,0.1,0,z,dz/dt,-4.104044215867641,-2.6666666666666665
lorenz63,baseline,Baseline,32,0.1,0,x*x,dz/dt,0.7956334410987027,0.0
lorenz63,baseline,Baseline,32,0.1,0,x*y,dz/dt,0.0,1.0
lorenz63,baseline,Baseline,32,0.1,0,x*z,dx/dt,-0.3008343484512772,0.0
lorenz63,baseline,Baseline,32,0.1,0,x*z,dy/dt,0.0,-1.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.1,0,1,dx/dt,-19.25430317116968,0.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.1,0,1,dy/dt,-26.905004482822186,0.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.1,0,1,dz/dt,-28.16934072758507,0.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.1,0,x,dx/dt,-7.619963342451816,-10.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.1,0,x,dy/dt,20.60349006415087,28.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.1,0,x,dz/dt,0.928778737531687,0.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.1,0,y,dx/dt,8.502662692820966,10.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.1,0,y,dy/dt,1.770235396614042,-1.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.1,0,y,dz/dt,0.7321099348297406,0.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.1,0,z,dx/dt,0.7308728422808124,0.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.1,0,z,dy/dt,0.9326954141962196,0.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.1,0,z,dz/dt,-1.0103954055220004,-2.6666666666666665
lorenz63,edmd_poly3,EDMD-polynomial,32,0.1,0,x*y,dz/dt,0.0,1.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.1,0,x*z,dy/dt,-0.8260632481783341,-1.0
lorenz63,edmd_poly3,EDMD-polynomial,32,0.1,0,y*y,dz/dt,0.600411411742733,0.0
