system,method,method_label,sparse_factor,noise,seed,feature,coef,true_coef
burgers,baseline,Baseline,4,0.0,0,u*u_x,-0.9994074935966719,-1.0
burgers,baseline,Baseline,4,0.0,0,u_xx,0.04997630405152662,0.05
burgers,pydmd_optdmd,PyDMD optimized DMD,4,0.0,0,u*u_x,-0.9945350119835479,-1.0
burgers,pydmd_optdmd,PyDMD optimized DMD,4,0.0,0,u_xx,0.04966132744557249,0.05
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.0,0,u*u_x,-0.9975525544672402,-1.0
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.0,0,u_xx,0.049620609397821744,0.05
burgers,baseline,Baseline,4,0.1,0,u*u_x,-0.3069024999963273,-1.0
burgers,baseline,Baseline,4,0.1,0,u_xx,0.0,0.05
burgers,pydmd_optdmd,PyDMD optimized DMD,4,0.1,0,u*u_x,-0.72392891993812,-1.0
burgers,pydmd_optdmd,PyDMD optimized DMD,4,0.1,0,u_xx,0.0,0.05
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.1,0,u*u_x,-0.6354070948658516,-1.0
burgers,pod_edmd_rbf,POD-EDMD-RBF,4,0.1,0,u_xx,0.0,0.05
burgers,baseline,Baseline,8,0.0,0,u*u_x,-0.9976286300098187,-1.0
burgers,baseline,Baseline,8,0.0,0,u_xx,0.04990799463748978,0.05
burgers,pydmd_optdmd,PyDMD optimized DMD,8,0.0,0,u*u_x,-0.9950012898540894,-1.0
burgers,pydmd_optdmd,PyDMD optimized DMD,8,0.0,0,u_xx,0.049797255992581745,0.05
burgers,pod_edmd_rbf,POD-EDMD-RBF,8,0.0,0,u*u_x,-0.9978261947903716,-1.0
burgers,pod_edmd_rbf,POD-EDMD-RBF,8,0.0,0,u_xx,0.04978677833785191,0.05
burgers,baseline,Baseline,8,0.1,0,u,-0.10253554185901526,0.0
burgers,baseline,Baseline,8,0.1,0,u*u_x,-0.28326712242817703,-1.0
burgers,baseline,Baseline,8,0.1,0,u_xx,0.0,0.05
burgers,pydmd_optdmd,PyDMD optimized DMD,8,0.1,0,u*u_x,-0.6371275381404465,-1.0
burgers,pydmd_optdmd,PyDMD optimized DMD,8,0.1,0,u_xx,0.0,0.05
burgers,pod_edmd_rbf,POD-EDMD-RBF,8,0.1,0,u*u_x,-0.24699232571191368,-1.0
burgers,pod_edmd_rbf,POD-EDMD-RBF,8,0.1,0,u_xx,0.0,0.05
burgers,baseline,Baseline,16,0.0,0,u*u_x,-0.9905399862130951,-1.0
burgers,baseline,Baseline,16,0.0,0,u_xx,0.04965678173744938,0.05
burgers,pydmd_optdmd,PyDMD optimized DMD,16,0.0,0,u*u_x,-0.9954332697016125,-1.0
burgers,pydmd_optdmd,PyDMD optimized DMD,16,0.0,0,u_xx,0.049966173613284565,0.05
burgers,pod_edmd_rbf,POD-EDMD-RBF,16,0.0,0,u*u_x,-0.9978556531417043,-1.0
burgers,pod_edmd_rbf,POD-EDMD-RBF,16,0.0,0,u_xx,0.04999230437673759,0.05
burgers,baseline,Baseline,16,0.1,0,u*u_x,-0.22482599436290887,-1.0
burgers,baseline,Baseline,16,0.1,0,u_xx,0.0,0.05
burgers,pydmd_optdmd,PyDMD optimized DMD,16,0.1,0,u*u_x,-0.5202120670774962,-1.0
burgers,pydmd_optdmd,PyDMD optimized DMD,16,0.1,0,u_xx,0.0,0.05
burgers,pod_edmd_rbf,POD-EDMD-RBF,16,0.1,0,u*u_x,-0.3568728057931046,-1.0
burgers,pod_edmd_rbf,POD-EDMD-RBF,16,0.1,0,u_xx,0.0,0.05
burgers,baseline,Baseline,32,0.0,0,u*u_x,-0.9637607823625445,-1.0
burgers,baseline,Baseline,32,0.0,0,u_xx,0.04710094718914288,0.05
burgers,pydmd_optdmd,PyDMD optimized DMD,32,0.0,0,u*u_x,-0.9949971280693275,-1.0
burgers,pydmd_optdmd,PyDMD optimized DMD,32,0.0,0,u_xx,0.05017094948061014,0.05
burgers,pod_edmd_rbf,POD-EDMD-RBF,32,0.0,0,u*u_x,-0.9949134509288713,-1.0
burgers,pod_edmd_rbf,POD-EDMD-RBF,32,0.0,0,u_xx,0.04967489785115193,0.05
burgers,baseline,Baseline,32,0.1,0,u*u_x,-0.2832212693052205,-1.0
burgers,baseline,Baseline,32,0.1,0,u_xx,0.0,0.05
burgers,pod_edmd_rbf,POD-EDMD-RBF,32,0.1,0,1,0.0053291920484482575,0.0
burgers,pod_edmd_rbf,POD-EDMD-RBF,32,0.1,0,u,-0.10782128191860285,0.0
burgers,pod_edmd_rbf,POD-EDMD-RBF,32,0.1,0,u^2,0.012977099658643987,0.0
burgers,pod_edmd_rbf,POD-EDMD-RBF,32,0.1,0,u_x,0.0029197440914896272,0.0
burgers,pod_edmd_rbf,POD-EDMD-RBF,32,0.1,0,u*u_x,-0.006279414943470779,-1.0
burgers,pod_edmd_rbf,POD-EDMD-RBF,32,0.1,0,u_xx,-0.0001417191623434309,0.05
fisher_kpp,baseline,Baseline,4,0.0,0,u,1.0000519038072138,1.0
fisher_kpp,baseline,Baseline,4,0.0,0,u^2,-1.000130204210598,-1.0
fisher_kpp,baseline,Baseline,4,0.0,0,u_xx,0.029892069047047692,0.03
fisher_kpp,pydmd_optdmd,PyDMD optimized DMD,4,0.0,0,u,0.9999585325000211,1.0
fisher_kpp,pydmd_optdmd,PyDMD optimized DMD,4,0.0,0,u^2,-0.9999293942351853,-1.0
fisher_kpp,pydmd_optdmd,PyDMD optimized DMD,4,0.0,0,u_xx,0.029988845656414163,0.03
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,4,0.0,0,u,1.0000698237824694,1.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,4,0.0,0,u^2,-1.0001377346966833,-1.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,4,0.0,0,u_xx,0.029895050153255394,0.03
fisher_kpp,baseline,Baseline,4,0.1,0,u,1.0161839144773719,1.0
fisher_kpp,baseline,Baseline,4,0.1,0,u^2,-1.0274829861626582,-1.0
fisher_kpp,baseline,Baseline,4,0.1,0,u_xx,0.0,0.03
fisher_kpp,pydmd_optdmd,PyDMD optimized DMD,4,0.1,0,u,1.0287918814473063,1.0
fisher_kpp,pydmd_optdmd,PyDMD optimized DMD,4,0.1,0,u^2,-1.0577595190265048,-1.0
fisher_kpp,pydmd_optdmd,PyDMD optimized DMD,4,0.1,0,u_xx,0.0,0.03
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,4,0.1,0,1,0.013816668799077388,0.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,4,0.1,0,u,0.9328856059593643,1.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,4,0.1,0,u^2,-0.9235570714722189,-1.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,4,0.1,0,u_x,-0.3574570042945135,0.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,4,0.1,0,u*u_x,2.439800270010345,0.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,4,0.1,0,u^2*u_x,-3.3293318311953297,0.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,4,0.1,0,u_xx,0.002081057741430152,0.03
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,4,0.1,0,u*u_xx,-0.0013061935489227497,0.0
fisher_kpp,baseline,Baseline,8,0.0,0,u,0.999968811989621,1.0
fisher_kpp,baseline,Baseline,8,0.0,0,u^2,-1.0000380941447016,-1.0
fisher_kpp,baseline,Baseline,8,0.0,0,u_xx,0.02989710487769305,0.03
fisher_kpp,pydmd_optdmd,PyDMD optimized DMD,8,0.0,0,u,1.0000199953897464,1.0
fisher_kpp,pydmd_optdmd,PyDMD optimized DMD,8,0.0,0,u^2,-1.0000436272032376,-1.0
fisher_kpp,pydmd_optdmd,PyDMD optimized DMD,8,0.0,0,u_xx,0.02997305592935222,0.03
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,8,0.0,0,u,1.0000694377805368,1.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,8,0.0,0,u^2,-1.0001449079583178,-1.0
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,8,0.0,0,u_xx,0.029896785842497064,0.03
fisher_kpp,baseline,Baseline,8,0.1,0,u,1.0068535842658013,1.0
fisher_kpp,baseline,Baseline,8,0.1,0,u^2,-1.0201049406515459,-1.0
fisher_kpp,baseline,Baseline,8,0.1,0,u_xx,0.0,0.03
fisher_kpp,pydmd_optdmd,PyDMD optimized DMD,8,0.1,0,u,1.0118647973135593,1.0
fisher_kpp,pydmd_optdmd,PyDMD optimized DMD,8,0.1,0,u^2,-1.0303713027669952,-1.0
