setting,system,method,strategy,seed,sparse_factor,noise,support_f1,coef_error,practical_score,threshold,status
ODE,lorenz63,edmd_poly3,baseline,0,64,0.1,0.4,0.9679043036195143,0.2032619163768739,1.0,ok
ODE,lorenz63,edmd_poly3,local_reset,0,64,0.1,0.6666666666666666,1.0552009688965382,0.32438028044751643,0.3,ok
ODE,lorenz63,edmd_poly3,global_rollout,0,64,0.1,0.3076923076923077,1.1595986980441126,0.14247661288691085,1.0,ok
ODE,lorenz63,edmd_poly3,residual_corrected,0,64,0.1,0.6666666666666666,1.093187344930223,0.3184935492187825,0.3,ok
ODE,lorenz63,edmd_poly3,two_sided,0,64,0.1,0.5882352941176471,1.1042814159334302,0.2795421228660683,0.3,ok
ODE,lorenz63,edmd_rbf,baseline,0,64,0.1,0.4,0.9679043036195143,0.2032619163768739,1.0,ok
ODE,lorenz63,edmd_rbf,local_reset,0,64,0.1,0.46153846153846156,1.5568080911782187,0.1805135329205631,0.1,ok
ODE,lorenz63,edmd_rbf,global_rollout,0,64,0.1,0.42105263157894735,1.510950903930594,0.16768652502119405,0.3,ok
ODE,lorenz63,edmd_rbf,residual_corrected,0,64,0.1,0.4444444444444444,1.3458916106531895,0.1894565130060265,0.3,ok
ODE,lorenz63,edmd_rbf,two_sided,0,64,0.1,0.42857142857142855,2.892788677059294,0.11009367939674077,0.1,ok
ODE,lorenz63,edmd_poly3,baseline,1,64,0.1,0.7058823529411765,1.0482119706022546,0.344633447647325,0.3,ok
ODE,lorenz63,edmd_poly3,local_reset,1,64,0.1,0.6666666666666666,1.1331308619956206,0.3125296617025061,0.3,ok
ODE,lorenz63,edmd_poly3,global_rollout,1,64,0.1,0.4,1.6190280748303478,0.15272841243823274,1.0,ok
ODE,lorenz63,edmd_poly3,residual_corrected,1,64,0.1,0.36363636363636365,0.9458697889632289,0.1868760004903058,1.0,ok
ODE,lorenz63,edmd_poly3,two_sided,1,64,0.1,0.47058823529411764,1.4176644871689645,0.19464579878292657,0.3,ok
ODE,lorenz63,edmd_rbf,baseline,1,64,0.1,0.7058823529411765,1.0482119706022546,0.344633447647325,0.3,ok
ODE,lorenz63,edmd_rbf,local_reset,1,64,0.1,0.7058823529411765,1.2286628899865375,0.31672908276650147,0.3,ok
ODE,lorenz63,edmd_rbf,global_rollout,1,64,0.1,0.3333333333333333,1.425654544607227,0.13741995292545178,0.3,ok
ODE,lorenz63,edmd_rbf,residual_corrected,1,64,0.1,0.5555555555555556,1.4542003675004254,0.22636927404643103,0.3,ok
