support_f1,coef_error,practical_score,threshold,status,setting,system,system_label,method,method_label,q,pod_rank,sparse_factor,noise,seed
0.5454545454545454,0.979969325350616,0.27548636156671547,1.0,ok,ODE,lorenz63,Lorenz--63,baseline,Baseline,1,0,16,0.03,0
0.7272727272727273,1.1755218862760648,0.3342980513598195,1.0,ok,ODE,lorenz63,Lorenz--63,baseline,Baseline,1,0,16,0.03,1
0.6666666666666666,1.1882918644967908,0.3046516223373933,1.0,ok,ODE,lorenz63,Lorenz--63,baseline,Baseline,1,0,16,0.03,2
0.42857142857142855,0.9855430176551698,0.21584595486505784,1.0,ok,ODE,lorenz63,Lorenz--63,baseline,Baseline,1,0,16,0.03,3
0.4,0.9121827068494686,0.20918503162234117,1.0,ok,ODE,lorenz63,Lorenz--63,baseline,Baseline,1,0,16,0.03,4
0.4444444444444444,0.9105610631258281,0.23262509271349766,1.0,ok,ODE,lorenz63,Lorenz--63,edmd_poly3,EDMD-polynomial,1,0,16,0.03,0
0.7272727272727273,1.1744371132210112,0.3344648244139893,1.0,ok,ODE,lorenz63,Lorenz--63,edmd_poly3,EDMD-polynomial,1,0,16,0.03,1
0.6666666666666666,1.189667794720878,0.3044601871909287,1.0,ok,ODE,lorenz63,Lorenz--63,edmd_poly3,EDMD-polynomial,1,0,16,0.03,2
0.42857142857142855,0.986257535959624,0.21576830839530187,1.0,ok,ODE,lorenz63,Lorenz--63,edmd_poly3,EDMD-polynomial,1,0,16,0.03,3
0.5454545454545454,0.983112124281677,0.27504977594351604,1.0,ok,ODE,lorenz63,Lorenz--63,edmd_poly3,EDMD-polynomial,1,0,16,0.03,4
0.47619047619047616,1.3600976934161921,0.20176727324418525,0.3,ok,ODE,lorenz63,Lorenz--63,edmd_poly3,EDMD-polynomial,3,0,16,0.03,0
0.6666666666666666,2.370072540391403,0.19781967856075863,1.0,ok,ODE,lorenz63,Lorenz--63,edmd_poly3,EDMD-polynomial,3,0,16,0.03,1
0.7,0.7543039992872093,0.3990186423130864,0.3,ok,ODE,lorenz63,Lorenz--63,edmd_poly3,EDMD-polynomial,3,0,16,0.03,2
0.4444444444444444,1.0110075228005506,0.22100585870783135,0.1,ok,ODE,lorenz63,Lorenz--63,edmd_poly3,EDMD-polynomial,3,0,16,0.03,3
0.6666666666666666,1.3210693168657324,0.2872239367529546,1.0,ok,ODE,lorenz63,Lorenz--63,edmd_poly3,EDMD-polynomial,3,0,16,0.03,4
0.6153846153846154,1.3202001855283811,0.2652291036018831,1.0,ok,ODE,lorenz63,Lorenz--63,edmd_poly3,EDMD-polynomial,5,0,16,0.03,0
0.5714285714285714,0.7238933555598304,0.3314755924927858,0.1,ok,ODE,lorenz63,Lorenz--63,edmd_poly3,EDMD-polynomial,5,0,16,0.03,1
0.5217391304347826,0.9340349210707583,0.26976717160097974,0.3,ok,ODE,lorenz63,Lorenz--63,edmd_poly3,EDMD-polynomial,5,0,16,0.03,2
