system,method,n_valid,n_total,n_seeds,f1_mean,f1_se,coef_error_median,score_mean,score_se
lorenz63,baseline,200,200,10,0.7246795448157981,0.004729355908906438,0.9111712827736356,0.47695572559803645,0.004231710241583701
lorenz63,edmd_poly3,200,200,10,0.7374491647523904,0.00523765177820666,0.5261199634452383,0.5614942676624893,0.00666865074749523
lorenz63,edmd_rbf,200,200,10,0.7051304035345801,0.007594045424508667,0.931702999084581,0.5183181661867402,0.008045836893650788
vanderpol_mu2,baseline,200,200,10,0.9628928571428572,0.001313252267949451,0.1067549602114993,0.8402051132163758,0.0018289554781095055
vanderpol_mu2,edmd_poly3,200,200,10,0.9987301587301587,0.0008547880646245248,0.0154175621243192,0.9765813929385577,0.0016436278763156886
vanderpol_mu2,edmd_rbf,200,200,10,0.9828943001443002,0.005302683721859975,0.019394311710614398,0.9355571534640383,0.008111615071043738
burgers,baseline,160,160,8,0.7302083333333333,0.0015248438639820826,0.2976387412717845,0.5799631964165636,0.0008728277679581975
burgers,pydmd_optdmd,159,160,8,0.7860237596086653,0.001950368049301117,0.1794433342103737,0.6884194394719878,0.0035969403542514193
burgers,pod_edmd_rbf,160,160,8,0.7748611111111112,0.0019885862587883823,0.2165443072730291,0.65755846380012,0.0033303931343606694
fisher_kpp,baseline,160,160,8,0.8369805194805195,0.001980519480519481,0.038533166894558296,0.8099015259563724,0.0035124536615693245
fisher_kpp,pydmd_optdmd,159,160,8,0.846001796945193,0.0014265884767487782,0.0387653006677551,0.8215927149600234,0.001954558019409257
fisher_kpp,pod_edmd_rbf,160,160,8,0.8264502164502165,0.003018707384012852,0.038713413952495,0.7845290172584647,0.005920208603141625
advection_diffusion,baseline,60,60,5,0.6555555555555553,0.005196746370519362,0.16580534024450744,0.5488006570907424,0.003226264813867389
advection_diffusion,optdmd,60,60,5,0.6666666666666664,1.1102230246251565e-16,0.0286397283839098,0.6325172875930034,0.00039486091250483837
advection_diffusion,pod_edmd_rbf,60,60,5,0.7027777777777776,0.008333333333333333,0.0389360728846542,0.6561842563416403,0.007856958373878477
