setting,system,system_label,method,method_label,q,pod_rank,sparse_factor,noise,support_f1_mean,support_f1_median,coef_error_median,coef_error_mean,practical_score_mean,practical_score_median,n_ok
ODE,lorenz63,Lorenz--63,baseline,Baseline,1,0,16,0.03,0.5535930735930735,0.5454545454545454,0.9855430176551698,1.048301760125622,0.2678934043502655,0.27548636156671547,5
ODE,lorenz63,Lorenz--63,edmd_poly3,EDMD-polynomial,1,0,16,0.03,0.5624819624819624,0.5454545454545454,0.986257535959624,1.0488071262618037,0.27247363773144667,0.27504977594351604,5
ODE,lorenz63,Lorenz--63,edmd_poly3,EDMD-polynomial,3,0,16,0.03,0.5907936507936508,0.6666666666666666,1.3210693168657324,1.3633102145522176,0.26136707791576325,0.22100585870783135,5
ODE,lorenz63,Lorenz--63,edmd_poly3,EDMD-polynomial,5,0,16,0.03,0.5630612259768271,0.5714285714285714,0.9340349210707583,1.0589817256085674,0.2875573109032688,0.26976717160097974,5
ODE,lorenz63,Lorenz--63,edmd_poly3,EDMD-polynomial,7,0,16,0.03,0.6087400318979266,0.631578947368421,1.299620313420792,1.371144640766719,0.27291277628768046,0.2621598539717351,5
ODE,vanderpol_mu2,Van der Pol,baseline,Baseline,1,0,16,0.03,1.0,1.0,0.12235640530855507,0.11995683172022449,0.8929352575844728,0.8909825749380232,5
ODE,vanderpol_mu2,Van der Pol,edmd_poly3,EDMD-polynomial,1,0,16,0.03,1.0,1.0,0.12235640530855507,0.11995683172022449,0.8929352575844728,0.8909825749380232,5
ODE,vanderpol_mu2,Van der Pol,edmd_poly3,EDMD-polynomial,3,0,16,0.03,1.0,1.0,0.015792065299903187,0.018058811266703965,0.9823019764245462,0.9844534468821227,5
ODE,vanderpol_mu2,Van der Pol,edmd_poly3,EDMD-polynomial,5,0,16,0.03,1.0,1.0,0.016301836474710615,0.016195064961875134,0.98409605792839,0.9839596506769511,5
ODE,vanderpol_mu2,Van der Pol,edmd_poly3,EDMD-polynomial,7,0,16,0.03,1.0,1.0,0.015009558104154884,0.01611233165035102,0.9842028483686779,0.9852123972781203,5
