setting,system,system_label,method,method_label,q,pod_rank,sparse_factor,noise,support_f1_mean,support_f1_median,coef_error_median,coef_error_mean,practical_score_mean,practical_score_median,n_ok
PDE,advection_diffusion,Advection--diffusion,baseline,Baseline,1,0,8,0.03,0.6666666666666666,0.6666666666666666,0.16773609942203013,0.1676289334993379,0.5709755445441254,0.570905247338532,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,1,1,8,0.03,0.6666666666666666,0.6666666666666666,0.43999496890100137,0.4382520365455238,0.4635270362821905,0.46296458047729433,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,1,2,8,0.03,0.6666666666666666,0.6666666666666666,0.09388899508930726,0.09388147800368041,0.6094519433826104,0.6094463603340654,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,1,4,8,0.03,0.6666666666666666,0.6666666666666666,0.03896819239550865,0.03835198765234436,0.6420454651532801,0.6416622487061505,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,1,5,8,0.03,0.6666666666666666,0.6666666666666666,0.05307840125255168,0.05385555688547865,0.6326041260377553,0.6330646093146727,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,1,6,8,0.03,0.6666666666666666,0.6666666666666666,0.06680389016944542,0.06566830098151501,0.6255936048858197,0.624919605946297,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,1,8,8,0.03,0.6666666666666666,0.6666666666666666,0.08877690559367184,0.08901429451907414,0.6121872710557599,0.6123078688036249,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,1,10,8,0.03,0.6666666666666666,0.6666666666666666,0.10712769420945469,0.10717211759717069,0.6021456141298253,0.6021587845318063,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,1,12,8,0.03,0.6666666666666666,0.6666666666666666,0.12479416596249947,0.12150365031164001,0.5944517755713624,0.5927010353011497,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,3,1,8,0.03,0.6666666666666666,0.6666666666666666,0.45633088073983286,0.4554905069492244,0.458036685334655,0.457771427828264,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,3,2,8,0.03,0.6666666666666666,0.6666666666666666,0.10545364630413465,0.10496665173347933,0.6033379994690675,0.6030706659619194,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,3,4,8,0.03,0.6666666666666666,0.6666666666666666,0.03585096391776548,0.03603208293204392,0.6434828925633662,0.6435932290348211,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,3,5,8,0.03,0.6666666666666666,0.6666666666666666,0.04983641045995331,0.04982681086940407,0.6350345262033826,0.6350195706915778,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,3,6,8,0.03,0.6666666666666666,0.6666666666666666,0.0610245187435751,0.06289566656645952,0.6272301488835994,0.6283235258843103,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,3,8,8,0.03,0.6333333333333333,0.6666666666666666,0.08827125872398722,0.22243870003927207,0.5470007958916094,0.6125923673187347,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,3,10,8,0.03,0.6666666666666666,0.6666666666666666,0.10642778389536553,0.1132043095785729,0.599025546389474,0.6025397015244449,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,3,12,8,0.03,0.6666666666666666,0.6666666666666666,0.12818817233188595,0.12771234505968226,0.591196300498981,0.5909179718563379,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,5,1,8,0.03,0.6666666666666666,0.6666666666666666,0.45960965856301417,0.45893438222115196,0.4569554173547301,0.45674311810391827,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,5,2,8,0.03,0.6666666666666666,0.6666666666666666,0.10795014729647699,0.10749072906908363,0.6019627209675176,0.6017117902763118,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,5,4,8,0.03,0.6666666666666666,0.6666666666666666,0.03605348277265199,0.0361934464253178,0.6433823795460781,0.6434674249465919,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,5,5,8,0.03,0.6666666666666666,0.6666666666666666,0.049538733727048485,0.04941718407041296,0.63528292523926,0.6351996789096546,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,5,6,8,0.03,0.6666666666666666,0.6666666666666666,0.060682452287744194,0.06247214088709182,0.627479430867368,0.6285261580681,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,5,8,8,0.03,0.6333333333333333,0.6666666666666666,0.08707921378843535,0.22468283317096702,0.546674682102568,0.6132641101133331,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,5,10,8,0.03,0.6666666666666666,0.6666666666666666,0.10570249648325045,0.11308165897348584,0.5991141583862503,0.6029349384549983,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,5,12,8,0.03,0.6666666666666666,0.6666666666666666,0.12722159217535148,0.12664662760540532,0.5917545895536004,0.5914246775384333,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,7,1,8,0.03,0.6666666666666666,0.6666666666666666,0.4602111090183962,0.46083559986690864,0.456360865192627,0.456554988898025,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,7,2,8,0.03,0.6666666666666666,0.6666666666666666,0.10835399380793403,0.10805684454296702,0.60165483905729,0.601492546958055,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,7,4,8,0.03,0.6666666666666666,0.6666666666666666,0.03616310319182504,0.03614363995645402,0.64341361317683,0.6433993495937546,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,7,5,8,0.03,0.6666666666666666,0.6666666666666666,0.04896887736089059,0.04893933617500938,0.6355728095001905,0.6355447535716587,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,7,6,8,0.03,0.6666666666666666,0.6666666666666666,0.059957284406593994,0.062070537015345054,0.6277193104185251,0.6289561631154721,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,7,8,8,0.03,0.6333333333333333,0.6666666666666666,0.08896260919556188,0.22609803536024953,0.5462077096133139,0.6122034503637791,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,7,10,8,0.03,0.6666666666666666,0.6666666666666666,0.10617374089896889,0.11342117498434905,0.598960592813393,0.6026780803211599,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,7,12,8,0.03,0.6666666666666666,0.6666666666666666,0.12685632138213512,0.126264587852301,0.5919613930234897,0.5916163880138444,5
PDE,burgers,Burgers,baseline,Baseline,1,0,8,0.03,0.6666666666666666,0.6666666666666666,0.2899029358310213,0.29109855768802256,0.5163745909344142,0.5168347541105223,5
PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,1,8,0.03,0.6666666666666666,0.6666666666666666,0.5571539322929435,0.5582033042457658,0.4278474228811218,0.4281315114973799,5
PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,2,8,0.03,0.6666666666666666,0.6666666666666666,0.2870201003127759,0.2873596173729557,0.5178572710928235,0.5179924280161988,5
PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,4,8,0.03,0.6666666666666666,0.6666666666666666,0.19883939539986525,0.19777432002496037,0.5566037476247607,0.5560933926802633,5
PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,5,8,0.03,0.6666666666666666,0.6666666666666666,0.19402796940186157,0.1926423246411885,0.5589965599346071,0.558334213059203,5
PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,6,8,0.03,0.6666666666666666,0.6666666666666666,0.19809884703222405,0.19619589091602696,0.5573303304906702,0.5564371156170022,5
PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,8,8,0.03,0.6666666666666666,0.6666666666666666,0.21789235362976872,0.21789204539859774,0.5474110268154557,0.547393753380382,5
PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,10,8,0.03,0.6666666666666666,0.6666666666666666,0.2339762987732004,0.23659820327468198,0.5391474040376762,0.5402588909766387,5
PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,12,8,0.03,0.6666666666666666,0.6666666666666666,0.24401662555885079,0.24809695055519665,0.5341856393888329,0.5358985185324026,5
PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,3,1,8,0.03,0.6666666666666666,0.6666666666666666,0.5740294097890153,0.5745198702490221,0.4234132416436237,0.42354142973480235,5
PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,3,2,8,0.03,0.6666666666666666,0.6666666666666666,0.30242804247442473,0.30361636421726407,0.5113994862601541,0.5118644907246441,5
