support_f1,coef_error,practical_score,threshold,status,setting,system,system_label,method,method_label,q,pod_rank,sparse_factor,noise,seed
0.4,0.9119870727364746,0.20920643539054473,1.0,ok,ODE,lorenz63,Lorenz-63,baseline,Baseline,1,0,16,0.03,0
0.6666666666666666,1.1852962869498682,0.30506923507254385,1.0,ok,ODE,lorenz63,Lorenz-63,baseline,Baseline,1,0,16,0.03,1
0.6666666666666666,1.1963289000181345,0.3035368093827669,1.0,ok,ODE,lorenz63,Lorenz-63,baseline,Baseline,1,0,16,0.03,2
0.4,0.9115967260465908,0.2092491551956398,1.0,ok,ODE,lorenz63,Lorenz-63,baseline,Baseline,1,0,16,0.03,3
0.6666666666666666,1.1868753221139776,0.3048489595749897,1.0,ok,ODE,lorenz63,Lorenz-63,baseline,Baseline,1,0,16,0.03,4
0.4,0.9119870727364746,0.20920643539054473,1.0,ok,ODE,lorenz63,Lorenz-63,edmd_poly3,EDMD-polynomial,1,0,16,0.03,0
0.6666666666666666,1.1852962869498682,0.30506923507254385,1.0,ok,ODE,lorenz63,Lorenz-63,edmd_poly3,EDMD-polynomial,1,0,16,0.03,1
0.6666666666666666,1.1963289000181345,0.3035368093827669,1.0,ok,ODE,lorenz63,Lorenz-63,edmd_poly3,EDMD-polynomial,1,0,16,0.03,2
0.4,0.9115967260465908,0.2092491551956398,1.0,ok,ODE,lorenz63,Lorenz-63,edmd_poly3,EDMD-polynomial,1,0,16,0.03,3
0.6666666666666666,1.1868753221139776,0.3048489595749897,1.0,ok,ODE,lorenz63,Lorenz-63,edmd_poly3,EDMD-polynomial,1,0,16,0.03,4
0.8235294117647058,0.7131775350386699,0.4807029014340403,0.3,ok,ODE,lorenz63,Lorenz-63,edmd_poly3,EDMD-polynomial,3,0,16,0.03,0
0.6,1.335371863200203,0.2569183989301853,0.3,ok,ODE,lorenz63,Lorenz-63,edmd_poly3,EDMD-polynomial,3,0,16,0.03,1
0.5,0.8076605802031479,0.27660059940224463,0.1,ok,ODE,lorenz63,Lorenz-63,edmd_poly3,EDMD-polynomial,3,0,16,0.03,2
0.5,0.9036490696198385,0.2626534522457181,0.1,ok,ODE,lorenz63,Lorenz-63,edmd_poly3,EDMD-polynomial,3,0,16,0.03,3
0.5,1.7178787904168282,0.1839669972638174,0.1,ok,ODE,lorenz63,Lorenz-63,edmd_poly3,EDMD-polynomial,3,0,16,0.03,4
0.631578947368421,0.8141900315661297,0.34813274044020626,0.3,ok,ODE,lorenz63,Lorenz-63,edmd_poly3,EDMD-polynomial,5,0,16,0.03,0
0.5714285714285714,1.481344468862289,0.23028990073698827,0.3,ok,ODE,lorenz63,Lorenz-63,edmd_poly3,EDMD-polynomial,5,0,16,0.03,1
0.5714285714285714,0.4429870751227856,0.3960039429874643,0.3,ok,ODE,lorenz63,Lorenz-63,edmd_poly3,EDMD-polynomial,5,0,16,0.03,2
0.4375,1.1949680506660973,0.19931952989804738,0.1,ok,ODE,lorenz63,Lorenz-63,edmd_poly3,EDMD-polynomial,5,0,16,0.03,3
0.5555555555555556,2.35239061057988,0.1657192195331493,0.3,ok,ODE,lorenz63,Lorenz-63,edmd_poly3,EDMD-polynomial,5,0,16,0.03,4
0.7,0.8564348992785187,0.37706681784103857,0.3,ok,ODE,lorenz63,Lorenz-63,edmd_poly3,EDMD-polynomial,7,0,16,0.03,0
0.6666666666666666,0.9571023282108808,0.3406396574450512,0.3,ok,ODE,lorenz63,Lorenz-63,edmd_poly3,EDMD-polynomial,7,0,16,0.03,1
