setting,system,system_label,method,method_label,q,pod_rank,sparse_factor,noise,support_f1_mean,support_f1_median,coef_error_median,coef_error_mean,practical_score_mean,practical_score_median,n_ok
ODE,lorenz63,Lorenz--63,baseline,Baseline,1,0,16,0.03,0.5535930735930735,0.5454545454545454,0.9855430176551698,1.048301760125622,0.2678934043502655,0.27548636156671547,5
ODE,lorenz63,Lorenz--63,edmd_poly3,EDMD-polynomial,1,0,16,0.03,0.5624819624819624,0.5454545454545454,0.986257535959624,1.0488071262618037,0.27247363773144667,0.27504977594351604,5
ODE,lorenz63,Lorenz--63,edmd_poly3,EDMD-polynomial,3,0,16,0.03,0.5907936507936508,0.6666666666666666,1.3210693168657324,1.3633102145522176,0.26136707791576325,0.22100585870783135,5
ODE,lorenz63,Lorenz--63,edmd_poly3,EDMD-polynomial,5,0,16,0.03,0.5630612259768271,0.5714285714285714,0.9340349210707583,1.0589817256085674,0.2875573109032688,0.26976717160097974,5
ODE,lorenz63,Lorenz--63,edmd_poly3,EDMD-polynomial,7,0,16,0.03,0.6087400318979266,0.631578947368421,1.299620313420792,1.371144640766719,0.27291277628768046,0.2621598539717351,5
ODE,vanderpol_mu2,Van der Pol,baseline,Baseline,1,0,16,0.03,1.0,1.0,0.12235640530855507,0.11995683172022449,0.8929352575844728,0.8909825749380232,5
ODE,vanderpol_mu2,Van der Pol,edmd_poly3,EDMD-polynomial,1,0,16,0.03,1.0,1.0,0.12235640530855507,0.11995683172022449,0.8929352575844728,0.8909825749380232,5
ODE,vanderpol_mu2,Van der Pol,edmd_poly3,EDMD-polynomial,3,0,16,0.03,1.0,1.0,0.015792065299903187,0.018058811266703965,0.9823019764245462,0.9844534468821227,5
ODE,vanderpol_mu2,Van der Pol,edmd_poly3,EDMD-polynomial,5,0,16,0.03,1.0,1.0,0.016301836474710615,0.016195064961875134,0.98409605792839,0.9839596506769511,5
ODE,vanderpol_mu2,Van der Pol,edmd_poly3,EDMD-polynomial,7,0,16,0.03,1.0,1.0,0.015009558104154884,0.01611233165035102,0.9842028483686779,0.9852123972781203,5
PDE,advection_diffusion,Advection--diffusion,baseline,Baseline,1,0,8,0.03,0.6666666666666666,0.6666666666666666,0.16080223745629146,0.16215834535987544,0.57365320375406,0.5743154562895725,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,1,1,8,0.03,0.6666666666666666,0.6666666666666666,0.43909848204615937,0.43827471471813945,0.46351990617581845,0.46325298440922347,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,1,2,8,0.03,0.6666666666666666,0.6666666666666666,0.09510267624011905,0.09501789268156402,0.6088188000153824,0.6087709227006666,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,1,4,8,0.03,0.6666666666666666,0.6666666666666666,0.03948102442645341,0.03930675988479686,0.6414557100415966,0.6413456821248933,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,1,6,8,0.03,0.6666666666666666,0.6666666666666666,0.07082959666823749,0.07123925434878334,0.6223504843875645,0.6225702658396096,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,1,8,8,0.03,0.6666666666666666,0.6666666666666666,0.08884980223932576,0.09139700187383101,0.6108607642297935,0.6122668758313604,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,1,10,8,0.03,0.6666666666666666,0.6666666666666666,0.10374417381260284,0.10439979785226361,0.6036526541660755,0.6040046982661178,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,1,12,8,0.03,0.6666666666666666,0.6666666666666666,0.13149785373509573,0.12830645633246193,0.5908744659291666,0.5891895105819135,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,3,1,8,0.03,0.6666666666666666,0.6666666666666666,0.45472409710634354,0.45668808612796685,0.45766111952018756,0.45827704923068435,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,3,2,8,0.03,0.6666666666666666,0.6666666666666666,0.10589548888282085,0.10560886865053645,0.6029910688419674,0.6028297188734674,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,3,4,8,0.03,0.6666666666666666,0.6666666666666666,0.03518472111047326,0.03679589284887315,0.6430187283143064,0.6440074443443423,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,3,6,8,0.03,0.6666666666666666,0.6666666666666666,0.06414210213623052,0.10493034476612788,0.6062023608238813,0.626482746362873,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,3,8,8,0.03,0.6666666666666666,0.6666666666666666,0.08700009352029231,0.09229538309684898,0.6103698363202261,0.6133087482151364,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,3,10,8,0.03,0.6666666666666666,0.6666666666666666,0.10407304885003511,0.1149033464353308,0.5981008120322059,0.6038247807616026,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,3,12,8,0.03,0.6666666666666666,0.6666666666666666,0.1425638754777586,0.14965474621137687,0.5802128211178755,0.5834830603128448,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,5,1,8,0.03,0.6666666666666666,0.6666666666666666,0.4590650128752539,0.45938605459897613,0.4568149510238359,0.45691361302189265,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,5,2,8,0.03,0.6666666666666666,0.6666666666666666,0.10935416559609423,0.11003381068668079,0.6005870264224803,0.6009502531668447,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,5,4,8,0.03,0.6666666666666666,0.6666666666666666,0.040749727990152654,0.04007856830696932,0.6409781930546424,0.640563863469945,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,5,6,8,0.03,0.6666666666666666,0.6666666666666666,0.06488587487688216,0.06566228413375344,0.6255947067466321,0.6260451776052941,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,5,8,8,0.03,0.6666666666666666,0.6666666666666666,0.09007531190250637,0.0899471348090332,0.6116824352577571,0.6115785390122583,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,5,10,8,0.03,0.6666666666666666,0.6666666666666666,0.11204830283225271,0.118490303154748,0.5961434669667658,0.5994943429784004,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,5,12,8,0.03,0.6666666666666666,0.6666666666666666,0.16831298364779107,0.17141438318695573,0.5698374818915622,0.5706233483643671,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,7,1,8,0.03,0.6666666666666666,0.6666666666666666,0.45850694257095187,0.45828586443173513,0.4571583300639757,0.4570884424393032,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,7,2,8,0.03,0.6666666666666666,0.6666666666666666,0.11029628969284476,0.10940757704202689,0.60092429850743,0.600440326474562,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,7,4,8,0.03,0.6666666666666666,0.6666666666666666,0.04093166369426516,0.04072983517726257,0.6405883697875538,0.6404519046914833,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,7,6,8,0.03,0.6666666666666666,0.6666666666666666,0.06594555462701888,0.0755025637722968,0.6201612565155626,0.6254228124249156,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,7,8,8,0.03,0.6333333333333333,0.6666666666666666,0.17342101397021698,0.23116438755661473,0.5243825148784438,0.568139362368354,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,7,10,8,0.03,0.6133333333333333,0.6666666666666666,0.11219708516990576,0.21142779216028393,0.5293292643353703,0.5994141466076786,5
PDE,advection_diffusion,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,7,12,8,0.03,0.6666666666666666,0.6666666666666666,0.12668536116269405,0.12748606781793992,0.5913249530572001,0.5917061583002138,5
PDE,burgers,Burgers,baseline,Baseline,1,0,8,0.03,0.6666666666666666,0.6666666666666666,0.2970808092978148,0.29860900815031616,0.5133766847219237,0.5139746590095432,5
PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,1,8,0.03,0.6666666666666666,0.6666666666666666,0.5553803933944905,0.5555396325415194,0.42857678355658546,0.4286196929689471,5
PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,2,8,0.03,0.6666666666666666,0.6666666666666666,0.2865143931197654,0.28605359787931817,0.5183841215909795,0.5181960421367822,5
PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,4,8,0.03,0.6666666666666666,0.6666666666666666,0.19470252084871215,0.19378670253565528,0.5584646662256838,0.5580189670923847,5
PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,6,8,0.03,0.6666666666666666,0.6666666666666666,0.19268017460505515,0.19167590816261854,0.5594375013249682,0.558965161710202,5
PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,8,8,0.03,0.6666666666666666,0.6666666666666666,0.21709205993645925,0.21762239868653172,0.5475217694515909,0.547753689808371,5
PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,10,8,0.03,0.6666666666666666,0.6666666666666666,0.23693770342309986,0.23820346149058386,0.5384185120103083,0.5389654344125286,5
PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,12,8,0.03,0.6666666666666666,0.6666666666666666,0.24977284770177596,0.24689253669211583,0.5346878541691419,0.5334302692626175,5
PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,3,1,8,0.03,0.6666666666666666,0.6666666666666666,0.5732579389205553,0.5721263341384496,0.4240544921718306,0.42374911969240103,5
PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,3,2,8,0.03,0.6666666666666666,0.6666666666666666,0.300803510458422,0.30108756857381536,0.5123940094252994,0.512503741961554,5
PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,3,4,8,0.03,0.6666666666666666,0.6666666666666666,0.1982908699986109,0.19861189353045824,0.5561995069375825,0.5563479480298797,5
PDE,burgers,Burgers,pod_edmd_rbf,POD-EDMD-RBF,3,6,8,0.03,0.6666666666666666,0.6666666666666666,0.196596259544254,0.1926709945775076,0.5589937839630097,0.5571358437311003,5
