system,method,method_label,sparse_factor,obs_dt,noise,seed,upsample,support_f1,coef_error,practical_score,threshold,status,spline_alpha,spline_cv_error,spline_cv_folds,gp_kernel,gp_cv_error,gp_cv_folds,source_file,pod_rank,rank_mode,rank_cv_error,rank_cv_folds,rank_grid,gp_cv_spatial_points,valid
burgers,pydmd_optdmd,PyDMD optimized DMD,32,0.16,0.05,2,5,0.4444444444444444,743.2033780429803,0.0005972083136913,0.0,ok,,,,,,,results/pde_publication/pde_raw_results.csv,8.0,system,,,,,True
lorenz63,edmd_poly3,EDMD-polynomial,64,0.32,0.1,5,5,0.3703703703703703,3.987278514195898,0.0742630212682408,0.1,ok,,,0.0,,,0.0,results/ode_publication/ode_raw_results.csv,,,,,,,True
lorenz63,edmd_rbf,EDMD-RBF,64,0.32,0.03,9,5,0.4545454545454545,3.2311180716294507,0.1074291586408989,0.1,ok,,,0.0,,,0.0,results/ode_publication/ode_raw_results.csv,,,,,,,True
fisher_kpp,pod_edmd_rbf,POD-EDMD-RBF,4,0.02,0.1,0,5,0.5454545454545454,2.9320905636834667,0.1387187137784486,0.0,ok,,,0.0,,,0.0,results/pde_publication/pde_raw_results.csv,5.0,system,,0.0,,0.0,True
lorenz63,baseline,Baseline,32,0.16,0.01,9,1,0.6666666666666666,2.134592614758955,0.2126804815170319,0.3,ok,,,,,,,results/ode_publication/ode_raw_results.csv,,,,,,,True
burgers,pod_edmd_rbf,POD-EDMD-RBF,16,0.08,0.1,1,5,0.4,0.9866708852746268,0.2013418543377436,0.0,ok,,,0.0,,,0.0,results/pde_publication/pde_raw_results.csv,8.0,system,,0.0,,0.0,True
vanderpol_mu2,edmd_rbf,EDMD-RBF,16,0.08,0.1,3,5,0.5,0.9557891629593598,0.2556512785066442,0.3,ok,,,0.0,,,0.0,results/ode_publication/ode_raw_results.csv,,,,,,,True
vanderpol_mu2,baseline,Baseline,64,0.32,0.03,6,1,0.8,0.8159493937654624,0.4405409108571907,0.3,ok,,,,,,,results/ode_publication/ode_raw_results.csv,,,,,,,True
burgers,baseline,Baseline,16,0.08,0.1,7,1,0.6666666666666666,0.7812432574716165,0.3742704225659587,0.1,ok,,,,,,,results/pde_publication/pde_raw_results.csv,0.0,system,,,,,True
advection_diffusion,pod_edmd_rbf,POD-EDMD-RBF,16,,0.1,4,5,0.4,0.6746320628029515,0.2388584387489221,0.03,ok,,,,,,,results/advection_diffusion_benchmark/advection_diffusion_raw.csv,4.0,,,,,,True
fisher_kpp,baseline,Baseline,4,0.02,0.1,3,1,0.5454545454545454,0.6511724869320819,0.3303437707274381,0.0,ok,,,,,,,results/pde_publication/pde_raw_results.csv,0.0,system,,,,,True
advection_diffusion,baseline,Baseline,8,,0.1,0,1,0.6666666666666666,0.5791707517520495,0.4221624963146113,0.3,ok,,,,,,,results/advection_diffusion_benchmark/advection_diffusion_raw.csv,0.0,,,,,,True
vanderpol_mu2,edmd_poly3,EDMD-polynomial,32,0.16,0.1,9,5,0.8571428571428571,0.3168562321032815,0.6509008624076065,0.3,ok,,,0.0,,,0.0,results/ode_publication/ode_raw_results.csv,,,,,,,True
advection_diffusion,optdmd,optDMD,16,,0.1,0,5,0.6666666666666666,0.2932008967892573,0.5155167061218857,0.3,ok,,,,,,,results/advection_diffusion_benchmark/advection_diffusion_raw.csv,4.0,,,,,,True
fisher_kpp,pydmd_optdmd,PyDMD optimized DMD,32,0.16,0.1,6,5,0.8,0.0757108644446869,0.7436942643625555,0.1,ok,,,,,,,results/pde_publication/pde_raw_results.csv,5.0,system,,,,,True
