system,method,n_valid_before,n_total_before,n_seeds_before,f1_mean_before,f1_se_before,coef_error_median_before,score_mean_before,score_se_before,n_valid_corrected,n_total_corrected,n_seeds_corrected,f1_mean_corrected,f1_se_corrected,coef_error_median_corrected,score_mean_corrected,score_se_corrected,f1_mean_change,coef_error_median_change,score_mean_change
lorenz63,baseline,200,200,10,0.7246795448157981,0.0047293559089064,0.9111712827736356,0.4769557255980364,0.0042317102415837,200,200,10,0.7246795448157981,0.004729355908906438,0.9111712827736356,0.47695572559803645,0.004231710241583701,0.0,0.0,5.551115123125783e-17
lorenz63,edmd_poly3,200,200,10,0.7374491647523904,0.0052376517782066,0.5261199634452383,0.5614942676624893,0.0066686507474952,200,200,10,0.7376490844107311,0.005249865010239821,0.5459404568607321,0.5489086514808202,0.008405184045089985,0.00019991965834065262,0.019820493415493856,-0.01258561618166909
lorenz63,edmd_rbf,200,200,10,0.7051304035345801,0.0075940454245086,0.931702999084581,0.5183181661867402,0.0080458368936507,200,200,10,0.7244494643047841,0.005732786712726694,0.8854201578300323,0.5263173808710991,0.009637007250141322,0.019319060770203955,-0.046282841254548734,0.007999214684358935
vanderpol_mu2,baseline,200,200,10,0.9628928571428572,0.0013132522679494,0.1067549602114993,0.8402051132163758,0.0018289554781095,200,200,10,0.9628928571428572,0.001313252267949451,0.1067549602114993,0.8402051132163758,0.0018289554781095055,0.0,0.0,0.0
vanderpol_mu2,edmd_poly3,200,200,10,0.9987301587301588,0.0008547880646245,0.0154175621243192,0.9765813929385576,0.0016436278763156,200,200,10,0.9992857142857143,0.0007142857142857145,0.0157954842571266,0.9771487828950695,0.0015490042037356918,0.0005555555555555314,0.0003779221328073998,0.0005673899565118434
vanderpol_mu2,edmd_rbf,200,200,10,0.9828943001443002,0.0053026837218599,0.0193943117106143,0.9355571534640384,0.0081116150710437,200,200,10,0.9829022366522366,0.004010653796939407,0.01227614984194105,0.9446427351527101,0.0062729934887639505,7.936507936401327e-06,-0.007118161868673251,0.009085581688671684
burgers,baseline,160,160,8,0.7302083333333333,0.001524843863982,0.2976387412717845,0.5799631964165636,0.0008728277679581,160,160,8,0.7302083333333333,0.0015248438639820826,0.2976387412717845,0.5799631964165636,0.0008728277679581975,0.0,0.0,0.0
burgers,pydmd_optdmd,159,160,8,0.7860237596086653,0.0019503680493011,0.1794433342103737,0.6884194394719878,0.0035969403542514,159,160,8,0.7860237596086653,0.001950368049301117,0.1794433342103737,0.6884194394719878,0.0035969403542514193,0.0,0.0,0.0
burgers,pod_edmd_rbf,160,160,8,0.7748611111111112,0.0019885862587883,0.2165443072730291,0.65755846380012,0.0033303931343606,160,160,8,0.7773611111111112,0.004411772270630164,0.21526926934248536,0.6631986933813845,0.0050565085114739165,0.0024999999999999467,-0.001275037930543732,0.005640229581264533
fisher_kpp,baseline,160,160,8,0.8369805194805195,0.0019805194805194,0.0385331668945582,0.8099015259563724,0.0035124536615693,160,160,8,0.8369805194805195,0.001980519480519481,0.038533166894558296,0.8099015259563724,0.0035124536615693245,0.0,9.71445146547012e-17,0.0
fisher_kpp,pydmd_optdmd,159,160,8,0.846001796945193,0.0014265884767487,0.0387653006677551,0.8215927149600234,0.0019545580194092,159,160,8,0.846001796945193,0.0014265884767487782,0.0387653006677551,0.8215927149600234,0.001954558019409257,0.0,0.0,0.0
fisher_kpp,pod_edmd_rbf,160,160,8,0.8264502164502165,0.0030187073840128,0.038713413952495,0.7845290172584647,0.0059202086031416,160,160,8,0.828116883116883,0.002917126293149201,0.0386890152852971,0.7855562499922275,0.005317719020205736,0.0016666666666664831,-2.4398667197902957e-05,0.0010272327337628173
advection_diffusion,baseline,60,60,5,0.6555555555555553,0.0051967463705193,0.1658053402445074,0.5488006570907424,0.0032262648138673,60,60,5,0.6555555555555553,0.005196746370519362,0.16580534024450744,0.5488006570907424,0.003226264813867389,0.0,2.7755575615628914e-17,0.0
advection_diffusion,optdmd,60,60,5,0.6666666666666664,1.1102230246251563e-16,0.0286397283839098,0.6325172875930034,0.0003948609125048,60,60,5,0.6666666666666664,1.1102230246251565e-16,0.0286397283839098,0.6325172875930034,0.00039486091250483837,0.0,0.0,0.0
advection_diffusion,pod_edmd_rbf,60,60,5,0.7027777777777776,0.0083333333333333,0.0389360728846542,0.6561842563416403,0.0078569583738784,60,60,5,0.7038888888888888,0.009444444444444445,0.04422638264232295,0.6591579412175913,0.010170624137791968,0.0011111111111111738,0.005290309757668754,0.002973684875950955
