system,method,n_valid,n_total,n_seeds,f1_mean,f1_se,coef_error_median,score_mean,score_se
lorenz63,baseline,200,200,10,0.7246795448157981,0.004729355908906438,0.9111712827736356,0.47695572559803645,0.004231710241583701
lorenz63,edmd_poly3,200,200,10,0.7376490844107311,0.005249865010239821,0.5459404568607321,0.5489086514808202,0.008405184045089985
lorenz63,edmd_rbf,200,200,10,0.7244494643047841,0.005732786712726694,0.8854201578300323,0.5263173808710991,0.009637007250141322
vanderpol_mu2,baseline,200,200,10,0.9628928571428572,0.001313252267949451,0.1067549602114993,0.8402051132163758,0.0018289554781095055
vanderpol_mu2,edmd_poly3,200,200,10,0.9992857142857143,0.0007142857142857145,0.0157954842571266,0.9771487828950695,0.0015490042037356918
vanderpol_mu2,edmd_rbf,200,200,10,0.9829022366522366,0.004010653796939407,0.01227614984194105,0.9446427351527101,0.0062729934887639505
burgers,baseline,160,160,8,0.7302083333333333,0.0015248438639820826,0.2976387412717845,0.5799631964165636,0.0008728277679581975
burgers,pydmd_optdmd,159,160,8,0.7860237596086653,0.001950368049301117,0.1794433342103737,0.6884194394719878,0.0035969403542514193
burgers,pod_edmd_rbf,160,160,8,0.7773611111111112,0.004411772270630164,0.21526926934248536,0.6631986933813845,0.0050565085114739165
fisher_kpp,baseline,160,160,8,0.8369805194805195,0.001980519480519481,0.038533166894558296,0.8099015259563724,0.0035124536615693245
fisher_kpp,pydmd_optdmd,159,160,8,0.846001796945193,0.0014265884767487782,0.0387653006677551,0.8215927149600234,0.001954558019409257
fisher_kpp,pod_edmd_rbf,160,160,8,0.828116883116883,0.002917126293149201,0.0386890152852971,0.7855562499922275,0.005317719020205736
advection_diffusion,baseline,60,60,5,0.6555555555555553,0.005196746370519362,0.16580534024450744,0.5488006570907424,0.003226264813867389
advection_diffusion,optdmd,60,60,5,0.6666666666666664,1.1102230246251565e-16,0.0286397283839098,0.6325172875930034,0.00039486091250483837
advection_diffusion,pod_edmd_rbf,60,60,5,0.7038888888888888,0.009444444444444445,0.04422638264232295,0.6591579412175913,0.010170624137791968
