system,sparse_factor,noise,seed,support_f1,coef_error,practical_score,threshold,status,setting,system_label,method,method_label,q,pod_rank,valid,control
burgers,8,0.03,0,0.6666666666666666,0.3039742562821567,0.5112575370678267,0.1,ok,PDE,Burgers,baseline,Baseline,1,0,True,raw
burgers,8,0.03,1,0.6666666666666666,0.2941567175184804,0.5151359627796752,0.1,ok,PDE,Burgers,baseline,Baseline,1,0,True,raw
burgers,8,0.03,2,0.6666666666666666,0.2899029358310213,0.5168347541105223,0.1,ok,PDE,Burgers,baseline,Baseline,1,0,True,raw
burgers,8,0.03,3,0.6666666666666666,0.2863238830180912,0.5182727892002379,0.1,ok,PDE,Burgers,baseline,Baseline,1,0,True,raw
burgers,8,0.03,4,0.6666666666666666,0.2811349957903629,0.5203719115138089,0.1,ok,PDE,Burgers,baseline,Baseline,1,0,True,raw
burgers,8,0.03,0,0.6666666666666666,0.2256041983848241,0.5439493986274203,0.1,ok,PDE,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,8,True,pod_only
burgers,8,0.03,1,0.6666666666666666,0.2229276664840064,0.5451399006969685,0.1,ok,PDE,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,8,True,pod_only
burgers,8,0.03,2,0.6666666666666666,0.2178923536297687,0.547393753380382,0.1,ok,PDE,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,8,True,pod_only
burgers,8,0.03,3,0.6666666666666666,0.2172222054826284,0.5476951239172747,0.1,ok,PDE,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,8,True,pod_only
burgers,8,0.03,4,0.6666666666666666,0.2058138030117609,0.5528769574552335,0.1,ok,PDE,Burgers,pod_edmd_rbf,POD-EDMD-RBF,1,8,True,pod_only
burgers,8,0.03,0,0.6666666666666666,0.2210574665147175,0.5459748496273015,0.1,ok,PDE,Burgers,pod_edmd_rbf,POD-EDMD-RBF,5,8,True,pod_edmd
burgers,8,0.03,1,0.6666666666666666,0.2354130542990831,0.5396305829428869,0.1,ok,PDE,Burgers,pod_edmd_rbf,POD-EDMD-RBF,5,8,True,pod_edmd
burgers,8,0.03,2,0.6666666666666666,0.2254239080891393,0.5440294270953396,0.1,ok,PDE,Burgers,pod_edmd_rbf,POD-EDMD-RBF,5,8,True,pod_edmd
burgers,8,0.03,3,0.6666666666666666,0.3188482315924378,0.5054915726441872,0.1,ok,PDE,Burgers,pod_edmd_rbf,POD-EDMD-RBF,5,8,True,pod_edmd
burgers,8,0.03,4,0.6666666666666666,0.2064640226040482,0.5525789863403671,0.1,ok,PDE,Burgers,pod_edmd_rbf,POD-EDMD-RBF,5,8,True,pod_edmd
fisher_kpp,8,0.03,0,0.8,0.0367418410544533,0.7716482236178807,0.03,ok,PDE,Fisher--KPP,baseline,Baseline,1,0,True,raw
fisher_kpp,8,0.03,1,0.8,0.0360595875037727,0.7721563601640691,0.05,ok,PDE,Fisher--KPP,baseline,Baseline,1,0,True,raw
fisher_kpp,8,0.03,2,0.8,0.0459622798004058,0.764845937037671,0.03,ok,PDE,Fisher--KPP,baseline,Baseline,1,0,True,raw
fisher_kpp,8,0.03,3,0.8,0.0353890140489772,0.7726564500346895,0.1,ok,PDE,Fisher--KPP,baseline,Baseline,1,0,True,raw
fisher_kpp,8,0.03,4,0.8,0.0503478705251976,0.7616524224493186,0.03,ok,PDE,Fisher--KPP,baseline,Baseline,1,0,True,raw
fisher_kpp,8,0.03,0,0.8,0.037132037864257,0.7713579089191211,0.02,ok,PDE,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,1,5,True,pod_only
fisher_kpp,8,0.03,1,0.8,0.0364641588561914,0.7718549581905989,0.03,ok,PDE,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,1,5,True,pod_only
fisher_kpp,8,0.03,2,0.8,0.0460195047882653,0.7648040943193843,0.03,ok,PDE,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,1,5,True,pod_only
fisher_kpp,8,0.03,3,0.8,0.0353310179581963,0.772699731896086,0.05,ok,PDE,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,1,5,True,pod_only
fisher_kpp,8,0.03,4,0.8,0.0503286682854976,0.7616663470738915,0.03,ok,PDE,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,1,5,True,pod_only
fisher_kpp,8,0.03,0,0.8,0.0390525025344933,0.7699322200260448,0.03,ok,PDE,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,5,5,True,pod_edmd
fisher_kpp,8,0.03,1,0.8,0.0356605358250287,0.7724538807136291,0.03,ok,PDE,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,5,5,True,pod_edmd
fisher_kpp,8,0.03,2,0.8,0.0450892673763184,0.7654848489721731,0.03,ok,PDE,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,5,5,True,pod_edmd
fisher_kpp,8,0.03,3,0.8,0.0269468668509405,0.7790081705523316,0.07,ok,PDE,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,5,5,True,pod_edmd
fisher_kpp,8,0.03,4,0.8,0.051158157986968,0.7610653010885144,0.07,ok,PDE,Fisher--KPP,pod_edmd_rbf,POD-EDMD-RBF,5,5,True,pod_edmd
advection_diffusion,8,0.03,0,0.6666666666666666,0.1677360994220301,0.570905247338532,0.2,ok,PDE,Advection--diffusion,baseline,Baseline,1,0,True,raw
advection_diffusion,8,0.03,1,0.6666666666666666,0.1729536934313104,0.5683657167372289,0.3,ok,PDE,Advection--diffusion,baseline,Baseline,1,0,True,raw
advection_diffusion,8,0.03,2,0.6666666666666666,0.1591320652243571,0.5751429769459697,0.2,ok,PDE,Advection--diffusion,baseline,Baseline,1,0,True,raw
advection_diffusion,8,0.03,3,0.6666666666666666,0.1765258408705016,0.5666400545638721,0.3,ok,PDE,Advection--diffusion,baseline,Baseline,1,0,True,raw
advection_diffusion,8,0.03,4,0.6666666666666666,0.1617969685484903,0.5738237271350237,0.2,ok,PDE,Advection--diffusion,baseline,Baseline,1,0,True,raw
advection_diffusion,8,0.03,0,0.6666666666666666,0.0389681923955086,0.6416622487061505,0.1,ok,PDE,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,1,4,True,pod_only
advection_diffusion,8,0.03,1,0.6666666666666666,0.0395910249372252,0.6412778204841877,0.1,ok,PDE,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,1,4,True,pod_only
advection_diffusion,8,0.03,2,0.6666666666666666,0.0349018876957533,0.6441834482986828,0.07,ok,PDE,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,1,4,True,pod_only
advection_diffusion,8,0.03,3,0.6666666666666666,0.0407694124276771,0.6405517482605622,0.07,ok,PDE,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,1,4,True,pod_only
advection_diffusion,8,0.03,4,0.6666666666666666,0.0375294208055573,0.6425520600168176,0.07,ok,PDE,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,1,4,True,pod_only
advection_diffusion,8,0.03,0,0.6666666666666666,0.0371412028153337,0.6427925771890953,0.1,ok,PDE,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,5,4,True,pod_edmd
advection_diffusion,8,0.03,1,0.6666666666666666,0.035294920931029,0.6439388943076635,0.1,ok,PDE,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,5,4,True,pod_edmd
advection_diffusion,8,0.03,2,0.6666666666666666,0.0336041131392083,0.6449922733394524,0.07,ok,PDE,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,5,4,True,pod_edmd
advection_diffusion,8,0.03,3,0.6666666666666666,0.0388735124683659,0.6417207279475873,0.07,ok,PDE,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,5,4,True,pod_edmd
advection_diffusion,8,0.03,4,0.6666666666666666,0.0360534827726519,0.6434674249465919,0.07,ok,PDE,Advection--diffusion,pod_edmd_rbf,POD-EDMD-RBF,5,4,True,pod_edmd
