setting,method,strategy,n_valid,f1_mean,coef_error_median,score_mean
ODE,edmd_poly3,local_reset,40,0.7494066614500051,0.6819487513403797,0.5647468386959118
ODE,edmd_poly3,global_rollout,40,0.5962579911059013,1.0915648775970077,0.26201401681272374
ODE,edmd_poly3,residual_corrected,40,0.7677787629896763,0.5764691246053013,0.5671159248982048
ODE,edmd_poly3,two_sided,40,0.7191145018552139,0.7991900689613933,0.4906652769747614
ODE,edmd_rbf,local_reset,40,0.7450715917752856,0.7940960027364158,0.5264197281562291
ODE,edmd_rbf,global_rollout,40,0.5681716786638378,1.0323353130532085,0.272506832260731
ODE,edmd_rbf,residual_corrected,40,0.7366588174896999,0.5713182463530602,0.5473390964807521
ODE,edmd_rbf,two_sided,40,0.6574510619231889,0.955851503978556,0.41647799212577785
PDE,pod_edmd_rbf,local_reset,40,0.711111111111111,0.45577047320637015,0.5580909338803037
PDE,pod_edmd_rbf,global_rollout,40,0.711111111111111,0.45576102963922405,0.558089879921381
PDE,pod_edmd_rbf,residual_corrected,40,0.6819047619047619,0.6125916019206833,0.524835767917528
PDE,pod_edmd_rbf,two_sided,40,0.711111111111111,0.4557704746454915,0.5580909227427984
ODE,edmd_poly3,baseline,40,0.8049328122857535,0.7031410181456678,0.5223103176668751
ODE,edmd_rbf,baseline,40,0.8049328122857535,0.7031410181456678,0.5223103176668751
PDE,pod_edmd_rbf,baseline,40,0.7333333333333333,0.4091955144933914,0.5713857034035766
