setting,system,method,method_label,seed,noise,sparse_factor,status,n_observed,pod_rank,n_regression_rows,upsample,wall_seconds,tv_lambda,tv_cv_mse,tv_grid_edge,tv_grid_lower,tv_grid_upper,tv_cv_folds,tv_cv_spatial_points,tv_final_primal_objective,tv_final_dual_objective,tv_final_primal_dual_gap,tv_final_relative_primal_dual_gap,tv_final_max_relative_gap,tv_final_kkt_stationarity_max,tv_final_kkt_complementarity_gap,tv_final_kkt_subgradient_prox_max,tv_final_masked_dual_stationarity_max,tv_final_dual_box_violation,tv_final_dual_scale_min,tv_final_converged,tv_final_iterations,tv_final_rho,tv_final_tolerance,tv_final_method,tv_final_elapsed_seconds,tv_final_n_observed,tv_final_n_times,tv_final_n_channels,tv_final_objective
ODE,vanderpol_mu2,baseline,Raw FD,0,0.01,8,ok,251,0,249,1,0.03634899200005748,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,0,0.01,8,ok,251,0,1249,5,0.058080127999801334,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,ok,251,0,249,1,0.7846293210000113,0.001,0.000218927219384854,0.0,0.0,0.0,3.0,2.0,"[0.004767072863819369, 0.01102454545159404]","[0.004767020385833694, 0.011023497396742889]","[5.2477985674863337e-08, 1.0480548511514198e-06]","[5.2477985674863337e-08, 1.0480548511514198e-06]",1.0480548511514198e-06,2.2780196994205693e-07,"[5.2477842404051456e-08, 1.0480528645200743e-06]",2.6125054374270817e-06,0.0,0.0,0.9999430495648827,True,50.0,0.0502,1e-05,banded ADMM with dual certificate,0.0028867630003333034,251.0,251.0,2.0,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
ODE,vanderpol_mu2,baseline,Raw FD,1,0.01,8,ok,251,0,249,1,0.027271000999917305,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,1,0.01,8,ok,251,0,1249,5,0.04898061299991241,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ODE,vanderpol_mu2,tv_diff,TV,1,0.01,8,ok,251,0,249,1,0.630685941000138,0.0001,0.00020656421752951687,0.0,0.0,0.0,3.0,2.0,"[0.0005590954763750644, 0.0011312026717355615]","[0.000559051443151241, 0.0011306430136080515]","[4.403322382336584e-08, 5.596581275099741e-07]","[4.403322382336584e-08, 5.596581275099741e-07]",5.596581275099741e-07,8.658017076098711e-08,"[4.403318571799628e-08, 5.596577337353345e-07]",2.1652398857208155e-07,0.0,0.0,0.9997835525775112,True,50.0,0.02,1e-05,banded ADMM with dual certificate,0.0027597220000643574,251.0,251.0,2.0,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
ODE,vanderpol_mu2,baseline,Raw FD,2,0.01,8,ok,251,0,249,1,0.02616815699957442,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,2,0.01,8,ok,251,0,1249,5,0.04441711000026771,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ODE,vanderpol_mu2,tv_diff,TV,2,0.01,8,ok,251,0,249,1,0.6887131529997532,0.0001,0.00019750136978541257,0.0,0.0,0.0,3.0,2.0,"[0.00048284831864969433, 0.0011137546045121845]","[0.0004828045648593341, 0.00111319993737144]","[4.3753790360235266e-08, 5.546671407443901e-07]","[4.3753790360235266e-08, 5.546671407443901e-07]",5.546671407443901e-07,8.596284165632252e-08,"[4.375374266645275e-08, 5.546667722353474e-07]",4.071277854844624e-07,0.0,0.0,0.9997850941405939,True,50.0,0.02,1e-05,banded ADMM with dual certificate,0.0032517449999431847,251.0,251.0,2.0,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
ODE,vanderpol_mu2,baseline,Raw FD,3,0.01,8,ok,251,0,249,1,0.026740509999854112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
