setting,system,method,method_label,seed,noise,sparse_factor,equation,candidate_id,threshold,support_size,rss,bic,ebic,active_terms,coefficients,n_regression_rows,n_library_terms,delta_ebic_from_best,true_support_size,true_active_terms,support_f1,coef_error,exact_support,exact_k
ODE,vanderpol_mu2,baseline,Raw FD,0,0.01,8,dx/dt,9,1.0,0,521.3706017751651,184.0130468293987,184.0130468293987,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",249,10,1213.1274620164495,1,2,0.0,1.0,0,0
ODE,vanderpol_mu2,baseline,Raw FD,0,0.01,8,dx/dt,5,0.01,1,3.8692376662853922,-1031.417000280045,-1029.1144151870508,2,"[0.0, 0.0, 0.9939632759372803, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",249,10,0.0,1,2,1.0,0.006036724062719712,1,1
ODE,vanderpol_mu2,baseline,Raw FD,0,0.01,8,dx/dt,4,0.003,8,3.6980017154640077,-1004.0657914312246,-1000.2591289414543,0;1;2;3;4;5;6;9,"[0.023905207210616217, 0.04501138342067474, 1.043023432378271, -0.0069528358927370935, 0.00989017213568095, -0.003954415844744235, -0.011103489783080515, 0.0, 0.0, -0.005474745849786821]",249,10,28.855286245596517,1,2,0.2222222222222222,0.0690185081468281,0,0
ODE,vanderpol_mu2,baseline,Raw FD,0,0.01,8,dx/dt,1,0.0001,9,3.694600086519638,-998.7774880790242,-996.4749029860302,0;1;2;3;4;5;6;7;9,"[0.02461799676455429, 0.041875305318205804, 1.0377742710148352, -0.007006625867322523, 0.010571853423858671, -0.004181336917229709, -0.010215166581714523, 0.002749518947956364, 0.0, -0.005193547556559085]",249,10,32.63951220102058,1,2,0.2,0.06406017014596467,0,0
ODE,vanderpol_mu2,baseline,Raw FD,0,0.01,8,dx/dt,0,0.0,10,3.694600084197788,-993.2600353390422,-993.2600353390422,0;1;2;3;4;5;6;7;8;9,"[0.024617467282824337, 0.041879447137199446, 1.0377647012750104, -0.007006439452189547, 0.010571742430079542, -0.004181277584058239, -0.010215857626546355, 0.0027557734836687452, -4.844414932617821e-06, -0.0051921086631278425]",249,10,35.854379848008534,1,2,0.18181818181818182,0.06405725185134399,0,0
ODE,vanderpol_mu2,baseline,Raw FD,0,0.01,8,dy/dt,9,1.0,2,566.0571213719072,215.52418814464582,219.33085063441615,2;7,"[0.0, 0.0, 1.9054418672331086, 0.0, 0.0, 0.0, 0.0, -1.9055389801017255, 0.0, 0.0]",249,10,1082.3056119451812,3,1;2;7,0.8,0.33629750796192076,0,0
ODE,vanderpol_mu2,baseline,Raw FD,0,0.01,8,dy/dt,7,0.1,3,8.669917575341433,-819.4884508476279,-814.7009591048458,1;2;7,"[0.0, -0.9980720835072798, 1.9236621224863675, 0.0, 0.0, 0.0, 0.0, -1.9363460896453306, 0.0, 0.0]",249,10,48.273802205919196,3,1;2;7,1.0,0.033137774197246984,1,1
ODE,vanderpol_mu2,baseline,Raw FD,0,0.01,8,dy/dt,6,0.03,5,6.835610647932799,-867.6442006682041,-862.1147715806927,1;2;7;8;9,"[0.0, -1.0158273630256456, 2.228498341060322, 0.0, 0.0, 0.0, 0.0, -2.0715305727560764, 0.09539135601607013, -0.04004628725243593]",249,10,0.8599897300722432,3,1;2;7,0.75,0.0871026444628318,0,0
ODE,vanderpol_mu2,baseline,Raw FD,0,0.01,8,dy/dt,5,0.01,6,6.667638859711571,-868.3218688414825,-862.974761310765,1;2;6;7;8;9,"[0.0, -0.9227714101034807, 2.2539939231950634, 0.0, 0.0, 0.0, -0.02672706139521117, -2.06488663244266, 0.0867245402523038, -0.04174983567962237]",249,10,0.0,3,1;2;7,0.6666666666666666,0.09699139346654866,0,0
ODE,vanderpol_mu2,baseline,Raw FD,0,0.01,8,dy/dt,0,0.0,10,6.634794785617907,-847.4816354344358,-847.4816354344358,0;1;2;3;4;5;6;7;8;9,"[0.03570017045375334, -0.923340334473034, 2.2550901883488956, -0.008132357093632091, 0.013971161312299403, -0.007300931224695246, -0.026464451575402052, -2.0642642118753702, 0.08698907093665359, -0.04203329434194528]",249,10,15.493125876329145,3,1;2;7,0.46153846153846156,0.09815010911799944,0,0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,0,0.01,8,dx/dt,9,1.0,0,2833.3000707851434,1023.0545309622556,1023.0545309622556,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1249,10,3185.6722592571687,1,2,0.0,1.0,0,0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,0,0.01,8,dx/dt,5,0.01,1,219.43739059610226,-2164.920313387907,-2162.617728294913,2,"[0.0, 0.0, 0.9989921444939882, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1249,10,0.0,1,2,1.0,0.00100785550601179,1,1
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,0,0.01,8,dx/dt,0,0.0,10,218.86926499422714,-2103.987293550946,-2103.987293550946,0;1;2;3;4;5;6;7;8;9,"[0.024486360661610647, 0.0356952578071241, 1.0464740936714234, -0.00710234295576288, 0.010534496745578171, -0.0041133963166671275, -0.010529192011079045, -0.007695472493592262, 0.00974144559030519, -0.0065853099412894415]",1249,10,58.630434743966816,1,2,0.18181818181818182,0.0672328777300744,0,0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,0,0.01,8,dy/dt,9,1.0,2,3039.9727773725463,1125.252353469494,1129.0590159592643,2;7,"[0.0, 0.0, 1.9680295212580987, 0.0, 0.0, 0.0, 0.0, -1.9678713471558107, 0.0, 0.0]",1249,10,3356.9203723558057,3,1;2;7,0.8,0.3336755513043852,0,0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,0,0.01,8,dy/dt,6,0.03,3,205.49536011094318,-2232.6488481393235,-2227.8613563965414,1;2;7,"[0.0, -1.0041276407241517, 1.9870481749350906, 0.0, 0.0, 0.0, 0.0, -2.000109191593561, 0.0, 0.0]",1249,10,0.0,3,1;2;7,1.0,0.004531361253209516,1,1
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,0,0.01,8,dy/dt,5,0.01,4,204.49111426449352,-2231.637515243027,-2226.2904077123094,1;2;7;8,"[0.0, -0.9907057094350744, 2.0004370526716646, 0.0, 0.0, 0.0, 0.0, -1.9866103673756017, -0.013651533056715199, 0.0]",1249,10,1.5709486842320075,3,1;2;7,0.8571428571428571,0.007088499831558257,0,0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,0,0.01,8,dy/dt,0,0.0,10,204.15240967220765,-2190.927394447239,-2190.927394447239,0;1;2;3;4;5;6;7;8;9,"[0.020987723269754656, -0.9560328475891849, 1.9664722954421867, -0.0039223316613534, 0.010511606574115324, -0.004915779896907621, -0.00839756387494209, -1.9614432190057507, -0.03280990296029236, 0.0051887185637859035]",1249,10,36.93396194930256,3,1;2;7,0.46153846153846156,0.026474940803155624,0,0
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,dx/dt,9,1.0,0,520.2841868550245,183.49364747338126,183.49364747338126,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",249,10,1286.855814602798,1,2,0.0,1.0,0,0
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,dx/dt,5,0.01,1,2.8716126170367122,-1105.664752222411,-1103.3621671294168,2,"[0.0, 0.0, 0.9939198238677444, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",249,10,0.0,1,2,1.0,0.006080176132255644,1,1
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,dx/dt,4,0.003,8,2.6950652878801757,-1082.8419630711123,-1079.035300581342,0;1;2;3;4;5;6;9,"[0.02308757377915324, 0.04542296032574893, 1.0437316055273884, -0.006690974955548616, 0.009546749009265608, -0.003813921357049891, -0.011165716649925345, 0.0, 0.0, -0.0055604760496963486]",249,10,24.326866548074804,1,2,0.2222222222222222,0.0693886330070757,0,0
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,dx/dt,3,0.001,9,2.6919685601598395,-1077.610784703099,-1075.3081996101048,0;1;2;3;4;5;6;7;9,"[0.02377031091369376, 0.04242850366170245, 1.0387211202993238, -0.006742903007575232, 0.01019836025795527, -0.004031035269551336, -0.010317342500751961, 0.0026245596992142267, 0.0, -0.005291947658782873]",249,10,28.053967519311982,1,2,0.2,0.06458787718543094,0,0
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,dx/dt,0,0.0,10,2.691897004420987,-1072.0999506119372,-1072.0999506119372,0;1;2;3;4;5;6;7;8;9,"[0.023679893024221958, 0.04314251076443402, 1.0370771849154605, -0.006711034806771468, 0.010179641483139842, -0.004020951470464948, -0.010436734722332601, 0.0036998046482084523, -0.0008328747360502855, -0.005044664955084188]",249,10,31.2622165174796,1,2,0.18181818181818182,0.06411176694272433,0,0
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,dy/dt,9,1.0,2,564.9154961717927,215.0214973332728,218.82815982304314,2;7,"[0.0, 0.0, 1.9052596613087314, 0.0, 0.0, 0.0, 0.0, -1.9057305931715667, 0.0, 0.0]",249,10,1134.0642080503462,3,1;2;7,0.8,0.3362972317656446,0,0
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,dy/dt,7,0.1,3,7.421523784826361,-858.2016974452823,-853.4142057025002,1;2;7,"[0.0, -0.9981991768980697, 1.9235692640200055, 0.0, 0.0, 0.0, 0.0, -1.9366341301592551, 0.0, 0.0]",249,10,61.821842524802946,3,1;2;7,1.0,0.0330994021882274,1,1
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,dy/dt,6,0.03,5,5.569439384961761,-918.6522011736661,-913.1227720861547,1;2;7;8;9,"[0.0, -1.015981293408029, 2.229978290909055, 0.0, 0.0, 0.0, 0.0, -2.0724539270133784, 0.09581004185437317, -0.040251681235648644]",249,10,2.1132761411485035,3,1;2;7,0.75,0.08768298297499315,0,0
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,dy/dt,5,0.01,6,5.405306286827675,-920.5831557580207,-915.2360482273032,1;2;6;7;8;9,"[0.0, -0.9239120028690211, 2.2550596565764827, 0.0, 0.0, 0.0, -0.02644064851329493, -2.065801932874639, 0.087174911967527, -0.04191735691290614]",249,10,0.0,3,1;2;7,0.6666666666666666,0.09731412143230307,0,0
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,dy/dt,0,0.0,10,5.376347402893671,-899.85094592553,-899.85094592553,0;1;2;3;4;5;6;7;8;9,"[0.033093009290606934, -0.9245601938549107, 2.2560069025228633, -0.0073944032227489945, 0.012832559802929496, -0.006785743203834237, -0.026159815407452165, -2.065188481229522, 0.08740003142894705, -0.04217284779255243]",249,10,15.385102301773145,3,1;2;7,0.46153846153846156,0.0982866739397739,0,0
ODE,vanderpol_mu2,baseline,Raw FD,1,0.01,8,dx/dt,9,1.0,0,523.7609899622394,185.1520568854657,185.1520568854657,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",249,10,1140.9796041958411,1,2,0.0,1.0,0,0
