setting,system,method,method_label,seed,noise,sparse_factor,equation,candidate_id,threshold,support_size,rss,bic,ebic,active_terms,coefficients,n_regression_rows,n_library_terms,delta_ebic_from_best,selection_rule,true_support_size,true_active_terms,support_f1,coef_error,exact_support,exact_k
ODE,vanderpol_mu2,baseline,Raw FD,0,0.01,8,dx/dt,5,0.01,1,3.8692376662853922,-1031.417000280045,-1029.1144151870508,2,"[0.0, 0.0, 0.9939632759372803, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",249,10,0.0,elbow_ebic,1,2,1.0,0.006036724062719712,1,1
ODE,vanderpol_mu2,baseline,Raw FD,0,0.01,8,dy/dt,7,0.1,3,8.669917575341433,-819.4884508476279,-814.7009591048458,1;2;7,"[0.0, -0.9980720835072798, 1.9236621224863675, 0.0, 0.0, 0.0, 0.0, -1.9363460896453306, 0.0, 0.0]",249,10,48.273802205919196,elbow_ebic,3,1;2;7,1.0,0.033137774197246984,1,1
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,0,0.01,8,dx/dt,5,0.01,1,219.43739059610226,-2164.920313387907,-2162.617728294913,2,"[0.0, 0.0, 0.9989921444939882, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1249,10,0.0,elbow_ebic,1,2,1.0,0.00100785550601179,1,1
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,0,0.01,8,dy/dt,6,0.03,3,205.49536011094318,-2232.6488481393235,-2227.8613563965414,1;2;7,"[0.0, -1.0041276407241517, 1.9870481749350906, 0.0, 0.0, 0.0, 0.0, -2.000109191593561, 0.0, 0.0]",1249,10,0.0,elbow_ebic,3,1;2;7,1.0,0.004531361253209516,1,1
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,dx/dt,5,0.01,1,2.8716126170367122,-1105.664752222411,-1103.3621671294168,2,"[0.0, 0.0, 0.9939198238677444, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",249,10,0.0,elbow_ebic,1,2,1.0,0.006080176132255644,1,1
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,dy/dt,7,0.1,3,7.421523784826361,-858.2016974452823,-853.4142057025002,1;2;7,"[0.0, -0.9981991768980697, 1.9235692640200055, 0.0, 0.0, 0.0, 0.0, -1.9366341301592551, 0.0, 0.0]",249,10,61.821842524802946,elbow_ebic,3,1;2;7,1.0,0.0330994021882274,1,1
ODE,vanderpol_mu2,baseline,Raw FD,1,0.01,8,dx/dt,5,0.01,1,5.193367199150172,-958.1301324033695,-955.8275473103755,2,"[0.0, 0.0, 0.9956057963841349, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",249,10,0.0,elbow_ebic,1,2,1.0,0.004394203615865067,1,1
ODE,vanderpol_mu2,baseline,Raw FD,1,0.01,8,dy/dt,7,0.1,3,7.817742289004746,-845.2508575767025,-840.4633658339204,1;2;7,"[0.0, -0.9886310702667682, 1.9388333394020654, 0.0, 0.0, 0.0, 0.0, -1.929642084478039, 0.0, 0.0]",249,10,51.628059818476345,elbow_ebic,3,1;2;7,1.0,0.03130645870277583,1,1
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,1,0.01,8,dx/dt,5,0.01,1,228.90881800932004,-2112.1415773489985,-2109.8389922560045,2,"[0.0, 0.0, 1.0006952896858545, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1249,10,0.0,elbow_ebic,1,2,1.0,0.0006952896858545277,1,1
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,1,0.01,8,dy/dt,6,0.03,3,181.67855564656404,-2386.5062978394817,-2381.7188060966996,1;2;7,"[0.0, -0.9941891386557371, 2.0016754884204193, 0.0, 0.0, 0.0, 0.0, -1.9921511602962505, 0.0, 0.0]",1249,10,0.0,elbow_ebic,3,1;2;7,1.0,0.003302821280601758,1,1
ODE,vanderpol_mu2,tv_diff,TV,1,0.01,8,dx/dt,5,0.01,1,5.050241069037216,-965.0887596541049,-962.7861745611109,2,"[0.0, 0.0, 0.9956011744208769, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",249,10,0.0,elbow_ebic,1,2,1.0,0.004398825579123078,1,1
ODE,vanderpol_mu2,tv_diff,TV,1,0.01,8,dy/dt,7,0.1,3,7.695177970821502,-849.1855326416164,-844.3980408988343,1;2;7,"[0.0, -0.9886341402217548, 1.9388248952863942, 0.0, 0.0, 0.0, 0.0, -1.9296848055596825, 0.0, 0.0]",249,10,52.687357069445056,elbow_ebic,3,1;2;7,1.0,0.03129750216231148,1,1
ODE,vanderpol_mu2,baseline,Raw FD,2,0.01,8,dx/dt,5,0.01,1,4.977916479717758,-968.6804732677896,-966.3778881747955,2,"[0.0, 0.0, 0.99299885092701, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",249,10,0.0,elbow_ebic,1,2,1.0,0.007001149072989987,1,1
ODE,vanderpol_mu2,baseline,Raw FD,2,0.01,8,dy/dt,7,0.1,3,7.869245267981847,-843.6158351994277,-838.8283434566456,1;2;7,"[0.0, -1.002869993250467, 1.947983486829679, 0.0, 0.0, 0.0, 0.0, -1.953219527919756, 0.0, 0.0]",249,10,16.354138547717525,elbow_ebic,3,1;2;7,1.0,0.02333896853787291,1,1
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,2,0.01,8,dx/dt,5,0.01,1,195.9175502413476,-2306.5232486785617,-2304.2206635855678,2,"[0.0, 0.0, 0.9979882978395431, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1249,10,0.0,elbow_ebic,1,2,1.0,0.002011702160456874,1,1
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,2,0.01,8,dy/dt,6,0.03,3,193.62039202125084,-2306.9942681366183,-2302.206776393836,1;2;7,"[0.0, -1.008850590161049, 2.0110682265897366, 0.0, 0.0, 0.0, 0.0, -2.016490926915068, 0.0, 0.0]",1249,10,0.0,elbow_ebic,3,1;2;7,1.0,0.007247905878088899,1,1
ODE,vanderpol_mu2,tv_diff,TV,2,0.01,8,dx/dt,5,0.01,1,4.8462945773079085,-975.3529306639429,-973.0503455709488,2,"[0.0, 0.0, 0.9929928694822819, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",249,10,0.0,elbow_ebic,1,2,1.0,0.007007130517718063,1,1
ODE,vanderpol_mu2,tv_diff,TV,2,0.01,8,dy/dt,7,0.1,3,7.742932129297342,-847.6450819895097,-842.8575902467276,1;2;7,"[0.0, -1.0028662279130367, 1.9479194618439506, 0.0, 0.0, 0.0, 0.0, -1.9532094827844966, 0.0, 0.0]",249,10,17.104013793809372,elbow_ebic,3,1;2;7,1.0,0.023357012314571757,1,1
ODE,vanderpol_mu2,baseline,Raw FD,3,0.01,8,dx/dt,5,0.01,1,4.526110460093053,-992.3724431282627,-990.0698580352687,2,"[0.0, 0.0, 0.9959200585789563, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",249,10,0.0,elbow_ebic,1,2,1.0,0.004079941421043731,1,1
ODE,vanderpol_mu2,baseline,Raw FD,3,0.01,8,dy/dt,7,0.1,3,9.59610154029582,-794.2155378456176,-789.4280461028355,1;2;7,"[0.0, -0.9880025145094424, 1.9199263939630717, 0.0, 0.0, 0.0, 0.0, -1.915711027085275, 0.0, 0.0]",249,10,69.42090233586441,elbow_ebic,3,1;2;7,1.0,0.03895917093127762,1,1
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,3,0.01,8,dx/dt,5,0.01,1,227.53792932524465,-2119.6440740795824,-2117.3414889865885,2,"[0.0, 0.0, 1.0011250652682835, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1249,10,0.0,elbow_ebic,1,2,1.0,0.0011250652682834872,1,1
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,3,0.01,8,dy/dt,5,0.01,3,213.73188131932739,-2183.5645428717903,-2178.777051129008,1;2;7,"[0.0, -0.9941286674813742, 1.9845206698418327, 0.0, 0.0, 0.0, 0.0, -1.9801359988866478, 0.0, 0.0]",1249,10,0.0,elbow_ebic,3,1;2;7,1.0,0.008619491786520677,1,1
ODE,vanderpol_mu2,tv_diff,TV,3,0.01,8,dx/dt,5,0.01,1,4.3872291254153755,-1000.1325539000708,-997.8299688070767,2,"[0.0, 0.0, 0.9959142156093921, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",249,10,0.0,elbow_ebic,1,2,1.0,0.004085784390607916,1,1
ODE,vanderpol_mu2,tv_diff,TV,3,0.01,8,dy/dt,7,0.1,3,9.434623108811145,-798.4412407745945,-793.6537490318124,1;2;7,"[0.0, -0.9879962178298586, 1.9198962288606731, 0.0, 0.0, 0.0, 0.0, -1.9157222907237121, 0.0, 0.0]",249,10,71.68715732754856,elbow_ebic,3,1;2;7,1.0,0.03896356876477815,1,1
ODE,vanderpol_mu2,baseline,Raw FD,4,0.01,8,dx/dt,6,0.03,1,4.6711379214260775,-984.5190439671883,-982.2164588741942,2,"[0.0, 0.0, 0.9946991691155097, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",249,10,0.0,elbow_ebic,1,2,1.0,0.005300830884490293,1,1
ODE,vanderpol_mu2,baseline,Raw FD,4,0.01,8,dy/dt,7,0.1,3,7.954274805317768,-840.9397481478263,-836.1522564050442,1;2;7,"[0.0, -0.9932127125725528, 1.943777630464691, 0.0, 0.0, 0.0, 0.0, -1.9388216340439248, 0.0, 0.0]",249,10,30.15042639772048,elbow_ebic,3,1;2;7,1.0,0.027788515949025264,1,1
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,4,0.01,8,dx/dt,5,0.01,1,203.67551406070055,-2258.0193310969953,-2255.7167460040014,2,"[0.0, 0.0, 0.9997254128016052, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1249,10,0.0,elbow_ebic,1,2,1.0,0.0002745871983947934,1,1
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,4,0.01,8,dy/dt,5,0.01,3,222.19674043804932,-2135.0522973213174,-2130.2648055785353,1;2;7,"[0.0, -0.9988986129274116, 2.005602750091331, 0.0, 0.0, 0.0, 0.0, -2.000541733554974, 0.0, 0.0]",1249,10,0.0,elbow_ebic,3,1;2;7,1.0,0.0019118733487271569,1,1
ODE,vanderpol_mu2,tv_diff,TV,4,0.01,8,dx/dt,6,0.03,1,4.535442042081119,-991.8596028095996,-989.5570177166055,2,"[0.0, 0.0, 0.9946921194062456, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",249,10,0.0,elbow_ebic,1,2,1.0,0.0053078805937544216,1,1
ODE,vanderpol_mu2,tv_diff,TV,4,0.01,8,dy/dt,7,0.1,3,7.7972541586930575,-845.9042739757687,-841.1167822329866,1;2;7,"[0.0, -0.9932282887953804, 1.9437939851363273, 0.0, 0.0, 0.0, 0.0, -1.9388780924156774, 0.0, 0.0]",249,10,31.10938175224385,elbow_ebic,3,1;2;7,1.0,0.027770607495937214,1,1
PDE,burgers,baseline,Raw FD,0,0.01,4,u_t,14,0.03,2,67.71203235943145,-8328.799395873943,-8325.467191363767,4;6,"[0.0, 0.0, 0.0, 0.0, -0.954842999170806, 0.0, 0.03894603568009475, 0.0]",2352,8,15.645023624101668,elbow_ebic,2,4;6,1.0,0.04643226209936803,1,1
PDE,burgers,pod_edmd_rbf,POD-EDMD-RBF,0,0.01,4,u_t,10,0.01,2,96.91849311315433,-19699.57983025513,-19696.247625744956,4;6,"[0.0, 0.0, 0.0, 0.0, -0.9781712676411355, 0.0, 0.047602542212746436, 0.0]",5000,8,0.0,elbow_ebic,2,4;6,1.0,0.021932595909474113,1,1
PDE,burgers,tv_diff,TV,0,0.01,4,u_t,10,0.01,2,15.046238804225785,-11866.526910541248,-11863.194706031072,4;6,"[0.0, 0.0, 0.0, 0.0, -0.9837472161199043, 0.0, 0.04656990720128739, 0.0]",2352,8,5.697801990852895,elbow_ebic,2,4;6,1.0,0.016590070655364983,1,1
PDE,burgers,pod_tv_diff,POD+TV,0,0.01,4,u_t,10,0.01,2,15.423828666008365,-11808.231219529047,-11804.899015018871,4;6,"[0.0, 0.0, 0.0, 0.0, -0.9838074286340367, 0.0, 0.04782202217182255, 0.0]",2352,8,1.4530410553397815,elbow_ebic,2,4;6,1.0,0.01631800421949873,1,1
PDE,burgers,baseline,Raw FD,1,0.01,4,u_t,14,0.03,2,65.61329991154452,-8402.85323716434,-8399.521032654164,4;6,"[0.0, 0.0, 0.0, 0.0, -0.9564816105794858, 0.0, 0.039230821699490125, 0.0]",2352,8,9.341442134365934,elbow_ebic,2,4;6,1.0,0.0447751424962534,1,1
PDE,burgers,pod_edmd_rbf,POD-EDMD-RBF,1,0.01,4,u_t,10,0.01,2,188.74811827700842,-16366.864477267822,-16363.532272757646,4;6,"[0.0, 0.0, 0.0, 0.0, -0.9755530565319158, 0.0, 0.04638890528266806, 0.0]",5000,8,0.0,elbow_ebic,2,4;6,1.0,0.024681372017729332,1,1
PDE,burgers,tv_diff,TV,1,0.01,4,u_t,9,0.007,2,14.377400826037995,-11973.473432220118,-11970.141227709943,4;6,"[0.0, 0.0, 0.0, 0.0, -0.9859053876104013, 0.0, 0.04682711649086135, 0.0]",2352,8,0.0,elbow_ebic,2,4;6,1.0,0.014429302693997621,1,1
PDE,burgers,pod_tv_diff,POD+TV,1,0.01,4,u_t,10,0.01,2,17.26889380078409,-11542.47119584958,-11539.138991339405,4;6,"[0.0, 0.0, 0.0, 0.0, -0.9843659069808577, 0.0, 0.04775878581726386, 0.0]",2352,8,0.0,elbow_ebic,2,4;6,1.0,0.015774214431842168,1,1
PDE,burgers,baseline,Raw FD,2,0.01,4,u_t,14,0.03,2,64.80063774858964,-8432.166149297098,-8428.833944786922,4;6,"[0.0, 0.0, 0.0, 0.0, -0.9570982922247535, 0.0, 0.039299318906040055, 0.0]",2352,8,10.179403137937697,elbow_ebic,2,4;6,1.0,0.044160906261112555,1,1
PDE,burgers,pod_edmd_rbf,POD-EDMD-RBF,2,0.01,4,u_t,10,0.01,2,104.83721156112603,-19306.887665638886,-19303.55546112871,4;6,"[0.0, 0.0, 0.0, 0.0, -0.9883301397663353, 0.0, 0.048659687866093336, 0.0]",5000,8,0.0,elbow_ebic,2,4;6,1.0,0.011731921391686604,1,1
PDE,burgers,tv_diff,TV,2,0.01,4,u_t,9,0.007,2,14.500629015874953,-11953.400424242365,-11950.06821973219,4;6,"[0.0, 0.0, 0.0, 0.0, -0.9849644696297799, 0.0, 0.04686525448523162, 0.0]",2352,8,0.0,elbow_ebic,2,4;6,1.0,0.01533967206652086,1,1
PDE,burgers,pod_tv_diff,POD+TV,2,0.01,4,u_t,10,0.01,2,14.623732673523849,-11933.517308505132,-11930.185103994956,4;6,"[0.0, 0.0, 0.0, 0.0, -0.9846039911184438, 0.0, 0.048519512143069966, 0.0]",2352,8,0.0,elbow_ebic,2,4;6,1.0,0.015447729700290673,1,1
PDE,burgers,baseline,Raw FD,3,0.01,4,u_t,14,0.03,2,67.3085784624405,-8342.855418642263,-8339.523214132087,4;6,"[0.0, 0.0, 0.0, 0.0, -0.9548105452061548, 0.0, 0.03879152113780099, 0.0]",2352,8,13.718936147626664,elbow_ebic,2,4;6,1.0,0.046500656397043996,1,1
PDE,burgers,pod_edmd_rbf,POD-EDMD-RBF,3,0.01,4,u_t,9,0.007,2,141.53346749434857,-17806.250528139957,-17802.918323629783,4;6,"[0.0, 0.0, 0.0, 0.0, -0.9814573529118524, 0.0, 0.04797965080058858, 0.0]",5000,8,0.0,elbow_ebic,2,4;6,1.0,0.018629115975217516,1,1
PDE,burgers,tv_diff,TV,3,0.01,4,u_t,10,0.01,2,14.596897026103672,-11937.837370127756,-11934.50516561758,4;6,"[0.0, 0.0, 0.0, 0.0, -0.9834748008969166, 0.0, 0.04650091121796606, 0.0]",2352,8,1.2917062410397193,elbow_ebic,2,4;6,1.0,0.01687051546252144,1,1
PDE,burgers,pod_tv_diff,POD+TV,3,0.01,4,u_t,10,0.01,2,15.306072183858925,-11826.256959542497,-11822.924755032322,4;6,"[0.0, 0.0, 0.0, 0.0, -0.9825955820362213, 0.0, 0.04803306274746607, 0.0]",2352,8,0.0,elbow_ebic,2,4;6,1.0,0.0174933576795892,1,1
PDE,burgers,baseline,Raw FD,4,0.01,4,u_t,14,0.03,2,68.81557040865519,-8290.776637605151,-8287.444433094975,4;6,"[0.0, 0.0, 0.0, 0.0, -0.9552980567189149, 0.0, 0.038598620116502225, 0.0]",2352,8,13.037563975667581,elbow_ebic,2,4;6,1.0,0.04607545796610397,1,1
