setting,system,method,method_label,seed,noise,sparse_factor,equation,feature,coefficient,true_coefficient
ODE,vanderpol_mu2,baseline,Raw FD,0,0.01,8,dx/dt,1,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,0,0.01,8,dx/dt,x,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,0,0.01,8,dx/dt,y,0.9939632759372803,1.0
ODE,vanderpol_mu2,baseline,Raw FD,0,0.01,8,dx/dt,x*x,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,0,0.01,8,dx/dt,x*y,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,0,0.01,8,dx/dt,y*y,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,0,0.01,8,dx/dt,x*x*x,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,0,0.01,8,dx/dt,x*x*y,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,0,0.01,8,dx/dt,x*y*y,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,0,0.01,8,dx/dt,y*y*y,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,0,0.01,8,dy/dt,1,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,0,0.01,8,dy/dt,x,-0.9980720835072798,-1.0
ODE,vanderpol_mu2,baseline,Raw FD,0,0.01,8,dy/dt,y,1.9236621224863675,2.0
ODE,vanderpol_mu2,baseline,Raw FD,0,0.01,8,dy/dt,x*x,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,0,0.01,8,dy/dt,x*y,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,0,0.01,8,dy/dt,y*y,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,0,0.01,8,dy/dt,x*x*x,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,0,0.01,8,dy/dt,x*x*y,-1.9363460896453306,-2.0
ODE,vanderpol_mu2,baseline,Raw FD,0,0.01,8,dy/dt,x*y*y,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,0,0.01,8,dy/dt,y*y*y,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,0,0.01,8,dx/dt,1,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,0,0.01,8,dx/dt,x,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,0,0.01,8,dx/dt,y,0.9989921444939882,1.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,0,0.01,8,dx/dt,x*x,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,0,0.01,8,dx/dt,x*y,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,0,0.01,8,dx/dt,y*y,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,0,0.01,8,dx/dt,x*x*x,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,0,0.01,8,dx/dt,x*x*y,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,0,0.01,8,dx/dt,x*y*y,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,0,0.01,8,dx/dt,y*y*y,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,0,0.01,8,dy/dt,1,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,0,0.01,8,dy/dt,x,-1.0041276407241517,-1.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,0,0.01,8,dy/dt,y,1.9870481749350906,2.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,0,0.01,8,dy/dt,x*x,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,0,0.01,8,dy/dt,x*y,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,0,0.01,8,dy/dt,y*y,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,0,0.01,8,dy/dt,x*x*x,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,0,0.01,8,dy/dt,x*x*y,-2.000109191593561,-2.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,0,0.01,8,dy/dt,x*y*y,0.0,0.0
ODE,vanderpol_mu2,edmd_poly3,Polynomial EDMD,0,0.01,8,dy/dt,y*y*y,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,dx/dt,1,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,dx/dt,x,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,dx/dt,y,0.9939198238677444,1.0
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,dx/dt,x*x,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,dx/dt,x*y,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,dx/dt,y*y,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,dx/dt,x*x*x,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,dx/dt,x*x*y,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,dx/dt,x*y*y,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,dx/dt,y*y*y,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,dy/dt,1,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,dy/dt,x,-0.9981991768980697,-1.0
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,dy/dt,y,1.9235692640200055,2.0
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,dy/dt,x*x,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,dy/dt,x*y,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,dy/dt,y*y,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,dy/dt,x*x*x,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,dy/dt,x*x*y,-1.9366341301592551,-2.0
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,dy/dt,x*y*y,0.0,0.0
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,dy/dt,y*y*y,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,1,0.01,8,dx/dt,1,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,1,0.01,8,dx/dt,x,0.0,0.0
ODE,vanderpol_mu2,baseline,Raw FD,1,0.01,8,dx/dt,y,0.9956057963841349,1.0
