setting,system,method,method_label,seed,noise,sparse_factor,fold,lam,cv_mse,solver_primal_objective,solver_dual_objective,solver_primal_dual_gap,solver_relative_primal_dual_gap,solver_max_relative_gap,solver_kkt_stationarity_max,solver_kkt_complementarity_gap,solver_kkt_subgradient_prox_max,solver_masked_dual_stationarity_max,solver_dual_box_violation,solver_dual_scale_min,solver_converged,solver_iterations,solver_rho,solver_tolerance,solver_method,solver_elapsed_seconds,solver_n_observed,solver_n_times,solver_n_channels,solver_objective
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,0,0.0,0.0008181256776810528,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",0.0,0.0,"[0.0, 0.0]",0.0,0.0,0.0,1.0,True,0,0.0,1e-05,zero-penalty interpolation,0.000531981999756681,168,251,2,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,0,0.0001,0.00022700343450796632,"[0.0003323824121505776, 0.000992189474105658]","[0.0003322526980031222, 0.0009914237094837447]","[1.2971414745538987e-07, 7.657646219133216e-07]","[1.2971414745538987e-07, 7.657646219133216e-07]",7.657646219133216e-07,1.4856194684501316e-07,"[1.297136621340256e-07, 7.657638331191614e-07]",8.25876220145183e-06,1.3552527156068805e-20,0.0,0.9995048519377229,True,50,0.02,1e-05,banded ADMM with dual certificate,0.003048237000257359,168,251,2,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,0,0.001,0.00022628853385760073,"[0.003048075144206617, 0.009643576064177775]","[0.003047843752478169, 0.009642310904398786]","[2.313917284481326e-07, 1.2651597789889446e-06]","[2.313917284481326e-07, 1.2651597789889446e-06]",1.2651597789889446e-06,2.9373811497382385e-07,"[2.3139044682055077e-07, 1.2651570311071614e-06]",5.834153740336134e-06,4.336808689942018e-19,0.0,0.999902088674217,True,50,0.0502,1e-05,banded ADMM with dual certificate,0.0029113710002093285,168,251,2,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,0,0.01,0.0003177134947486719,"[0.021708306702733608, 0.08548681951432179]","[0.021706923602453583, 0.08547740362800621]","[1.3831002800245018e-06, 9.415886315575217e-06]","[1.3831002800245018e-06, 9.415886315575217e-06]",9.415886315575217e-06,1.6405432801055997e-06,"[1.383094264700846e-06, 9.415851090210925e-06]",4.329045925793862e-05,3.469446951953614e-18,0.0,0.9999179728359968,True,100,0.502,1e-05,banded ADMM with dual certificate,0.00640952699995978,168,251,2,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,0,0.1,0.0010069007560905253,"[0.18131231948866466, 0.7469287089869455]","[0.18130842454836676, 0.7469189725169783]","[3.894940297899385e-06, 9.736469967269734e-06]","[3.894940297899385e-06, 9.736469967269734e-06]",9.736469967269734e-06,1.2053885475732384e-06,"[3.8949345188277196e-06, 9.73646485924462e-06]",5.301449913827638e-06,4.163336342344337e-17,0.0,0.9999763948416655,True,125,1.2550000000000001,1e-05,banded ADMM with dual certificate,0.007132296999770915,168,251,2,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,0,1.0,0.00883660962365119,"[1.5246852259239208, 5.911346483222855]","[1.52467213963053, 5.911344070827743]","[1.3086293390696113e-05, 2.4123951112287045e-06]","[8.58294759350485e-06, 4.0809570511141336e-07]",8.58294759350485e-06,1.500802980003435e-06,"[1.3086276735130298e-05, 2.4123948545451412e-06]",2.4453569312798962e-05,2.220446049250313e-16,0.0,0.9999899100694079,True,675,12.55,1e-05,banded ADMM with dual certificate,0.053326156999901286,168,251,2,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,0,10.0,0.11831450949050289,"[10.402617713460918, 26.878422586484497]","[10.402514369905251, 26.878422586477296]","[0.00010334355566676834, 7.201350626928615e-12]","[9.93437983720602e-06, 2.679231120709342e-13]",9.93437983720602e-06,6.671537848390585e-06,"[0.00010334302525638606, 7.219114195322618e-12]",0.00032440453985671525,3.552713678800501e-15,0.0,0.9999858391415657,True,1950,125.5,1e-05,banded ADMM with dual certificate,0.11196976500013989,168,251,2,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,0,100.0,0.3696866655275408,"[49.76990658125604, 68.82304476209029]","[49.769413214226205, 68.82304476207378]","[0.0004933670298328252, 1.6513013179064728e-11]","[9.91295872792804e-06, 2.399343597213323e-13]",9.91295872792804e-06,1.0003684015935654e-05,"[0.0004933647434164357, 1.6505907751707127e-11]",0.0022537035791145854,4.263256414560601e-14,0.0,0.9999887060166986,True,1625,1255.0,1e-05,banded ADMM with dual certificate,0.09680019600000378,168,251,2,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,0,1000.0,0.9932375996050115,"[82.19960654207492, 83.98521697051257]","[82.19960654207118, 83.98521697051238]","[3.737454790098127e-12, 1.8474111129762605e-13]","[4.546803746785653e-14, 2.1996860633519485e-15]",4.546803746785653e-14,1.039279773351609e-12,"[3.802925280155895e-12, 2.5492298796956585e-13]",0.0,2.2737367544323206e-13,0.0,1.0,True,0,0.0,1e-05,affine exact solution,0.000388586000099167,168,251,2,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
ODE,vanderpol_mu2,tv_diff,TV,0,0.01,8,1,0.0,0.0007326090666705686,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",0.0,0.0,"[0.0, 0.0]",0.0,0.0,0.0,1.0,True,0,0.0,1e-05,zero-penalty interpolation,0.00044621300003200304,168,251,2,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
