system,method,sparse_factor,noise,seed,feature,equation,coef,true_coef
lorenz63,baseline,16,0.05,1,1,0,0.0,0.0
lorenz63,baseline,16,0.05,1,1,1,1.5113900685212467,0.0
lorenz63,baseline,16,0.05,1,1,2,25.03020693813204,0.0
lorenz63,baseline,16,0.05,1,x,0,-8.767502089134554,-10.0
lorenz63,baseline,16,0.05,1,x,1,16.841930698575823,28.0
lorenz63,baseline,16,0.05,1,x,2,0.30092129532965783,0.0
lorenz63,baseline,16,0.05,1,y,0,8.725590355379248,10.0
lorenz63,baseline,16,0.05,1,y,1,1.1473120722228158,-1.0
lorenz63,baseline,16,0.05,1,y,2,0.0,0.0
lorenz63,baseline,16,0.05,1,z,0,0.0,0.0
lorenz63,baseline,16,0.05,1,z,1,0.0,0.0
lorenz63,baseline,16,0.05,1,z,2,-3.674979992221865,-2.6666666666666665
lorenz63,baseline,16,0.05,1,x*x,0,0.0,0.0
lorenz63,baseline,16,0.05,1,x*x,1,0.0,0.0
lorenz63,baseline,16,0.05,1,x*x,2,0.408629755838719,0.0
lorenz63,baseline,16,0.05,1,x*y,0,0.0,0.0
lorenz63,baseline,16,0.05,1,x*y,1,0.0,0.0
lorenz63,baseline,16,0.05,1,x*y,2,0.5524033265765053,1.0
lorenz63,baseline,16,0.05,1,x*z,0,0.0,0.0
lorenz63,baseline,16,0.05,1,x*z,1,-0.6942880566348496,-1.0
lorenz63,baseline,16,0.05,1,x*z,2,0.0,0.0
lorenz63,baseline,16,0.05,1,y*y,0,0.0,0.0
lorenz63,baseline,16,0.05,1,y*y,1,0.0,0.0
lorenz63,baseline,16,0.05,1,y*y,2,0.0,0.0
lorenz63,baseline,16,0.05,1,y*z,0,0.0,0.0
lorenz63,baseline,16,0.05,1,y*z,1,0.0,0.0
lorenz63,baseline,16,0.05,1,y*z,2,0.0,0.0
lorenz63,baseline,16,0.05,1,z*z,0,0.0,0.0
lorenz63,baseline,16,0.05,1,z*z,1,0.0,0.0
lorenz63,baseline,16,0.05,1,z*z,2,0.0,0.0
lorenz63,baseline,16,0.05,1,x*x*x,0,0.0,0.0
lorenz63,baseline,16,0.05,1,x*x*x,1,0.0,0.0
lorenz63,baseline,16,0.05,1,x*x*x,2,0.0,0.0
lorenz63,baseline,16,0.05,1,x*x*y,0,0.0,0.0
lorenz63,baseline,16,0.05,1,x*x*y,1,0.0,0.0
lorenz63,baseline,16,0.05,1,x*x*y,2,0.0,0.0
lorenz63,baseline,16,0.05,1,x*x*z,0,0.0,0.0
lorenz63,baseline,16,0.05,1,x*x*z,1,0.0,0.0
lorenz63,baseline,16,0.05,1,x*x*z,2,0.0,0.0
lorenz63,baseline,16,0.05,1,x*y*y,0,0.0,0.0
lorenz63,baseline,16,0.05,1,x*y*y,1,0.0,0.0
lorenz63,baseline,16,0.05,1,x*y*y,2,0.0,0.0
lorenz63,baseline,16,0.05,1,x*y*z,0,0.0,0.0
lorenz63,baseline,16,0.05,1,x*y*z,1,0.0,0.0
lorenz63,baseline,16,0.05,1,x*y*z,2,0.0,0.0
lorenz63,baseline,16,0.05,1,x*z*z,0,0.0,0.0
lorenz63,baseline,16,0.05,1,x*z*z,1,0.0,0.0
lorenz63,baseline,16,0.05,1,x*z*z,2,0.0,0.0
lorenz63,baseline,16,0.05,1,y*y*y,0,0.0,0.0
lorenz63,baseline,16,0.05,1,y*y*y,1,0.0,0.0
lorenz63,baseline,16,0.05,1,y*y*y,2,0.0,0.0
lorenz63,baseline,16,0.05,1,y*y*z,0,0.0,0.0
lorenz63,baseline,16,0.05,1,y*y*z,1,0.0,0.0
lorenz63,baseline,16,0.05,1,y*y*z,2,0.0,0.0
lorenz63,baseline,16,0.05,1,y*z*z,0,0.0,0.0
lorenz63,baseline,16,0.05,1,y*z*z,1,0.0,0.0
lorenz63,baseline,16,0.05,1,y*z*z,2,0.0,0.0
lorenz63,baseline,16,0.05,1,z*z*z,0,0.0,0.0
lorenz63,baseline,16,0.05,1,z*z*z,1,0.0,0.0
lorenz63,baseline,16,0.05,1,z*z*z,2,0.0,0.0
lorenz63,edmd_poly3,16,0.05,1,1,0,0.0,0.0
lorenz63,edmd_poly3,16,0.05,1,1,1,0.6736531996304332,0.0
lorenz63,edmd_poly3,16,0.05,1,1,2,-1.844629195773122,0.0
lorenz63,edmd_poly3,16,0.05,1,x,0,-9.918027772530362,-10.0
lorenz63,edmd_poly3,16,0.05,1,x,1,26.933165430488177,28.0
lorenz63,edmd_poly3,16,0.05,1,x,2,0.0,0.0
lorenz63,edmd_poly3,16,0.05,1,y,0,9.867511024874435,10.0
lorenz63,edmd_poly3,16,0.05,1,y,1,-0.8111514160533574,-1.0
lorenz63,edmd_poly3,16,0.05,1,y,2,0.0,0.0
lorenz63,edmd_poly3,16,0.05,1,z,0,0.0,0.0
lorenz63,edmd_poly3,16,0.05,1,z,1,0.0,0.0
lorenz63,edmd_poly3,16,0.05,1,z,2,-2.5358854970920235,-2.6666666666666665
