system,equation,method,n,support_f1_mean,coef_error_median,practical_score_mean,exact_support_count
burgers,u_t,baseline,5,1.0,0.0460754579661039,0.9563996273704994,5
burgers,u_t,pod_edmd_rbf,5,1.0,0.0186291159752175,0.981374494840496,5
burgers,u_t,pod_tv_diff,5,1.0,0.0158315030560901,0.9840849286785633,5
burgers,u_t,tv_diff,5,1.0,0.0155875461384314,0.9844819520854996,5
fisher_kpp,u_t,baseline,5,0.6599999999999999,0.058688207508052,0.6250472363007239,0
fisher_kpp,u_t,pod_edmd_rbf,5,1.0,0.0107815528962748,0.9901928715566974,5
fisher_kpp,u_t,pod_tv_diff,5,1.0,0.0079280290081818,0.992104509752662,5
fisher_kpp,u_t,tv_diff,5,0.7785714285714286,0.0612254215915525,0.747420983311065,2
vanderpol_mu2,dx/dt,baseline,5,1.0,0.0053008308844902,0.9946671606187858,5
vanderpol_mu2,dx/dt,edmd_poly3,5,1.0,0.0010078555060117,0.9989784753140698,5
vanderpol_mu2,dx/dt,tv_diff,5,1.0,0.0053078805937544,0.994653924321344,5
vanderpol_mu2,dy/dt,baseline,5,1.0,0.0313064587027758,0.9700453707733449,5
vanderpol_mu2,dy/dt,edmd_poly3,5,1.0,0.0045313612532095,0.9949094645836682,5
vanderpol_mu2,dy/dt,tv_diff,5,1.0,0.0312975021623114,0.9700533751360985,5
