system,equation,comparator,n_pairs,support_f1_edmd_wins,support_f1_ties,support_f1_delta_mean,support_f1_delta_seed_se,coef_error_edmd_wins,coef_error_ties,coef_error_delta_mean,coef_error_delta_seed_se,practical_score_edmd_wins,practical_score_ties,practical_score_delta_mean,practical_score_delta_seed_se
burgers,u_t,baseline,5,0,5,0.0,0.0,5,0,-0.026591242872402998,0.00205516548000493,5,0,0.02497486746999673,0.0019847512775392198
fisher_kpp,u_t,baseline,5,5,0,0.34,0.04760952285695234,5,0,-0.04681104309181122,0.003568910063862788,5,0,0.3651456352559735,0.045968410146672536
vanderpol_mu2,dx/dt,baseline,5,0,5,0.0,0.0,5,0,-0.00433966984762148,0.00042993083476586106,5,0,0.00431131469528403,0.0004253821843188848
vanderpol_mu2,dy/dt,baseline,5,0,5,0.0,0.0,5,0,-0.02578348695421014,0.002525951634525305,5,0,0.02486409381032346,0.0023930664133883822
burgers,u_t,tv_diff,5,0,5,0.0,0.0,1,0,0.0032342207682061197,0.002273092012706694,1,0,-0.0031074572450034534,0.0021927259609912085
fisher_kpp,u_t,tv_diff,5,3,2,0.22142857142857145,0.09609731462195507,4,0,-0.040077508206491905,0.01569091698355503,4,0,0.2427718882456324,0.10308239825898366
vanderpol_mu2,dx/dt,tv_diff,5,0,5,0.0,0.0,5,0,-0.0043530594788915595,0.00043319655538265675,5,0,0.0043245509927257505,0.00042860627557677846
vanderpol_mu2,dy/dt,tv_diff,5,0,5,0.0,0.0,5,0,-0.02577492787573562,0.002520327707632449,5,0,0.02485608944756983,0.0023875852992035
burgers,u_t,pod_tv_diff,5,0,5,0.0,0.0,1,0,0.0028246803541111996,0.0021310092059257804,1,0,-0.002710433838067261,0.002054962306367606
fisher_kpp,u_t,pod_tv_diff,5,0,5,0.0,0.0,2,0,0.0019482846415815002,0.001212629329352091,2,0,-0.0019116381959644712,0.001191609854859508
