system,noise,comparator,n_pairs,n_seeds,support_f1_delta_mean,support_f1_delta_seed_se,support_f1_edmd_wins,support_f1_ties,support_f1_seed_mean_wins,coef_error_delta_mean,coef_error_delta_seed_se,coef_error_edmd_wins,coef_error_ties,coef_error_seed_mean_wins,practical_score_delta_mean,practical_score_delta_seed_se,practical_score_edmd_wins,practical_score_ties,practical_score_seed_mean_wins
lorenz63,0.05,baseline,10,5,0.010486748545572078,0.03517173158577327,4,1,3,-0.13955872400470332,0.10728926702541473,6,0,4,0.10290618887975929,0.03322616900826238,6,0,4
lorenz63,0.1,baseline,10,5,-0.03826964246623686,0.038048932313420984,3,0,1,-0.1122976845245253,0.1007047549551016,5,0,4,0.025500415605583925,0.0466576559682135,4,0,2
lorenz63,0.2,baseline,10,5,-0.0652156490740082,0.0943458008103709,4,0,2,-0.05955248964637311,0.1378660984274031,4,0,3,-0.0007854034394101401,0.07832386738603019,4,0,2
lorenz63,0.5,baseline,10,5,-0.03847411589869156,0.017617999610047626,4,1,2,0.20353398980304976,0.08859210719195043,4,0,1,-0.0354515100438866,0.017585903773330195,3,0,1
vanderpol_mu2,0.05,baseline,10,5,0.01428571428571429,0.01428571428571429,1,9,1,-0.1668260076831229,0.018337465324651404,9,0,5,0.13269745224615698,0.01920730498522032,9,0,5
vanderpol_mu2,0.1,baseline,10,5,0.01428571428571429,0.01428571428571429,1,9,1,-0.18433727217098386,0.01159867027724463,10,0,5,0.13796124064740098,0.014146412520757625,10,0,5
vanderpol_mu2,0.2,baseline,10,5,-0.07761904761904763,0.05754838467310135,2,4,1,-0.14054783843910887,0.09178984198603202,8,0,3,0.04692512215163354,0.06858488273990036,7,0,3
vanderpol_mu2,0.5,baseline,10,5,-0.27325642829075325,0.030016059486204182,0,1,0,0.46085009411588934,0.17772141809597664,1,0,0,-0.1854969163008597,0.025644525017878735,0,0,0
burgers,0.05,baseline,10,5,0.0,0.0,0,10,0,-0.1123003459444297,0.007133544245178046,10,0,5,0.03989246961913391,0.002445338142816443,10,0,5
burgers,0.1,baseline,10,5,-0.009999999999999998,0.034801021696368485,1,8,1,-0.016886375198459636,0.03625073792363132,7,0,4,0.00295002718559387,0.023115455370154636,7,0,4
burgers,0.2,baseline,10,5,-0.015555555555555555,0.0282405889491974,1,6,1,-0.05436368030768104,0.011296841999456124,8,0,5,0.0015233826267027461,0.014311625259103539,6,0,2
burgers,0.5,baseline,10,5,0.03999999999999998,0.019116278371205837,5,4,4,-0.009080391150980383,0.01683925812618871,4,0,4,0.0220105921049129,0.011799980753918565,6,0,5
fisher_kpp,0.05,baseline,10,5,0.0,0.0,0,10,0,-0.0009684033538248787,0.002517815544033518,6,0,4,0.0007062650826669126,0.0018276352778506754,6,0,4
fisher_kpp,0.1,baseline,10,5,-0.04571428571428573,0.027994168488950616,0,8,0,0.20303767995859542,0.07964033715453518,3,0,1,-0.12167010650201729,0.04594875090207413,3,0,1
fisher_kpp,0.2,baseline,10,5,0.009523809523809523,0.009523809523809523,1,8,1,-0.02952852206496326,0.04492692576687473,5,0,2,0.011757207143484666,0.021644628969074105,5,0,2
