system,band,comparator,n_pairs,n_seeds,support_f1_delta_mean,support_f1_delta_seed_se,support_f1_edmd_wins,support_f1_ties,support_f1_seed_mean_wins,coef_error_delta_mean,coef_error_delta_seed_se,coef_error_edmd_wins,coef_error_ties,coef_error_seed_mean_wins,practical_score_delta_mean,practical_score_delta_seed_se,practical_score_edmd_wins,practical_score_ties,practical_score_seed_mean_wins
lorenz63,5–10%,baseline,20,5,-0.013891446960332393,0.02268414540088973,7,1,2,-0.1259282042646143,0.07298727602558076,11,0,4,0.06420330224267161,0.029149499888906825,10,0,4
lorenz63,20–50%,baseline,20,5,-0.0518448824863499,0.05388937300297453,8,1,1,0.0719907500783383,0.1058744089159236,8,0,3,-0.01811845674164838,0.046287483944135066,7,0,2
vanderpol_mu2,5–10%,baseline,20,5,0.01428571428571429,0.008748177652797067,2,18,2,-0.17558163992705336,0.009028417260226808,19,0,5,0.13532934644677896,0.00817670764900121,19,0,5
vanderpol_mu2,20–50%,baseline,20,5,-0.17543773795490042,0.03837643498033397,2,5,0,0.16015112783839022,0.10671329939603605,9,0,1,-0.0692858970746131,0.04032757322306977,7,0,1
burgers,5–10%,baseline,20,5,-0.004999999999999999,0.017400510848184243,1,18,1,-0.06459336057144469,0.017620715930418595,17,0,5,0.02142124840236388,0.011340618492185,17,0,4
burgers,20–50%,baseline,20,5,0.012222222222222212,0.023000268382760494,6,10,2,-0.03172203572933071,0.010635178155615953,12,0,4,0.011766987365807825,0.012867916593935312,12,0,3
fisher_kpp,5–10%,baseline,20,5,-0.022857142857142864,0.013997084244475308,0,18,0,0.10103463830238527,0.04011094099117095,9,0,1,-0.06048192070967519,0.022936820262744573,9,0,1
fisher_kpp,20–50%,baseline,20,5,-0.01441558441558442,0.01719565173844595,3,13,1,0.1426917332744193,0.04867361070069618,9,0,0,-0.04625706489311073,0.018668555751461383,9,0,0
advection_diffusion,5–10%,baseline,20,5,0.003888888888888886,0.0286474957430083,4,13,3,-0.19375205837773288,0.021350951732813737,17,0,5,0.09087189522787514,0.022834900013414785,17,0,5
advection_diffusion,20–50%,baseline,20,5,0.06722222222222221,0.03848400341074871,11,5,4,-0.12940672154628405,0.01223047394756578,19,0,5,0.0665785847443901,0.025844005404287836,16,0,4
lorenz63,5–10%,tv_diff,20,5,0.0348155555887754,0.018282612198912532,12,0,4,-0.11498194039541505,0.07242315676988417,9,0,4,0.08698064565375915,0.02911000362023426,13,0,5
lorenz63,20–50%,tv_diff,20,5,0.020071050281918336,0.052571160198861704,9,1,2,-8.285699311044036,5.266980315539633,9,0,3,0.03554557207656175,0.06058802393989063,9,0,2
vanderpol_mu2,5–10%,tv_diff,20,5,0.01428571428571429,0.008748177652797067,2,18,2,-0.16360004455297603,0.007877769061627777,19,0,5,0.12511337854018315,0.007539559076574253,19,0,5
vanderpol_mu2,20–50%,tv_diff,20,5,-0.23329488081204333,0.03321481952434052,1,5,0,0.3379361175554965,0.09872483770776147,9,0,0,-0.17365153171410108,0.03097251659532248,7,0,0
burgers,5–10%,tv_diff,20,5,-0.01333333333333333,0.013333333333333329,0,19,0,0.13681150667844266,0.0277111004906197,4,0,0,-0.04606999526490706,0.0119010497784223,4,0,0
burgers,20–50%,tv_diff,20,5,-0.09277777777777776,0.02817219976335133,0,9,0,0.11483563619609927,0.009602098392145274,0,0,0,-0.07034678113062746,0.016490664242391612,0,0,0
fisher_kpp,5–10%,tv_diff,20,5,-0.016190476190476193,0.017791944468828008,1,17,1,0.0742469982111231,0.06521064205953253,4,0,1,-0.048735077360103005,0.0357321882734656,4,0,1
fisher_kpp,20–50%,tv_diff,20,5,0.048181818181818215,0.014076646414836812,9,9,5,-0.20572915722787935,0.08440654063532403,12,0,5,0.11741884533011301,0.04365920823268519,13,0,5
advection_diffusion,5–10%,tv_diff,20,5,-0.02111111111111111,0.019574958808275405,1,16,1,1.8556668266841993e-05,0.013450865352414092,16,0,2,-0.004687741706004422,0.015968680925775348,16,0,2
advection_diffusion,20–50%,tv_diff,20,5,0.038888888888888876,0.01857168294494086,9,7,4,0.0969277939942232,0.014337677146654949,2,0,0,0.008297456730878002,0.01010960479055909,9,0,3
burgers,5–10%,pod_tv_diff,20,5,-0.01333333333333333,0.013333333333333329,0,19,0,0.16405100986900067,0.01783296090372127,0,0,0,-0.054073913205731496,0.009546841819259865,0,0,0
burgers,20–50%,pod_tv_diff,20,5,-0.08222222222222222,0.03415198419845262,2,8,1,0.11998412119094619,0.009666301762772772,0,0,0,-0.06527813948361108,0.018996975138355486,2,0,1
fisher_kpp,5–10%,pod_tv_diff,20,5,-0.022857142857142864,0.013997084244475308,0,18,0,0.11077974808120288,0.03931299408175277,2,0,0,-0.06769244654606404,0.02273623237394267,2,0,0
fisher_kpp,20–50%,pod_tv_diff,20,5,0.047575757575757605,0.008668864946889027,7,11,5,-0.17557878876771577,0.06950505227173112,10,0,5,0.09744338724610521,0.028346649157640805,11,0,5
advection_diffusion,5–10%,pod_tv_diff,20,5,-0.02111111111111111,0.01026651034032018,0,17,0,0.05173567695660943,0.016999258258153554,5,0,0,-0.02707236836655298,0.01062468964515876,5,0,0
advection_diffusion,20–50%,pod_tv_diff,20,5,-0.015555555555555555,0.02884879696659382,6,8,2,0.13581869556701825,0.01741734763487045,2,0,0,-0.03912224106350516,0.020063790394391903,6,0,1
