system,noise,sparse_factor,comparator,n_pairs,n_seeds,support_f1_delta_mean,support_f1_delta_seed_se,support_f1_edmd_wins,support_f1_ties,support_f1_seed_mean_wins,coef_error_delta_mean,coef_error_delta_seed_se,coef_error_edmd_wins,coef_error_ties,coef_error_seed_mean_wins,practical_score_delta_mean,practical_score_delta_seed_se,practical_score_edmd_wins,practical_score_ties,practical_score_seed_mean_wins
lorenz63,0.05,16,baseline,5,5,0.08809803921568629,0.07556729814668826,3,0,3,-0.34046463593451814,0.23513619061759186,4,0,4,0.245035452560436,0.09576005779930709,4,0,4
lorenz63,0.1,16,baseline,5,5,0.06084166744847863,0.07840683809990164,3,0,3,-0.32843648370041684,0.23890102603497404,4,0,4,0.12944230408711346,0.10505325293224146,4,0,4
lorenz63,0.2,16,baseline,5,5,-0.0779661162710698,0.12798706003843763,2,0,2,-0.23969687627377684,0.2274077533707938,3,0,3,0.03224412346098239,0.13016947757271993,2,0,2
lorenz63,0.5,16,baseline,5,5,-0.0039070733188380615,0.03366060515929407,3,1,3,0.03471897744382864,0.12035566745395215,3,0,3,-0.0038787914027218094,0.0292279120577642,3,0,3
lorenz63,0.05,64,baseline,5,5,-0.06712454212454214,0.0972401311463964,1,1,1,0.06134718792511151,0.04827801766080232,2,0,2,-0.03922307480091735,0.047379067690751904,2,0,2
lorenz63,0.1,64,baseline,5,5,-0.13738095238095235,0.032150297084127345,0,0,0,0.10384111465136625,0.05585243296276045,1,0,1,-0.0784414728759456,0.019497383475410083,0,0,0
lorenz63,0.2,64,baseline,5,5,-0.05246518187694662,0.103263494087142,2,0,2,0.12059189698103054,0.12969269632195857,1,0,1,-0.03381493033980267,0.060373292243687565,2,0,2
lorenz63,0.5,64,baseline,5,5,-0.07304115847854506,0.038487824599484306,1,0,1,0.3723490021622708,0.13620365590910707,1,0,1,-0.0670242286850514,0.0249169174264181,0,0,0
vanderpol_mu2,0.05,16,baseline,5,5,0.0,0.0,0,5,0,-0.030644708895925483,0.011786925862743491,4,0,4,0.028548162404625033,0.0109709300177474,4,0,4
vanderpol_mu2,0.1,16,baseline,5,5,0.0,0.0,0,5,0,-0.06651807032363419,0.010868073111331578,5,0,5,0.057638002763721066,0.008870211144578847,5,0,5
vanderpol_mu2,0.2,16,baseline,5,5,0.039999999999999994,0.02799416848895061,2,3,2,-0.28251657244526085,0.10051929009317472,5,0,5,0.1949151817209444,0.0581724896161363,5,0,5
vanderpol_mu2,0.5,16,baseline,5,5,-0.2256018834966203,0.07234690526486472,0,1,0,0.7753995254881862,0.37449101586183337,0,0,0,-0.18053155479790436,0.06418221229298665,0,0,0
