system,sparse_factor,noise,seed,comparator,support_f1_edmd,support_f1_other,support_f1_delta,coef_error_edmd,coef_error_other,coef_error_delta,practical_score_edmd,practical_score_other,practical_score_delta
lorenz63,16,0.05,1,baseline,0.875,0.7777777777777778,0.09722222222222221,0.0714336878379232,0.8758640360134252,-0.804430348175502,0.8166627668443837,0.4146237482278867,0.40203901861649693
lorenz63,16,0.05,2,baseline,0.9333333333333332,0.56,0.3733333333333332,0.0363950256133789,0.2855785751015723,-0.2491835494881934,0.9005575193502596,0.4356015344731107,0.46495598487714895
lorenz63,16,0.05,3,baseline,0.7777777777777778,0.8235294117647058,-0.04575163398692805,0.0602437693615395,0.9090810139942292,-0.8488372446326897,0.7335839174477224,0.4313747848980468,0.30220913254967563
lorenz63,16,0.05,0,baseline,0.8,0.8235294117647058,-0.0235294117647058,0.1297325816497814,0.3728963012772781,-0.24316371962749667,0.7081321836639753,0.5998482267003945,0.10828395696358084
lorenz63,16,0.05,4,baseline,0.7058823529411765,0.6666666666666666,0.03921568627450989,1.297372531413086,0.854080849161795,0.4432916822512909,0.3072563736569954,0.3595672038617181,-0.052310830204722714
lorenz63,16,0.1,0,baseline,0.6666666666666666,0.6,0.06666666666666665,0.8966623384719733,0.9381905623358032,-0.04152822386382993,0.3514946509686905,0.3095670836808286,0.0419275672878619
lorenz63,16,0.1,1,baseline,0.875,0.5454545454545454,0.3295454545454546,0.3056780715124751,0.8753350985766302,-0.569657027064155,0.6701498777462158,0.2908571091473426,0.37929276859887323
lorenz63,16,0.1,2,baseline,0.7058823529411765,0.8235294117647058,-0.11764705882352933,0.8837610611372851,0.4222493088522378,0.4615117522850473,0.3747196857944464,0.5790330897958376,-0.20431340400139114
lorenz63,16,0.1,3,baseline,0.875,0.7777777777777778,0.09722222222222221,0.1441490180369324,0.7724874768235118,-0.6283384587865795,0.7647605217555284,0.438805795780086,0.32595472597544245
lorenz63,16,0.1,4,baseline,0.56,0.631578947368421,-0.07157894736842096,0.5136818586614446,1.3778523197340118,-0.8641704610725672,0.3699588502006692,0.2656089876258883,0.1043498625747809
lorenz63,16,0.2,1,baseline,0.375,0.631578947368421,-0.256578947368421,0.9004254645567978,0.5992083124889013,0.30121715206789657,0.1973242344905405,0.3949322564397339,-0.19760802194919339
lorenz63,16,0.2,2,baseline,0.4375,0.8235294117647058,-0.38602941176470584,0.8214563186346024,0.6088061070464151,0.2126502115881873,0.2401924193976598,0.511888541545017,-0.27169612214735717
lorenz63,16,0.2,0,baseline,0.4666666666666667,0.6666666666666666,-0.19999999999999996,0.8580261768706332,1.2489687890291168,-0.3909426121584836,0.2511625898902277,0.2964321558924202,-0.04526956600219251
lorenz63,16,0.2,3,baseline,0.7777777777777778,0.5333333333333333,0.24444444444444446,0.3070155631423338,1.2503060713162226,-0.9432905081738888,0.5950792015879599,0.2370047968725349,0.358074404715425
lorenz63,16,0.5,1,baseline,0.6666666666666666,0.6153846153846154,0.05128205128205121,0.9694106190979188,1.1399542416989548,-0.17054362260103595,0.3385107504762165,0.2875690532971624,0.05094169717905406
lorenz63,16,0.2,4,baseline,0.875,0.6666666666666666,0.20833333333333337,0.1686532339765755,0.546771858669171,-0.3781186246925955,0.7487250918928603,0.4310051692046303,0.31771992268823
lorenz63,16,0.5,2,baseline,0.6666666666666666,0.6666666666666666,0.0,1.2050383715779869,0.7590794322185879,0.445958939359399,0.302337898178879,0.3789861074242978,-0.07664820924541876
lorenz63,16,0.5,0,baseline,0.6666666666666666,0.6363636363636364,0.030303030303030276,0.8007565259290087,0.9967757277207574,-0.1960192017917487,0.3702147719957499,0.3186955988743017,0.051519173121448214
lorenz63,64,0.05,0,baseline,0.6666666666666666,0.4,0.2666666666666666,1.062263655347658,0.9714174998609983,0.09084615548665975,0.323269367104411,0.2028996902118416,0.12036967689256942
lorenz63,64,0.05,1,baseline,0.4,0.6153846153846154,-0.2153846153846154,1.2641272926049767,1.0296585673629055,0.23446872524207119,0.1766685121046275,0.3031961263239325,-0.126527614219305
lorenz63,64,0.05,2,baseline,0.375,0.6666666666666666,-0.29166666666666663,0.9883664790733688,1.0293341021100098,-0.04096762303664092,0.1885970237110212,0.3285149872431044,-0.13991796353208322
lorenz63,16,0.5,4,baseline,0.7,0.6666666666666666,0.033333333333333326,0.9794124158247424,1.043919562027439,-0.06450714620269671,0.3536402997191153,0.3261706962701484,0.02746960344896693
lorenz63,64,0.05,3,baseline,0.5714285714285714,0.6666666666666666,-0.09523809523809523,1.0503461600053583,1.027422638403345,0.022923521602013386,0.2786985839635381,0.328824712735617,-0.05012612877207889
lorenz63,16,0.5,3,baseline,0.5714285714285714,0.7058823529411765,-0.13445378151260512,1.506575136371324,1.3478692179160985,0.15870591845522553,0.2279718501699524,0.3006480716876119,-0.07267622151765948
lorenz63,64,0.05,4,baseline,0.6666666666666666,0.6666666666666666,0.0,1.0281988804180944,1.0287337200866402,-0.000534839668545839,0.3286988633625709,0.32861220773626,8.66556263109386e-05
lorenz63,64,0.1,0,baseline,0.5714285714285714,0.6666666666666666,-0.09523809523809523,1.0084631884229325,1.0258618170743612,-0.017398628651428716,0.2845103533499479,0.3290780551012261,-0.04456770175127822
lorenz63,64,0.1,1,baseline,0.5333333333333333,0.6666666666666666,-0.1333333333333333,1.079911186494027,1.0299128169234189,0.0499983695706081,0.25642120528826,0.3284213297776411,-0.07200012448938109
lorenz63,64,0.1,2,baseline,0.6153846153846154,0.6666666666666666,-0.05128205128205121,1.061474295268624,1.027885851997792,0.03358844327083199,0.2985167541487227,0.3287496019610242,-0.03023284781230151
