system,method,sparse_factor,noise,seed,fold,lam,cv_mse,solver_primal_objective,solver_dual_objective,solver_primal_dual_gap,solver_relative_primal_dual_gap,solver_max_relative_gap,solver_kkt_stationarity_max,solver_kkt_complementarity_gap,solver_kkt_subgradient_prox_max,solver_masked_dual_stationarity_max,solver_dual_box_violation,solver_dual_scale_min,solver_converged,solver_iterations,solver_rho,solver_tolerance,solver_method,solver_elapsed_seconds,solver_n_observed,solver_n_times,solver_n_channels,solver_objective
lorenz63,tv_diff,16,0.05,1,0,0.0,0.06475594814855305,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,True,0,0.0,1e-05,zero-penalty interpolation,0.0005588930002886627,84,126,3,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
lorenz63,tv_diff,16,0.05,1,0,0.0001,0.03528018887198222,"[0.003030730875598057, 0.0042214941059953905, 0.004764907387101906]","[0.0030307300024403996, 0.004221110126840901, 0.004764709353906261]","[8.731576572884592e-10, 3.8397915448976083e-07, 1.9803319564488248e-07]","[8.731576572884592e-10, 3.8397915448976083e-07, 1.9803319564488248e-07]",3.8397915448976083e-07,2.6503803303738402e-08,"[8.731590272863243e-10, 3.8397919148967785e-07, 1.980332318832559e-07]",8.207261501524954e-07,7.20695340428526e-14,0.0,0.9999116541446262,True,125,0.04,1e-05,banded ADMM with dual certificate,0.006108593000135443,84,126,3,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
lorenz63,tv_diff,16,0.05,1,0,0.001,0.036668416164560645,"[0.03022817002329402, 0.04209395312498645, 0.047587425300718814]","[0.030227697372162642, 0.04209345418807279, 0.04758659304518054]","[4.7265113137934245e-07, 4.989369136593202e-07, 8.322555382703212e-07]","[4.7265113137934245e-07, 4.989369136593202e-07, 8.322555382703212e-07]",8.322555382703212e-07,5.3749359083324344e-08,"[4.7265110548685985e-07, 4.989369076502381e-07, 8.322554607836929e-07]",3.5712621418437784e-07,1.0331210713310224e-13,0.0,0.9999820835553904,True,75,0.0504,1e-05,banded ADMM with dual certificate,0.004264751999926375,84,126,3,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
lorenz63,tv_diff,16,0.05,1,0,0.01,0.04081621753608825,"[0.29519495230569565, 0.4098965429888394, 0.4697092913434345]","[0.2951934535549277, 0.40989647654330863, 0.46970874454749884]","[1.4987507679364853e-06, 6.64455307441969e-08, 5.467959356408869e-07]","[1.4987507679364853e-06, 6.64455307441969e-08, 5.467959356408869e-07]",1.4987507679364853e-06,1.5410978089838712e-07,"[1.4987505481678376e-06, 6.644554240153866e-08, 5.467958930638339e-07]",7.74129838898574e-07,6.21620810381529e-14,0.0,0.9999948630077258,True,75,0.126,1e-05,banded ADMM with dual certificate,0.0035928279999097867,84,126,3,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
lorenz63,tv_diff,16,0.05,1,0,0.1,0.08036647028759047,"[2.4757161724437275, 3.376038835094384, 4.271877220324305]","[2.4757161696890155, 3.3760177067507824, 4.271876610724597]","[2.7547120140525294e-09, 2.1128343601795052e-05, 6.095997084898386e-07]","[1.1126929834341272e-09, 6.258323625357338e-06, 1.4270066227314464e-07]",6.258323625357338e-06,2.1701863285872314e-06,"[2.754757311151934e-09, 2.112831162870421e-05, 6.095996614163823e-07]",1.922371905743736e-06,7.745193375541248e-14,0.0,0.9999923035743449,True,125,1.2600000000000002,1e-05,banded ADMM with dual certificate,0.005562779999763734,84,126,3,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
lorenz63,tv_diff,16,0.05,1,0,1.0,0.26559175811756025,"[13.239819072740023, 16.853470617040518, 28.157794916883297]","[13.239787789390888, 16.85347039796194, 28.15763394205761]","[3.128334913427011e-05, 2.1907857927772056e-07, 0.000160974825686111]","[2.3628230085621496e-06, 1.2999018674302642e-08, 5.716883234687925e-06]",5.716883234687925e-06,1.108609540168004e-05,"[3.128321818213209e-05, 2.1907860414671632e-07, 0.0001609736435561615]",2.0865897072397388e-05,4.973799150320701e-14,0.0,0.9999896730393204,True,225,6.3,1e-05,banded ADMM with dual certificate,0.009830776999933732,84,126,3,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
lorenz63,tv_diff,16,0.05,1,0,10.0,0.6707397818877273,"[31.60007456401116, 32.408140425839335, 41.995628373199]","[31.600074564009144, 32.40813868657376, 41.99542230312454]","[2.014388655879884e-12, 1.7392655777825894e-06, 0.00020607007445505587]","[6.374632603475057e-14, 5.366755250158863e-08, 4.906941089767496e-06]",4.906941089767496e-06,1.5255516845336103e-06,"[2.013500477460184e-12, 1.7392639932722886e-06, 0.00020607005300796177]",1.2608706654759771e-05,1.0813572259849025e-13,0.0,0.9999992847150344,True,600,63.0,1e-05,banded ADMM with dual certificate,0.027849813000102586,84,126,3,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
lorenz63,tv_diff,16,0.05,1,0,100.0,0.9141531296663982,"[41.534984264053726, 41.05138929207197, 41.99991952019846]","[41.53498426405363, 41.0513892920717, 41.99991952019847]","[9.947598300641403e-14, 2.7000623958883807e-13, 0.0]","[2.3949926735016268e-15, 6.577274100708278e-15, 0.0]",6.577274100708278e-15,3.2440716779547074e-13,"[6.866604574051079e-14, 1.9808243418920863e-13, 1.931364165399859e-15]",5.551115123125783e-17,3.2440716779547074e-13,0.0,1.0,True,0,0.0,1e-05,affine exact solution,0.0004704490002040984,84,126,3,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
lorenz63,tv_diff,16,0.05,1,0,1000.0,0.9141531296663982,"[41.53498426405434, 41.051389292073765, 41.99991952019848]","[41.53498426405363, 41.0513892920717, 41.99991952019847]","[7.105427357601002e-13, 2.0676793610618915e-12, 1.4210854715202004e-14]","[1.7107090525011367e-14, 5.0368072718579606e-14, 3.3835433204503544e-16]",5.0368072718579606e-14,3.2440716779547074e-13,"[6.836038339308392e-13, 1.9982049852103412e-12, 1.9336874791939025e-14]",5.551115123125783e-17,3.2440716779547074e-13,0.0,1.0,True,0,0.0,1e-05,affine exact solution,0.000383047000013903,84,126,3,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
lorenz63,tv_diff,16,0.05,1,1,0.0,0.0921225015593416,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,True,0,0.0,1e-05,zero-penalty interpolation,0.0003664229998321389,85,126,3,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
