system,method,sparse_factor,noise,seed,feature,equation,coef,true_coef
lorenz63,baseline,64,0.1,0,1,0,0.0,0.0
lorenz63,baseline,64,0.1,0,1,1,0.0,0.0
lorenz63,baseline,64,0.1,0,1,2,-1.2303874022600134,0.0
lorenz63,baseline,64,0.1,0,x,0,-1.377115884347286,-10.0
lorenz63,baseline,64,0.1,0,x,1,-1.8527874545011658,28.0
lorenz63,baseline,64,0.1,0,x,2,0.0,0.0
lorenz63,baseline,64,0.1,0,y,0,1.9290491713960451,10.0
lorenz63,baseline,64,0.1,0,y,1,1.208876197643142,-1.0
lorenz63,baseline,64,0.1,0,y,2,0.0,0.0
lorenz63,baseline,64,0.1,0,z,0,0.0,0.0
lorenz63,baseline,64,0.1,0,z,1,0.0,0.0
lorenz63,baseline,64,0.1,0,z,2,0.0,-2.6666666666666665
lorenz63,baseline,64,0.1,0,x*x,0,0.0,0.0
lorenz63,baseline,64,0.1,0,x*x,1,0.0,0.0
lorenz63,baseline,64,0.1,0,x*x,2,0.0,0.0
lorenz63,baseline,64,0.1,0,x*y,0,0.0,0.0
lorenz63,baseline,64,0.1,0,x*y,1,0.0,0.0
lorenz63,baseline,64,0.1,0,x*y,2,0.0,1.0
lorenz63,baseline,64,0.1,0,x*z,0,0.0,0.0
lorenz63,baseline,64,0.1,0,x*z,1,0.0,-1.0
lorenz63,baseline,64,0.1,0,x*z,2,0.0,0.0
lorenz63,baseline,64,0.1,0,y*y,0,0.0,0.0
lorenz63,baseline,64,0.1,0,y*y,1,0.0,0.0
lorenz63,baseline,64,0.1,0,y*y,2,0.0,0.0
lorenz63,baseline,64,0.1,0,y*z,0,0.0,0.0
lorenz63,baseline,64,0.1,0,y*z,1,0.0,0.0
lorenz63,baseline,64,0.1,0,y*z,2,0.0,0.0
lorenz63,baseline,64,0.1,0,z*z,0,0.0,0.0
lorenz63,baseline,64,0.1,0,z*z,1,0.0,0.0
lorenz63,baseline,64,0.1,0,z*z,2,0.0,0.0
lorenz63,baseline,64,0.1,0,x*x*x,0,0.0,0.0
lorenz63,baseline,64,0.1,0,x*x*x,1,0.0,0.0
lorenz63,baseline,64,0.1,0,x*x*x,2,0.0,0.0
lorenz63,baseline,64,0.1,0,x*x*y,0,0.0,0.0
lorenz63,baseline,64,0.1,0,x*x*y,1,0.0,0.0
lorenz63,baseline,64,0.1,0,x*x*y,2,0.0,0.0
lorenz63,baseline,64,0.1,0,x*x*z,0,0.0,0.0
lorenz63,baseline,64,0.1,0,x*x*z,1,0.0,0.0
lorenz63,baseline,64,0.1,0,x*x*z,2,0.0,0.0
lorenz63,baseline,64,0.1,0,x*y*y,0,0.0,0.0
lorenz63,baseline,64,0.1,0,x*y*y,1,0.0,0.0
lorenz63,baseline,64,0.1,0,x*y*y,2,0.0,0.0
lorenz63,baseline,64,0.1,0,x*y*z,0,0.0,0.0
lorenz63,baseline,64,0.1,0,x*y*z,1,0.0,0.0
lorenz63,baseline,64,0.1,0,x*y*z,2,0.0,0.0
lorenz63,baseline,64,0.1,0,x*z*z,0,0.0,0.0
lorenz63,baseline,64,0.1,0,x*z*z,1,0.0,0.0
lorenz63,baseline,64,0.1,0,x*z*z,2,0.0,0.0
lorenz63,baseline,64,0.1,0,y*y*y,0,0.0,0.0
lorenz63,baseline,64,0.1,0,y*y*y,1,0.0,0.0
lorenz63,baseline,64,0.1,0,y*y*y,2,0.0,0.0
lorenz63,baseline,64,0.1,0,y*y*z,0,0.0,0.0
lorenz63,baseline,64,0.1,0,y*y*z,1,0.0,0.0
lorenz63,baseline,64,0.1,0,y*y*z,2,0.0,0.0
lorenz63,baseline,64,0.1,0,y*z*z,0,0.0,0.0
lorenz63,baseline,64,0.1,0,y*z*z,1,0.0,0.0
lorenz63,baseline,64,0.1,0,y*z*z,2,0.0,0.0
lorenz63,baseline,64,0.1,0,z*z*z,0,0.0,0.0
lorenz63,baseline,64,0.1,0,z*z*z,1,0.0,0.0
lorenz63,baseline,64,0.1,0,z*z*z,2,0.0,0.0
lorenz63,edmd_poly3,64,0.1,0,1,0,-6.2783660341073375,0.0
lorenz63,edmd_poly3,64,0.1,0,1,1,2.2926641401670587,0.0
lorenz63,edmd_poly3,64,0.1,0,1,2,0.0,0.0
lorenz63,edmd_poly3,64,0.1,0,x,0,-3.7716078856076938,-10.0
lorenz63,edmd_poly3,64,0.1,0,x,1,-1.4171923624052014,28.0
lorenz63,edmd_poly3,64,0.1,0,x,2,0.0,0.0
lorenz63,edmd_poly3,64,0.1,0,y,0,8.057961279806623,10.0
lorenz63,edmd_poly3,64,0.1,0,y,1,0.0,-1.0
lorenz63,edmd_poly3,64,0.1,0,y,2,0.0,0.0
lorenz63,edmd_poly3,64,0.1,0,z,0,0.0,0.0
lorenz63,edmd_poly3,64,0.1,0,z,1,0.0,0.0
lorenz63,edmd_poly3,64,0.1,0,z,2,0.0,-2.6666666666666665
lorenz63,edmd_poly3,64,0.1,0,x*x,0,0.0,0.0
lorenz63,edmd_poly3,64,0.1,0,x*x,1,0.0,0.0
lorenz63,edmd_poly3,64,0.1,0,x*x,2,0.0,0.0
lorenz63,edmd_poly3,64,0.1,0,x*y,0,0.0,0.0
lorenz63,edmd_poly3,64,0.1,0,x*y,1,0.0,0.0
lorenz63,edmd_poly3,64,0.1,0,x*y,2,0.0,1.0
lorenz63,edmd_poly3,64,0.1,0,x*z,0,0.0,0.0
lorenz63,edmd_poly3,64,0.1,0,x*z,1,0.0,-1.0
lorenz63,edmd_poly3,64,0.1,0,x*z,2,0.0,0.0
lorenz63,edmd_poly3,64,0.1,0,y*y,0,0.0,0.0
lorenz63,edmd_poly3,64,0.1,0,y*y,1,0.0,0.0
lorenz63,edmd_poly3,64,0.1,0,y*y,2,0.0,0.0
lorenz63,edmd_poly3,64,0.1,0,y*z,0,0.0,0.0
lorenz63,edmd_poly3,64,0.1,0,y*z,1,0.0,0.0
lorenz63,edmd_poly3,64,0.1,0,y*z,2,0.0,0.0
lorenz63,edmd_poly3,64,0.1,0,z*z,0,0.0,0.0
lorenz63,edmd_poly3,64,0.1,0,z*z,1,0.0,0.0
lorenz63,edmd_poly3,64,0.1,0,z*z,2,0.0,0.0
lorenz63,edmd_poly3,64,0.1,0,x*x*x,0,0.0,0.0
lorenz63,edmd_poly3,64,0.1,0,x*x*x,1,0.0,0.0
lorenz63,edmd_poly3,64,0.1,0,x*x*x,2,0.0,0.0
lorenz63,edmd_poly3,64,0.1,0,x*x*y,0,0.0,0.0
lorenz63,edmd_poly3,64,0.1,0,x*x*y,1,0.0,0.0
lorenz63,edmd_poly3,64,0.1,0,x*x*y,2,0.0,0.0
lorenz63,edmd_poly3,64,0.1,0,x*x*z,0,0.0,0.0
lorenz63,edmd_poly3,64,0.1,0,x*x*z,1,0.0,0.0
lorenz63,edmd_poly3,64,0.1,0,x*x*z,2,0.0,0.0
lorenz63,edmd_poly3,64,0.1,0,x*y*y,0,0.0,0.0
lorenz63,edmd_poly3,64,0.1,0,x*y*y,1,0.0,0.0
lorenz63,edmd_poly3,64,0.1,0,x*y*y,2,0.0,0.0
lorenz63,edmd_poly3,64,0.1,0,x*y*z,0,0.0,0.0
lorenz63,edmd_poly3,64,0.1,0,x*y*z,1,0.0,0.0
lorenz63,edmd_poly3,64,0.1,0,x*y*z,2,0.0,0.0
lorenz63,edmd_poly3,64,0.1,0,x*z*z,0,0.0,0.0
lorenz63,edmd_poly3,64,0.1,0,x*z*z,1,0.0,0.0
lorenz63,edmd_poly3,64,0.1,0,x*z*z,2,0.0,0.0
lorenz63,edmd_poly3,64,0.1,0,y*y*y,0,0.0,0.0
lorenz63,edmd_poly3,64,0.1,0,y*y*y,1,0.0,0.0
lorenz63,edmd_poly3,64,0.1,0,y*y*y,2,0.0,0.0
lorenz63,edmd_poly3,64,0.1,0,y*y*z,0,0.0,0.0
lorenz63,edmd_poly3,64,0.1,0,y*y*z,1,0.0,0.0
lorenz63,edmd_poly3,64,0.1,0,y*y*z,2,0.0,0.0
lorenz63,edmd_poly3,64,0.1,0,y*z*z,0,0.0,0.0
lorenz63,edmd_poly3,64,0.1,0,y*z*z,1,0.0,0.0
lorenz63,edmd_poly3,64,0.1,0,y*z*z,2,0.0,0.0
lorenz63,edmd_poly3,64,0.1,0,z*z*z,0,0.0,0.0
lorenz63,edmd_poly3,64,0.1,0,z*z*z,1,0.0,0.0
lorenz63,edmd_poly3,64,0.1,0,z*z*z,2,0.0,0.0
lorenz63,tv_diff,64,0.1,0,1,0,-0.06609954827655228,0.0
lorenz63,tv_diff,64,0.1,0,1,1,-0.1941071595873329,0.0
lorenz63,tv_diff,64,0.1,0,1,2,0.04445337535302835,0.0
lorenz63,tv_diff,64,0.1,0,x,0,-0.0189283100005693,-10.0
lorenz63,tv_diff,64,0.1,0,x,1,-0.04788888661737806,28.0
lorenz63,tv_diff,64,0.1,0,x,2,0.0,0.0
lorenz63,tv_diff,64,0.1,0,y,0,0.005245159340637981,10.0
lorenz63,tv_diff,64,0.1,0,y,1,0.0320709383804824,-1.0
lorenz63,tv_diff,64,0.1,0,y,2,0.0,0.0
lorenz63,tv_diff,64,0.1,0,z,0,-0.0028874538206803946,0.0
lorenz63,tv_diff,64,0.1,0,z,1,-0.00849706956472647,0.0
lorenz63,tv_diff,64,0.1,0,z,2,0.0,-2.6666666666666665
lorenz63,tv_diff,64,0.1,0,x*x,0,0.0,0.0
lorenz63,tv_diff,64,0.1,0,x*x,1,-0.011355864179156133,0.0
lorenz63,tv_diff,64,0.1,0,x*x,2,0.0,0.0
lorenz63,tv_diff,64,0.1,0,x*y,0,0.0,0.0
lorenz63,tv_diff,64,0.1,0,x*y,1,0.0031171564158215953,0.0
lorenz63,tv_diff,64,0.1,0,x*y,2,0.0,1.0
lorenz63,tv_diff,64,0.1,0,x*z,0,0.0,0.0
lorenz63,tv_diff,64,0.1,0,x*z,1,-0.0021024494840187016,-1.0
lorenz63,tv_diff,64,0.1,0,x*z,2,0.0,0.0
lorenz63,tv_diff,64,0.1,0,y*y,0,0.0,0.0
lorenz63,tv_diff,64,0.1,0,y*y,1,0.0,0.0
lorenz63,tv_diff,64,0.1,0,y*y,2,0.0,0.0
lorenz63,tv_diff,64,0.1,0,y*z,0,0.0,0.0
lorenz63,tv_diff,64,0.1,0,y*z,1,0.0,0.0
lorenz63,tv_diff,64,0.1,0,y*z,2,0.0,0.0
lorenz63,tv_diff,64,0.1,0,z*z,0,0.0,0.0
lorenz63,tv_diff,64,0.1,0,z*z,1,0.0,0.0
lorenz63,tv_diff,64,0.1,0,z*z,2,0.0,0.0
lorenz63,tv_diff,64,0.1,0,x*x*x,0,0.0,0.0
lorenz63,tv_diff,64,0.1,0,x*x*x,1,0.0,0.0
lorenz63,tv_diff,64,0.1,0,x*x*x,2,0.0,0.0
lorenz63,tv_diff,64,0.1,0,x*x*y,0,0.0,0.0
lorenz63,tv_diff,64,0.1,0,x*x*y,1,0.0,0.0
lorenz63,tv_diff,64,0.1,0,x*x*y,2,0.0,0.0
lorenz63,tv_diff,64,0.1,0,x*x*z,0,0.0,0.0
lorenz63,tv_diff,64,0.1,0,x*x*z,1,0.0,0.0
lorenz63,tv_diff,64,0.1,0,x*x*z,2,0.0,0.0
lorenz63,tv_diff,64,0.1,0,x*y*y,0,0.0,0.0
lorenz63,tv_diff,64,0.1,0,x*y*y,1,0.0,0.0
lorenz63,tv_diff,64,0.1,0,x*y*y,2,0.0,0.0
lorenz63,tv_diff,64,0.1,0,x*y*z,0,0.0,0.0
lorenz63,tv_diff,64,0.1,0,x*y*z,1,0.0,0.0
lorenz63,tv_diff,64,0.1,0,x*y*z,2,0.0,0.0
lorenz63,tv_diff,64,0.1,0,x*z*z,0,0.0,0.0
lorenz63,tv_diff,64,0.1,0,x*z*z,1,0.0,0.0
lorenz63,tv_diff,64,0.1,0,x*z*z,2,0.0,0.0
lorenz63,tv_diff,64,0.1,0,y*y*y,0,0.0,0.0
lorenz63,tv_diff,64,0.1,0,y*y*y,1,0.0,0.0
