system,method,method_label,sparse_factor,obs_dt,noise,seed,n_observed,pod_rank,upsample,support_f1,coef_error,practical_score,threshold,exact_support,derivative_error,state_error,status,wall_seconds,tv_lambda,tv_cv_mse,tv_grid_edge,tv_grid_lower,tv_grid_upper,tv_cv_folds,tv_cv_spatial_points,tv_final_primal_objective,tv_final_dual_objective,tv_final_primal_dual_gap,tv_final_relative_primal_dual_gap,tv_final_max_relative_gap,tv_final_kkt_stationarity_max,tv_final_masked_dual_stationarity_max,tv_final_dual_box_violation,tv_final_dual_scale_min,tv_final_converged,tv_final_iterations,tv_final_rho,tv_final_tolerance,tv_final_method,tv_final_elapsed_seconds,tv_final_n_observed,tv_final_n_times,tv_final_n_channels,tv_final_objective
lorenz63,baseline,Raw FD,64,0.32,0.1,0,33,0,1,0.6666666666666666,1.0258580661429293,0.32907866439821537,1.0,0,0.9468400316040932,0.05229535774380272,ok,0.010180575999811481,,,,,,,,,,,,,,,,,,,,,,,,,,
lorenz63,edmd_poly3,Polynomial EDMD,64,0.32,0.1,0,33,0,5,0.5,0.9840852755563048,0.2520052974335028,1.0,0,1.1573287822052192,0.5216994040173646,ok,0.01496974999986378,,,,,,,,,,,,,,,,,,,,,,,,,,
lorenz63,tv_diff,TV differentiation,64,0.32,0.1,0,33,0,1,0.5263157894736842,1.001159258459737,0.26300544909093426,0.001,0,0.999700382542803,0.4979965261283788,ok,0.06267723099995237,100.0,1.2974467843462594,1.0,0.0,1.0,3.0,3.0,"[16.41787465035332, 15.565023000484095, 16.496538902982422]","[16.417874650353287, 15.565023000484008, 16.49653890298242]","[3.197442310920451e-14, 8.704148513061227e-14, 3.552713678800501e-15]","[1.9475372903103755e-15, 5.592120559533074e-15, 2.1536115543353175e-16]",5.592120559533074e-15,5.084821452783217e-14,0.0,0.0,1.0,True,0.0,0.0,0.0001,affine exact solution,0.000199321000081909,33.0,33.0,3.0,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
lorenz63,baseline,Raw FD,16,0.08,0.1,0,126,0,1,0.6,0.9381905623358032,0.30956708368082864,0.1,0,0.25734260320176755,0.051531158374891285,ok,0.010589392999918346,,,,,,,,,,,,,,,,,,,,,,,,,,
lorenz63,edmd_poly3,Polynomial EDMD,16,0.08,0.1,0,126,0,5,0.7368421052631579,0.10276194805947432,0.668178754770942,0.3,0,0.34655647676909923,0.0502781087034676,ok,0.03162850799981243,,,,,,,,,,,,,,,,,,,,,,,,,,
lorenz63,tv_diff,TV differentiation,16,0.08,0.1,0,126,0,1,0.6,0.9380726947096539,0.3095859105996471,0.1,0,0.2573989525306441,0.051480471044176274,ok,0.12976092899998548,0.0001,0.05940330597898001,1.0,1.0,0.0,3.0,3.0,"[0.004199860188344752, 0.00577311559510558, 0.006269071253481121]","[0.004194909851838932, 0.005764823071872213, 0.006256229795185641]","[4.95033650581983e-06, 8.292523233367245e-06, 1.2841458295480106e-05]","[4.95033650581983e-06, 8.292523233367245e-06, 1.2841458295480106e-05]",1.2841458295480106e-05,5.233197838958102e-07,0.0,0.0,0.9986918666935304,True,50.0,0.02,0.0001,banded ADMM with dual certificate,0.0024524800001017866,126.0,126.0,3.0,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
burgers,baseline,Raw FD,32,0.16,0.1,0,14,0,1,0.6666666666666666,0.7176240576069899,0.3881330514172426,0.1,0,0.6010774472975771,0.1013338679813012,ok,0.0045298819998151885,,,,,,,,,,,,,,,,,,,,,,,,,,
burgers,pod_edmd_rbf,POD-EDMD-RBF,32,0.16,0.1,0,14,8,5,0.5,0.9996681451376006,0.2500414887419203,0.0001,0,11.199091671996106,0.4949727201986852,ok,0.010918740000079197,,,,,,,,,,,,,,,,,,,,,,,,,,
burgers,tv_diff,TV differentiation,32,0.16,0.1,0,14,0,1,0.6666666666666666,0.6484955887672068,0.40440912988139655,0.1,0,0.5424913962637173,0.0846338146232601,ok,0.04314503999989938,0.01,0.018086117242619475,0.0,0.0,0.0,3.0,8.0,"[0.010956053598339392, 0.020798317164618215, 0.0288582432286259, 0.01837920457246927, 0.02459269492014908, 0.008400840901993417, 0.019359900148541036, 0.01886358750188876, 0.027672282649479296, 0.02002455369337598, 0.01676145638292186, 0.021546373004736465, 0.012417897374727494, 0.02308188480734712, 0.018097147201927757, 0.035796504380230514, 0.011777753071237058, 0.0162850765095405, 0.007212679714175103, 0.020623819269124693, 0.034102878607116055, 0.020998404716235812, 0.022033027604866154, 0.027775219372366947, 0.017932377713136813, 0.016367060928702305, 0.01690146480381528, 0.02519433399905073, 0.017055523344830497, 0.030791506085063126, 0.03631287265310965, 0.01820984913617143, 0.01671856829643102, 0.023937457429212314, 0.03009941727643399, 0.028540430095600228, 0.017258000835325162, 0.023227601315289864, 0.020883623236706072, 0.012856433635966051, 0.02119071531469084, 0.01404814819929562, 0.022476626730335503, 0.018230290934687487, 0.019390958050264757, 0.027962484928498847, 0.014558185736716918, 0.016319801704003004, 0.026766180373976614, 0.02468080314153078, 0.015334138867518783, 0.015380123607231675, 0.031520603446479695, 0.020102498092644517, 0.0259244652958944, 0.01798031250931442, 0.026178075286086313, 0.017549031865821192, 0.015556761896893234, 0.017246108942109244, 0.01540948350444324, 0.019851558908362578, 0.03868975493973913, 0.025135892244760052]","[0.01095598650281928, 0.02079829319002009, 0.02885814262049099, 0.01837918058494288, 0.02459263560640605, 0.008400785763122087, 0.019359836235623294, 0.0188635756790623, 0.02767224079452652, 0.020020663562343676, 0.016761365849330474, 0.021543105434772322, 0.012413795100325559, 0.023081788116054644, 0.01809678614892471, 0.03579634415144407, 0.011777740180192859, 0.01628505373020351, 0.007212410929617498, 0.020623765669487988, 0.03410278745500233, 0.020996702557028346, 0.022032998128179163, 0.027775132787468088, 0.01793236567090707, 0.016366947355622347, 0.016901420768287607, 0.025194196010982935, 0.017055476660098982, 0.030791368038683792, 0.03630863305100007, 0.01820983175093562, 0.0167185079866203, 0.023937409002990916, 0.030099353414285435, 0.028540307300501205, 0.01725798879176784, 0.02322757845532551, 0.02088304614281134, 0.012856376879829042, 0.021190693513161038, 0.014047917133493324, 0.022476514166372988, 0.018230246394481717, 0.01939085752773114, 0.02796243364079477, 0.014558120681878286, 0.01631974972186523, 0.02676601591960809, 0.02468065863830905, 0.015333915844416611, 0.015380115514664883, 0.03152052189314962, 0.02010247161999554, 0.02592181156625399, 0.01798025939297824, 0.02617798337201859, 0.017549009495904877, 0.015555319893735093, 0.017245377349012724, 0.015409476811610867, 0.019846660121610696, 0.0386896243928272, 0.0251358266652878]","[6.709552011208153e-08, 2.39745981261974e-08, 1.0060813491336029e-07, 2.398752638882451e-08, 5.9313743031724764e-08, 5.5138871329907246e-08, 6.39129177429365e-08, 1.1822826460894387e-08, 4.185495277447826e-08, 3.890131032302513e-06, 9.053359138408434e-08, 3.2675699641430966e-06, 4.102274401935821e-06, 9.669129247616426e-08, 3.6105300304720145e-07, 1.6022878644023075e-07, 1.2891044199117574e-08, 2.2779336989603438e-08, 2.687845576049633e-07, 5.3599636704732e-08, 9.115211372506815e-08, 1.7021592074659142e-06, 2.947668699057604e-08, 8.658489885834952e-08, 1.2042229741160426e-08, 1.1357307995799037e-07, 4.403552767220931e-08, 1.379880677949974e-07, 4.668473151461794e-08, 1.3804637933462205e-07, 4.239602109580576e-06, 1.7385235809991295e-08, 6.030981072185915e-08, 4.842622139747399e-08, 6.386214855547134e-08, 1.2279509902304864e-07, 1.2043557321567144e-08, 2.2859964355498308e-08, 5.770938947304016e-07, 5.6756137008923124e-08, 2.180152980368888e-08, 2.3106580229574625e-07, 1.1256396251560497e-07, 4.4540205770132735e-08, 1.0052253361647612e-07, 5.1287704076752316e-08, 6.505483863238071e-08, 5.198213777479754e-08, 1.644543685223876e-07, 1.4450322173217844e-07, 2.2302310217180155e-07, 8.092566792031186e-09, 8.155333007520138e-08, 2.6472648975706115e-08, 2.653729640408886e-06, 5.311633618013123e-08, 9.191406772149358e-08, 2.2369916315156946e-08, 1.4420031581412196e-06, 7.315930965201556e-07, 6.692832373381141e-09, 4.8987867518821004e-06, 1.3054691192643242e-07, 6.55794722519143e-08]","[6.709552011208153e-08, 2.39745981261974e-08, 1.0060813491336029e-07, 2.398752638882451e-08, 5.9313743031724764e-08, 5.5138871329907246e-08, 6.39129177429365e-08, 1.1822826460894387e-08, 4.185495277447826e-08, 3.890131032302513e-06, 9.053359138408434e-08, 3.2675699641430966e-06, 4.102274401935821e-06, 9.669129247616426e-08, 3.6105300304720145e-07, 1.6022878644023075e-07, 1.2891044199117574e-08, 2.2779336989603438e-08, 2.687845576049633e-07, 5.3599636704732e-08, 9.115211372506815e-08, 1.7021592074659142e-06, 2.947668699057604e-08, 8.658489885834952e-08, 1.2042229741160426e-08, 1.1357307995799037e-07, 4.403552767220931e-08, 1.379880677949974e-07, 4.668473151461794e-08, 1.3804637933462205e-07, 4.239602109580576e-06, 1.7385235809991295e-08, 6.030981072185915e-08, 4.842622139747399e-08, 6.386214855547134e-08, 1.2279509902304864e-07, 1.2043557321567144e-08, 2.2859964355498308e-08, 5.770938947304016e-07, 5.6756137008923124e-08, 2.180152980368888e-08, 2.3106580229574625e-07, 1.1256396251560497e-07, 4.4540205770132735e-08, 1.0052253361647612e-07, 5.1287704076752316e-08, 6.505483863238071e-08, 5.198213777479754e-08, 1.644543685223876e-07, 1.4450322173217844e-07, 2.2302310217180155e-07, 8.092566792031186e-09, 8.155333007520138e-08, 2.6472648975706115e-08, 2.653729640408886e-06, 5.311633618013123e-08, 9.191406772149358e-08, 2.2369916315156946e-08, 1.4420031581412196e-06, 7.315930965201556e-07, 6.692832373381141e-09, 4.8987867518821004e-06, 1.3054691192643242e-07, 6.55794722519143e-08]",4.8987867518821004e-06,4.690555134544139e-06,0.0,0.0,0.999882736145585,True,50.0,0.028000000000000004,0.0001,banded ADMM with dual certificate,0.0034066680000250926,14.0,14.0,64.0,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
burgers,pod_tv_diff,POD + TV differentiation,32,0.16,0.1,0,14,8,1,0.6666666666666666,0.5083026898975542,0.4419979299459762,0.1,0,0.3736552749165725,0.060526794926374895,ok,0.04711518699991757,0.1,0.016450604948956653,0.0,0.0,0.0,3.0,64.0,"[0.15334263983312782, 0.2063723334483081, 0.21179828190057315, 0.22878580962782036, 0.4718977496796127, 0.25194051723594485, 0.27378882572317564, 0.26427176265981706]","[0.15334263983312674, 0.2063723334478309, 0.21179828190057176, 0.22878580962781994, 0.4718977496796124, 0.2519405172359443, 0.2737128217831825, 0.26427174815783266]","[1.0824674490095276e-15, 4.772016115595079e-13, 1.3877787807814457e-15, 4.163336342344337e-16, 2.7755575615628914e-16, 5.551115123125783e-16, 7.600393999313004e-05, 1.4501984391124267e-08]","[1.0824674490095276e-15, 4.772016115595079e-13, 1.3877787807814457e-15, 4.163336342344337e-16, 2.7755575615628914e-16, 5.551115123125783e-16, 7.600393999313004e-05, 1.4501984391124267e-08]",7.600393999313004e-05,1.3818563910639181e-05,0.0,0.0,0.9999319339183007,True,75.0,0.28,0.0001,banded ADMM with dual certificate,0.004794883000158734,14.0,14.0,8.0,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
