system,method,sparse_factor,noise,seed,fold,lam,cv_mse,primal_objective,dual_objective,primal_dual_gap,relative_primal_dual_gap,max_relative_gap,kkt_stationarity_max,masked_dual_stationarity_max,dual_box_violation,dual_scale_min,converged,iterations,rho,tolerance,elapsed_seconds,n_observed,n_times,n_channels,objective
lorenz63,banded ADMM with dual certificate,64,0.1,0,0,0.0001,2.6372405591332457,"[0.002479033049157052, 0.00318925437537949, 0.003462321455728807]","[0.0024790330485178987, 0.0031892388957652723, 0.0034456187745343795]","[6.391532268723576e-13, 1.54796142176096e-08, 1.6702681194427638e-05]","[6.391532268723576e-13, 1.54796142176096e-08, 1.6702681194427638e-05]",1.6702681194427638e-05,1.5534692929630549e-06,2.108969737128069e-14,0.0,0.9948337430694663,True,200,0.02,0.0001,0.006793486999868037,22,33,3,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
lorenz63,banded ADMM with dual certificate,64,0.1,0,0,0.001,2.633105267236763,"[0.024738746022316464, 0.03183178877428714, 0.03456620304381243]","[0.024731866479637894, 0.031812115369685666, 0.03455381497134383]","[6.87954267857005e-06, 1.9673404601475153e-05, 1.2388072468602629e-05]","[6.87954267857005e-06, 1.9673404601475153e-05, 1.2388072468602629e-05]",1.9673404601475153e-05,1.7472495932977124e-06,2.6613910728001677e-14,0.0,0.9994176299044065,True,50,0.02,0.0001,0.0017798149999634916,22,33,3,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
lorenz63,banded ADMM with dual certificate,64,0.1,0,0,0.01,2.6033297425812365,"[0.24221184776017063, 0.31220438638445247, 0.33994596674679045]","[0.24220986313406448, 0.3121999160142868, 0.339945567546604]","[1.9846261061495785e-06, 4.470370165654547e-06, 3.992001864627781e-07]","[1.9846261061495785e-06, 4.470370165654547e-06, 3.992001864627781e-07]",4.470370165654547e-06,4.4922024236213054e-07,2.5243696022414497e-14,0.0,0.9999850260125699,True,75,0.066,0.0001,0.002483114999904501,22,33,3,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
lorenz63,banded ADMM with dual certificate,64,0.1,0,0,0.1,2.3613499550841985,"[1.9247267362301363, 2.5418365542919488, 2.8358151442744677]","[1.9246879801105377, 2.541808192500564, 2.8358126127131214]","[3.875611959869296e-05, 2.8361791384767798e-05, 2.531561346330591e-06]","[2.0135907539063227e-05, 1.1157991782311206e-05, 8.927102852390899e-07]",2.0135907539063227e-05,4.9605730134127946e-06,5.3013149425851225e-15,0.0,0.999983464958507,True,50,0.33,0.0001,0.0016757479997977498,22,33,3,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
lorenz63,banded ADMM with dual certificate,64,0.1,0,0,1.0,1.753592163758062,"[6.419357256428546, 7.8666908528185155, 9.073225799861882]","[6.419356521387777, 7.866687480269594, 9.073142762957609]","[7.350407686956828e-07, 3.372548921909413e-06, 8.303690427347021e-05]","[1.1450379521401304e-07, 4.287125279241245e-07, 9.151861323095723e-06]",9.151861323095723e-06,5.749819674583101e-05,4.4853010194856324e-14,0.0,0.9999656148333561,True,75,1.65,0.0001,0.002479821000179072,22,33,3,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
lorenz63,banded ADMM with dual certificate,64,0.1,0,0,10.0,1.615225885176217,"[10.145431380408887, 10.439843168988814, 10.991716727853547]","[10.145431379033221, 10.439523097910168, 10.991071783487135]","[1.3756658034935754e-09, 0.0003200710786455119, 0.000644944366412048]","[1.355946092297292e-10, 3.065860985309355e-05, 5.867549013319526e-05]",5.867549013319526e-05,2.868538739875248e-14,2.8418239983452054e-14,0.0,1.0,True,150,66.0,0.0001,0.0046125970000048255,22,33,3,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
lorenz63,affine exact solution,64,0.1,0,0,100.0,1.5565244519516916,"[10.910237321638578, 10.439523136329974, 10.991071956681676]","[10.910237321638524, 10.439523136329871, 10.991071956681663]","[5.3290705182007514e-14, 1.0302869668521453e-13, 1.2434497875801753e-14]","[4.88446801027092e-15, 9.869099894675302e-15, 1.1313271284920114e-15]",9.869099894675302e-15,9.636735853746359e-14,9.547918011776346e-14,0.0,1.0,True,0,0.0,0.0001,0.0002011629999287834,22,33,3,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
lorenz63,banded ADMM with dual certificate,64,0.1,0,1,0.0001,1.6895908615627568,"[0.003073190829501823, 0.003308832224915368, 0.004611318597815263]","[0.0030731869851189624, 0.003306536106903215, 0.004611190034739924]","[3.844382860662687e-09, 2.296118012152723e-06, 1.2856307533924e-07]","[3.844382860662687e-09, 2.296118012152723e-06, 1.2856307533924e-07]",2.296118012152723e-06,4.4229224229754786e-07,1.3552527156068805e-20,0.0,0.9992628462940306,True,150,0.02,0.0001,0.004575511999973969,23,33,3,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
lorenz63,banded ADMM with dual certificate,64,0.1,0,1,0.001,1.675516061644443,"[0.030652883073219266, 0.03299493296179434, 0.04603673965227125]","[0.030637903550088996, 0.032959686227136124, 0.046014624120236894]","[1.497952313027004e-05, 3.524673465821887e-05, 2.2115532034357177e-05]","[1.497952313027004e-05, 3.524673465821887e-05, 2.2115532034357177e-05]",3.524673465821887e-05,6.125766469643884e-06,2.168404344971009e-19,0.0,0.9989790377469183,True,50,0.02,0.0001,0.0017165889998977946,23,33,3,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
lorenz63,banded ADMM with dual certificate,64,0.1,0,1,0.01,1.6348976273861249,"[0.29876676909211475, 0.3208399688816818, 0.4527169866434702]","[0.2986989416619693, 0.32080264403298375, 0.4526987791153249]","[6.782743014543957e-05, 3.732484869806152e-05, 1.820752814529758e-05]","[6.782743014543957e-05, 3.732484869806152e-05, 1.820752814529758e-05]",6.782743014543957e-05,1.402961654310697e-05,1.734723475976807e-18,0.0,0.9997661729789414,True,50,0.066,0.0001,0.001658491999933176,23,33,3,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
