system,sparse_factor,noise,seed,method,feature,equation,coef,true_coef
burgers,8,0.05,0,edmd_weak,(u^2)_xx,0,0.0,0.0
burgers,8,0.05,0,edmd_weak,1,0,0.0,0.0
burgers,8,0.05,0,edmd_weak,u,0,0.0,0.0
burgers,8,0.05,0,edmd_weak,u*u_x,0,-1.0102492459158092,-1.0
burgers,8,0.05,0,edmd_weak,u^2,0,0.0,0.0
burgers,8,0.05,0,edmd_weak,u^2*u_x,0,0.0,0.0
burgers,8,0.05,0,edmd_weak,u_x,0,0.0,0.0
burgers,8,0.05,0,edmd_weak,u_xx,0,0.047862382963204164,0.05
burgers,8,0.05,0,linear_weak,(u^2)_xx,0,0.0,0.0
burgers,8,0.05,0,linear_weak,1,0,0.0,0.0
burgers,8,0.05,0,linear_weak,u,0,0.0,0.0
burgers,8,0.05,0,linear_weak,u*u_x,0,-1.0103423797891293,-1.0
burgers,8,0.05,0,linear_weak,u^2,0,0.0,0.0
burgers,8,0.05,0,linear_weak,u^2*u_x,0,0.0,0.0
burgers,8,0.05,0,linear_weak,u_x,0,0.0,0.0
burgers,8,0.05,0,linear_weak,u_xx,0,0.04747807706981491,0.05
burgers,8,0.05,0,pod_tv_weak,(u^2)_xx,0,0.0,0.0
burgers,8,0.05,0,pod_tv_weak,1,0,0.0,0.0
burgers,8,0.05,0,pod_tv_weak,u,0,0.0,0.0
burgers,8,0.05,0,pod_tv_weak,u*u_x,0,-1.0104249727227854,-1.0
burgers,8,0.05,0,pod_tv_weak,u^2,0,0.0,0.0
burgers,8,0.05,0,pod_tv_weak,u^2*u_x,0,0.0,0.0
burgers,8,0.05,0,pod_tv_weak,u_x,0,0.0,0.0
burgers,8,0.05,0,pod_tv_weak,u_xx,0,0.047928336296340905,0.05
burgers,8,0.05,0,pod_weak,(u^2)_xx,0,0.0,0.0
burgers,8,0.05,0,pod_weak,1,0,0.0,0.0
burgers,8,0.05,0,pod_weak,u,0,0.0,0.0
burgers,8,0.05,0,pod_weak,u*u_x,0,-1.010353169454212,-1.0
burgers,8,0.05,0,pod_weak,u^2,0,0.0,0.0
burgers,8,0.05,0,pod_weak,u^2*u_x,0,0.0,0.0
burgers,8,0.05,0,pod_weak,u_x,0,0.0,0.0
burgers,8,0.05,0,pod_weak,u_xx,0,0.047841329434892485,0.05
burgers,8,0.05,0,raw_weak,(u^2)_xx,0,0.0,0.0
burgers,8,0.05,0,raw_weak,1,0,0.0,0.0
burgers,8,0.05,0,raw_weak,u,0,0.0,0.0
burgers,8,0.05,0,raw_weak,u*u_x,0,-1.0102994602164779,-1.0
burgers,8,0.05,0,raw_weak,u^2,0,0.0,0.0
burgers,8,0.05,0,raw_weak,u^2*u_x,0,0.0,0.0
burgers,8,0.05,0,raw_weak,u_x,0,0.0,0.0
burgers,8,0.05,0,raw_weak,u_xx,0,0.04741442645081585,0.05
burgers,8,0.05,0,tv_weak,(u^2)_xx,0,0.0,0.0
burgers,8,0.05,0,tv_weak,1,0,0.0,0.0
burgers,8,0.05,0,tv_weak,u,0,0.0,0.0
burgers,8,0.05,0,tv_weak,u*u_x,0,-1.0093357925617308,-1.0
burgers,8,0.05,0,tv_weak,u^2,0,0.0,0.0
burgers,8,0.05,0,tv_weak,u^2*u_x,0,0.0,0.0
burgers,8,0.05,0,tv_weak,u_x,0,0.0,0.0
burgers,8,0.05,0,tv_weak,u_xx,0,0.04734963012543599,0.05
burgers,8,0.05,1,edmd_weak,(u^2)_xx,0,0.0,0.0
burgers,8,0.05,1,edmd_weak,1,0,0.0,0.0
burgers,8,0.05,1,edmd_weak,u,0,0.0,0.0
burgers,8,0.05,1,edmd_weak,u*u_x,0,-1.0020899458495283,-1.0
burgers,8,0.05,1,edmd_weak,u^2,0,0.0,0.0
burgers,8,0.05,1,edmd_weak,u^2*u_x,0,0.0,0.0
burgers,8,0.05,1,edmd_weak,u_x,0,0.0,0.0
burgers,8,0.05,1,edmd_weak,u_xx,0,0.051901155639656,0.05
burgers,8,0.05,1,linear_weak,(u^2)_xx,0,0.0,0.0
burgers,8,0.05,1,linear_weak,1,0,0.0,0.0
burgers,8,0.05,1,linear_weak,u,0,0.0,0.0
