system,obs_dt,noise,raw_score,linear_score,edmd_score,tv_score,edmd_minus_raw
burgers,0.04,0.05,0.9947157590416528,0.9947149132508236,0.9947406419245296,0.9947441927796165,2.4882882876831047e-05
burgers,0.04,0.1,0.9916568800578786,0.9915727543595436,0.9916554980701724,0.9916538551790588,-1.3819877061616026e-06
burgers,0.04,0.2,0.982715056066569,0.982753132015984,0.9366866572898448,0.9152495651065948,-0.046028398776724155
burgers,0.16,0.05,0.9927544054199736,0.992974640977782,0.9925215326778046,0.9922963220664628,-0.000232872742168988
burgers,0.16,0.1,0.9097908379998474,0.9100175039757132,0.7695249123697419,0.9123262368412276,-0.14026592563010554
burgers,0.16,0.2,0.6335530250315142,0.633619347289177,0.6325428475280335,0.6334603214848796,-0.001010177503480758
vanderpol_mu2,0.08,0.05,0.9808654115038936,0.978776217030918,0.9835833504644425,0.9802366297949768,0.002717938960548838
vanderpol_mu2,0.08,0.1,0.8468153521785787,0.8661906157404269,0.949591266576227,0.9396859078450032,0.10277591439764833
vanderpol_mu2,0.08,0.2,0.633446425246638,0.749369805308978,0.5517852027253796,0.5902321001021389,-0.0816612225212584
vanderpol_mu2,0.32,0.05,0.9003728574386596,0.7184842213482943,0.9771260199544004,0.900343225734425,0.07675316251574082
vanderpol_mu2,0.32,0.1,0.8973425714599863,0.77763047106297,0.6450215407413289,0.8973692679395617,-0.2523210307186574
vanderpol_mu2,0.32,0.2,0.5771252557732731,0.5138592376712199,0.3567140577728344,0.5728899963180476,-0.22041119800043874
