system,sparse_factor,noise,seed,control,delta_f1,delta_error,delta_score,edmd_score_win,edmd_score_tie
burgers,8,0.05,0,raw_weak,0.0,-0.00014906923156459903,0.00014597837015972726,1,0
burgers,8,0.05,1,raw_weak,0.0,0.00012122471471170005,-0.00012055803761612527,0,0
burgers,8,0.05,2,raw_weak,0.0,-0.00022475732954699984,0.00022405515433798762,1,0
burgers,8,0.05,3,raw_weak,0.0,0.00011443904258449998,-0.00011398684299801509,0,0
burgers,8,0.05,4,raw_weak,0.0,1.129093618750139e-05,-1.107422949819803e-05,0,0
burgers,8,0.1,0,raw_weak,0.0,0.00032259248591379967,-0.000320940539855763,0,0
burgers,8,0.1,1,raw_weak,0.0,0.0011207073565725001,-0.001110974886018079,0,0
burgers,8,0.1,2,raw_weak,0.0,-0.0010096317764043995,0.0009698764153071027,1,0
burgers,8,0.1,3,raw_weak,0.0,-0.0003995464535942999,0.00039033748964134585,1,0
burgers,8,0.1,4,raw_weak,0.0,-6.522484711740011e-05,6.479158239480753e-05,1,0
burgers,8,0.2,0,raw_weak,0.0,-0.0094920879064368,0.009296369776118807,1,0
burgers,8,0.2,1,raw_weak,0.0,-0.006870701553541001,0.006557150665779554,1,0
burgers,8,0.2,2,raw_weak,0.0,0.0080137832483387,-0.007678839728108344,0,0
burgers,8,0.2,3,raw_weak,0.0,0.006496374200178401,-0.00615970366377161,0,0
burgers,8,0.2,4,raw_weak,-0.19999999999999996,0.0435451336752749,-0.23215697093363863,0,0
burgers,32,0.05,0,raw_weak,0.0,0.0007450388111230003,-0.0007311307807534861,0,0
burgers,32,0.05,1,raw_weak,0.0,1.3560505349200988e-05,-1.3301865504522503e-05,0,0
burgers,32,0.05,2,raw_weak,0.0,0.0003615689659229003,-0.0003595289162932058,0,0
burgers,32,0.05,3,raw_weak,0.0,-0.00037354240292570076,0.0003645685586683989,1,0
burgers,32,0.05,4,raw_weak,0.0,0.0004274807582913,-0.0004249707069626796,0,0
burgers,32,0.1,0,raw_weak,-0.33333333333333337,0.029340897711249998,-0.34455693460194114,0,0
burgers,32,0.1,1,raw_weak,-0.33333333333333337,0.03749655522574791,-0.351384504032082,0,0
burgers,32,0.1,2,raw_weak,0.0,0.0015018845038912987,-0.0008895887075767162,0,0
burgers,32,0.1,3,raw_weak,0.0,0.00018220528780719947,-0.0001751484874707998,0,0
burgers,32,0.1,4,raw_weak,0.0,0.0045544196500516,-0.004323452321456811,0,0
burgers,32,0.2,0,raw_weak,0.0,0.002732418556111199,-0.001647418018858815,0,0
burgers,32,0.2,1,raw_weak,0.0,0.004280829217955293,-0.0025361618946579956,0,0
burgers,32,0.2,2,raw_weak,0.0,-0.00044283905686549885,0.0002673593591725476,1,0
burgers,32,0.2,3,raw_weak,0.0,0.001851059666541796,-0.0011143342164726677,0,0
