system,method,support_f1_mean,support_f1_se,practical_score_mean,practical_score_se,coef_error_mean,coef_error_se
burgers,edmd_weak,0.9044444444444444,0.010886621079036367,0.8862786816433544,0.010889641041895427,0.024036174451478876,0.0010451867089285405
burgers,linear_weak,0.9333333333333333,0.011111111111111138,0.9176087153115038,0.011944177223558061,0.019806585608853747,0.001720005909715411
burgers,pod_tv_weak,0.9266666666666665,0.0237268405600696,0.910705004050337,0.025102055550689645,0.020527067087243618,0.0028333014995902983
burgers,pod_weak,0.9155555555555555,0.012472191289246506,0.8978779124562628,0.013068057471953711,0.02286366137057866,0.0015365365869349946
burgers,raw_weak,0.9333333333333333,0.011111111111111138,0.9175309939362393,0.011855339548472605,0.01989485124299352,0.0016316407038741657
burgers,tv_weak,0.9222222222222223,0.013608276348795465,0.9066217489096399,0.014276718229126606,0.020201743986196632,0.0015285045505476107
vanderpol_mu2,edmd_weak,0.8726527176527176,0.016023016230948574,0.7439702397057688,0.02069360457526735,0.3167242554542942,0.027383751938005338
vanderpol_mu2,linear_weak,0.9157671957671957,0.02974109795910924,0.7673850946938011,0.040779507682445246,0.2763296322837033,0.049113226861104135
vanderpol_mu2,raw_weak,0.9398412698412699,0.017733078726739702,0.8059946456001714,0.030189888728821144,0.2281472880949537,0.03659964802094539
vanderpol_mu2,tv_weak,0.9421260221260221,0.020800940183683825,0.8134595212890254,0.02842662393795366,0.23108020963395237,0.03589754147426556
