system,method,method_label,sparse_factor,noise,seed,observation_sha256,n_observed,obs_dt,observed_t_end,pod_rank,upsample,practical_score,support_f1,coef_error,threshold,exact_support,weak_truth_residual,weak_fit_residual,weak_rows,library_columns,state_error,n_state_samples,status,wall_seconds,tv_lambda,tv_cv_mse,tv_grid_edge,tv_grid_lower,tv_grid_upper,tv_cv_folds,tv_cv_spatial_points,tv_final_primal_objective,tv_final_dual_objective,tv_final_primal_dual_gap,tv_final_relative_primal_dual_gap,tv_final_max_relative_gap,tv_final_kkt_stationarity_max,tv_final_kkt_complementarity_gap,tv_final_kkt_subgradient_prox_max,tv_final_masked_dual_stationarity_max,tv_final_dual_box_violation,tv_final_dual_scale_min,tv_final_converged,tv_final_iterations,tv_final_rho,tv_final_tolerance,tv_final_method,tv_final_elapsed_seconds,tv_final_n_observed,tv_final_n_times,tv_final_n_channels,tv_final_objective
burgers,edmd_weak,EDMD + weak,8,0.05,0,959db4b36c447025273c906a6d854a71d88f221c1e7f5821142d16503b5365b3,49,0.04,1.92,8,5,0.9896514868876706,1.0,0.010456724664633377,0.03,1,0.04776853442779775,0.046240593527205096,112,8,0.030592931037168675,241,ok,0.05945021499792347,,,,,,,,,,,,,,,,,,,,,,,,,,,,
burgers,linear_weak,Linear q5 + weak,8,0.05,0,959db4b36c447025273c906a6d854a71d88f221c1e7f5821142d16503b5365b3,49,0.04,1.92,0,5,0.9894797173885126,1.0,0.010632135683643042,0.03,1,0.044752024010189566,0.042913258427324914,112,8,0.040435143182207305,241,ok,0.02917153800080996,,,,,,,,,,,,,,,,,,,,,,,,,,,,
burgers,pod_tv_weak,POD + TV states + weak,8,0.05,0,959db4b36c447025273c906a6d854a71d88f221c1e7f5821142d16503b5365b3,49,0.04,1.92,8,1,0.9894959460719482,1.0,0.01061556034640697,0.03,1,0.0465568710258876,0.04497467853531013,112,8,0.02095084912946156,49,ok,0.9654461270001775,0.1,0.0029635533492626195,0.0,0.0,0.0,3.0,64.0,"[0.06968258120367815, 0.09557414900641198, 0.07724802616146925, 0.11462836821659185, 0.08703550405690519, 0.13279690728826665, 0.20752485377275207, 0.16865449047690187]","[0.06968258120365786, 0.09557414893837823, 0.07724802614258439, 0.11462836820686687, 0.08703548008876588, 0.13278969745558308, 0.2075225743391533, 0.1686542186227506]","[2.0289325775024736e-14, 6.803374530406359e-11, 1.8884865893298297e-11, 9.724984706416251e-12, 2.3968139306607128e-08, 7.209832683569006e-06, 2.2794335987619263e-06, 2.7185415127362056e-07]","[2.0289325775024736e-14, 6.803374530406359e-11, 1.8884865893298297e-11, 9.724984706416251e-12, 2.3968139306607128e-08, 7.209832683569006e-06, 2.2794335987619263e-06, 2.7185415127362056e-07]",7.209832683569006e-06,1.0028607182188676e-06,"[2.0032586700580168e-14, 6.803381469300263e-11, 1.8884879771086105e-11, 9.724943073052827e-12, 2.396813929272934e-08, 7.209828144040531e-06, 2.279433234466527e-06, 2.718541463331281e-07]",1.7803132638528896e-05,0.0,0.0,0.9999928869107062,True,225.0,0.49000000000000005,1e-05,banded ADMM with dual certificate,0.01906553300068481,49.0,49.0,8.0,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
burgers,pod_weak,POD only + weak,8,0.05,0,959db4b36c447025273c906a6d854a71d88f221c1e7f5821142d16503b5365b3,49,0.04,1.92,8,1,0.9895477775857838,1.0,0.01056262532337421,0.03,1,0.04761819902050201,0.04605408913794059,112,8,0.029994504249387578,49,ok,0.04261952099841437,,,,,,,,,,,,,,,,,,,,,,,,,,,,
burgers,raw_weak,Raw + weak,8,0.05,0,959db4b36c447025273c906a6d854a71d88f221c1e7f5821142d16503b5365b3,49,0.04,1.92,0,1,0.9895055085175108,1.0,0.010605793896197944,0.03,1,0.044751779272033214,0.04289061408172249,112,8,0.04912636431010304,49,ok,0.02770405499904882,,,,,,,,,,,,,,,,,,,,,,,,,,,,
burgers,tv_weak,TV states + weak,8,0.05,0,959db4b36c447025273c906a6d854a71d88f221c1e7f5821142d16503b5365b3,49,0.04,1.92,0,1,0.9904004384807206,1.0,0.009692606289638993,0.03,1,0.04252410528939977,0.040750884457736725,112,8,0.020604565001225577,49,ok,1.234523805000208,0.1,0.0032754731229119476,0.0,0.0,0.0,3.0,8.0,"[0.048861128203708006, 0.04382281105580901, 0.0476105883135334, 0.04136032494747843, 0.06004697230424893, 0.062307606576832986, 0.06026067843578714, 0.042625509998736245, 0.028888093878933797, 0.0539276809536955, 0.04833275131929357, 0.04127577460783918, 0.037670517146085485, 0.03479930372416531, 0.05449050620208646, 0.053716905459617444, 0.04024381512696681, 0.06899484968378791, 0.04733849313115709, 0.046420894237922325, 0.051420182598526175, 0.06293312914390523, 0.07740415643251879, 0.061859035482318955, 0.06456976441617968, 0.05537322733603412, 0.06000996977708044, 0.05943512596761161, 0.05692997716472262, 0.0679915139397707, 0.04636834722356985, 0.04108514201195775, 0.05201293722697334, 0.06784122139651397, 0.057099992172287485, 0.06404889142435247, 0.07929850356374361, 0.08105244308186382, 0.05159866393123447, 0.06925627132052649, 0.0781699385615596, 0.06095909653488571, 0.06282873000309488, 0.05259905481349199, 0.07108114791163485, 0.07546549880452967, 0.06253017952955307, 0.04541297818932759, 0.04203118656041806, 0.058223526464387915, 0.052426242487109795, 0.05072567685750514, 0.05647724126093372, 0.05702036569826003, 0.05324288337839592, 0.07180329423699014, 0.061594342040755735, 0.052927320485183095, 0.058164503047967366, 0.060186084738616155, 0.04978790333060083, 0.036868401239708935, 0.04581143850199772, 0.03442532743458747]","[0.04886112603481414, 0.04382281105580873, 0.047610588313532876, 0.04136032494657642, 0.06004697230400467, 0.062307598680618276, 0.06026067840593298, 0.04262550999873518, 0.02887908688842471, 0.05392763731199675, 0.04833275118156502, 0.04127408859233304, 0.037670438558660334, 0.03479918726907902, 0.05448691056165502, 0.053716878032719614, 0.040243815126964094, 0.06899442350251772, 0.047338493130448155, 0.046420857410326456, 0.05142018259362227, 0.0629331274217179, 0.07740415643251417, 0.061859035482312634, 0.06456976441617732, 0.055373227316332395, 0.06000996477741474, 0.05943511490511108, 0.05692997716471049, 0.0679915139397689, 0.04636834722356908, 0.041085142011957454, 0.05201293707064305, 0.06784108762830957, 0.057099992161700905, 0.0640473017300227, 0.07929850356374024, 0.0810523134245032, 0.051598663901648974, 0.06925627132052502, 0.07816993854621775, 0.06095909653488438, 0.06282873000308116, 0.052599054813490455, 0.07108114791163378, 0.07546549880452835, 0.06253014107884323, 0.04541297818888794, 0.04203096435309066, 0.05822352646364491, 0.05242624248710927, 0.05072567685750252, 0.056477210854795463, 0.05702036569825694, 0.0532428833762917, 0.07180329423681993, 0.06159434202912176, 0.052927316667361876, 0.05816450304796611, 0.06018608473861533, 0.049781967692860724, 0.036868119815978526, 0.04581143850199757, 0.03442532743458728]","[2.168893863119248e-09, 2.8449465006019636e-16, 5.273559366969494e-16, 9.020145741445162e-13, 2.4425600431143835e-13, 7.896214709868232e-09, 2.985416081013881e-11, 1.0685896612017132e-15, 9.006990509086849e-06, 4.364169875481494e-08, 1.377285507864201e-10, 1.6860155061457216e-06, 7.858742515076678e-08, 1.1645508628949086e-07, 3.5956404314391177e-06, 2.742689782925245e-08, 2.7131075164277263e-15, 4.261812701911172e-07, 7.089329123743937e-13, 3.6827595868704766e-08, 4.903903672026644e-12, 1.722187323305313e-09, 4.621303340002214e-15, 6.321332346459485e-15, 2.3592239273284576e-15, 1.9701726361454064e-11, 4.999665695337718e-09, 1.1062500526737296e-08, 1.2129186544029835e-14, 1.790234627208065e-15, 7.7021722333370235e-16, 2.983724378680108e-16, 1.5633028899175727e-10, 1.3376820440225146e-07, 1.0586580223570508e-11, 1.589694329770519e-06, 3.372302437298913e-15, 1.2965736062575672e-07, 2.9585493777073424e-11, 1.4710455076283324e-15, 1.534185278817546e-11, 1.3322676295501878e-15, 1.3725132141928498e-14, 1.5334955527634975e-15, 1.0685896612017132e-15, 1.3183898417423734e-15, 3.845070983832244e-08, 4.39648317751562e-13, 2.2220732739941518e-07, 7.430028814425782e-13, 5.273559366969494e-16, 2.6229018956769323e-15, 3.040613825305849e-08, 3.0878077872387166e-15, 2.104219576359867e-12, 1.702110674628443e-13, 1.1633978502789688e-11, 3.81782121888774e-09, 1.2559397966072083e-15, 8.257283745649602e-16, 5.935637740109301e-06, 2.8142373040968005e-07, 1.457167719820518e-16, 1.8735013540549517e-16]","[2.168893863119248e-09, 2.8449465006019636e-16, 5.273559366969494e-16, 9.020145741445162e-13, 2.4425600431143835e-13, 7.896214709868232e-09, 2.985416081013881e-11, 1.0685896612017132e-15, 9.006990509086849e-06, 4.364169875481494e-08, 1.377285507864201e-10, 1.6860155061457216e-06, 7.858742515076678e-08, 1.1645508628949086e-07, 3.5956404314391177e-06, 2.742689782925245e-08, 2.7131075164277263e-15, 4.261812701911172e-07, 7.089329123743937e-13, 3.6827595868704766e-08, 4.903903672026644e-12, 1.722187323305313e-09, 4.621303340002214e-15, 6.321332346459485e-15, 2.3592239273284576e-15, 1.9701726361454064e-11, 4.999665695337718e-09, 1.1062500526737296e-08, 1.2129186544029835e-14, 1.790234627208065e-15, 7.7021722333370235e-16, 2.983724378680108e-16, 1.5633028899175727e-10, 1.3376820440225146e-07, 1.0586580223570508e-11, 1.589694329770519e-06, 3.372302437298913e-15, 1.2965736062575672e-07, 2.9585493777073424e-11, 1.4710455076283324e-15, 1.534185278817546e-11, 1.3322676295501878e-15, 1.3725132141928498e-14, 1.5334955527634975e-15, 1.0685896612017132e-15, 1.3183898417423734e-15, 3.845070983832244e-08, 4.39648317751562e-13, 2.2220732739941518e-07, 7.430028814425782e-13, 5.273559366969494e-16, 2.6229018956769323e-15, 3.040613825305849e-08, 3.0878077872387166e-15, 2.104219576359867e-12, 1.702110674628443e-13, 1.1633978502789688e-11, 3.81782121888774e-09, 1.2559397966072083e-15, 8.257283745649602e-16, 5.935637740109301e-06, 2.8142373040968005e-07, 1.457167719820518e-16, 1.8735013540549517e-16]",9.006990509086849e-06,1.3724842409384985e-06,"[2.1688938509761835e-09, 2.8796409701215e-16, 5.386316392907986e-16, 9.020267172088481e-13, 2.442386570766786e-13, 7.896214675173763e-09, 2.9854144330265786e-11, 1.0521097881799335e-15, 9.006989260510086e-06, 4.3641683047761226e-08, 1.3772854211280272e-10, 1.6860150597788198e-06, 7.858742358084203e-08, 1.1645508563376539e-07, 3.595638055305106e-06, 2.7426896974033776e-08, 2.744332538995309e-15, 4.261809135961553e-07, 7.089346470978697e-13, 3.682759215639653e-08, 4.903884590068408e-12, 1.722187333713654e-09, 4.6178338930502605e-15, 6.276229536084088e-15, 2.329733628236852e-15, 1.970173676979492e-11, 4.999665580845969e-09, 1.1062500426123334e-08, 1.2122247650125928e-14, 1.8006429680639258e-15, 7.528699885739343e-16, 2.688821387764051e-16, 1.563303054716303e-10, 1.3376820123811584e-07, 1.0586573284676604e-11, 1.5896933176565153e-06, 3.3480163086352377e-15, 1.296573297511483e-07, 2.958548683817952e-11, 1.4710455076283324e-15, 1.5341793807577275e-11, 1.339206523454095e-15, 1.3686968225457008e-14, 1.5751289161869408e-15, 1.025221574302293e-15, 1.313185671314443e-15, 3.8450701881145855e-08, 4.396344399637542e-13, 2.2220730844929593e-07, 7.429950751869363e-13, 5.551115123125783e-16, 2.6124935548210715e-15, 3.040613793386937e-08, 3.1363800445660672e-15, 2.1042473319354826e-12, 1.7025790499669569e-13, 1.1633988911130544e-11, 3.81782119373425e-09, 1.2542050731312315e-15, 8.430756093247282e-16, 5.9356309049726774e-06, 2.814236256479946e-07, 1.457167719820518e-16, 1.717376241217039e-16]",1.0720428692212458e-05,0.0,0.0,0.9999876741276258,True,400.0,1.9600000000000002,1e-05,banded ADMM with dual certificate,0.12928306300091208,49.0,49.0,64.0,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
burgers,edmd_weak,EDMD + weak,8,0.05,1,584f08607bb610d8b924f30c838808025831b719584dac2f62d78952eed5f5ab,49,0.04,1.92,8,5,0.9971861744590382,1.0,0.0028217654967872623,0.01,1,0.03586038550718842,0.03538284184723877,112,8,0.031969848713401076,241,ok,0.06072786900040228,,,,,,,,,,,,,,,,,,,,,,,,,,,,
burgers,linear_weak,Linear q5 + weak,8,0.05,1,584f08607bb610d8b924f30c838808025831b719584dac2f62d78952eed5f5ab,49,0.04,1.92,0,5,0.997242894665779,1.0,0.0027647279804836012,0.01,1,0.03634648312970968,0.03593008999811043,112,8,0.04147943745039884,241,ok,0.042485034002311295,,,,,,,,,,,,,,,,,,,,,,,,,,,,
burgers,pod_tv_weak,POD + TV states + weak,8,0.05,1,584f08607bb610d8b924f30c838808025831b719584dac2f62d78952eed5f5ab,49,0.04,1.92,8,1,0.9975948056398946,1.0,0.002410993267514716,0.01,1,0.03491181505308296,0.03447539946555816,112,8,0.020811756573298274,49,ok,1.2250893419986824,0.1,0.003099035523810175,0.0,0.0,0.0,3.0,64.0,"[0.08788459003103054, 0.07983395281748437, 0.09132032371031554, 0.13802134012218886, 0.08803225944458537, 0.1333038987443312, 0.1672656588146404, 0.20021618313277642]","[0.087884590030845, 0.07982629524527259, 0.09132026961348284, 0.13802134012217437, 0.08803225935577261, 0.13330315081071206, 0.1672656568972694, 0.20021558995505723]","[1.8553214520267147e-13, 7.65757221178609e-06, 5.409683269397281e-08, 1.4488410471358293e-14, 8.881276269967486e-11, 7.479336191495989e-07, 1.9173709842057463e-09, 5.931777191936494e-07]","[1.8553214520267147e-13, 7.65757221178609e-06, 5.409683269397281e-08, 1.4488410471358293e-14, 8.881276269967486e-11, 7.479336191495989e-07, 1.9173709842057463e-09, 5.931777191936494e-07]",7.65757221178609e-06,5.864669846422643e-07,"[1.8552520630876757e-13, 7.657571394717455e-06, 5.409683234702811e-08, 1.452310494087783e-14, 8.881274188299315e-11, 7.479335812493604e-07, 1.9173709703279584e-09, 5.931776936064781e-07]",1.4838979176867717e-05,0.0,0.0,0.9999951864543196,True,250.0,0.49000000000000005,1e-05,banded ADMM with dual certificate,0.021039068000391126,49.0,49.0,8.0,0.5*sum_train((z-y)^2)+lambda*sum(abs(Bz))
burgers,pod_weak,POD only + weak,8,0.05,1,584f08607bb610d8b924f30c838808025831b719584dac2f62d78952eed5f5ab,49,0.04,1.92,8,1,0.9972664055479299,1.0,0.0027410874735804905,0.01,1,0.035879196065939166,0.0354232464144991,112,8,0.030303716244697868,49,ok,0.03534813199803466,,,,,,,,,,,,,,,,,,,,,,,,,,,,
