system,method,method_label,support_f1_mean,coef_error_median,practical_score_mean,exact_support_rate,state_error_median,n_ok
burgers,edmd_weak,EDMD + weak,0.9044444444444444,0.01591522995842385,0.8862786816433544,0.7,0.0921446610043482,30
burgers,linear_weak,Linear q5 + weak,0.9333333333333333,0.0131722046731017,0.9176087153115039,0.8,0.08291106719371645,30
burgers,pod_tv_weak,POD + TV states + weak,0.9266666666666666,0.0110998645398463,0.910705004050337,0.7666666666666667,0.054699618308041445,30
burgers,pod_weak,POD only + weak,0.9155555555555555,0.0151991195272301,0.8978779124562628,0.7333333333333333,0.07595378511332534,30
burgers,raw_weak,Raw + weak,0.9333333333333333,0.0138242022227718,0.9175309939362393,0.8,0.1003802050894427,30
burgers,tv_weak,TV states + weak,0.9222222222222223,0.0107479153931533,0.90662174890964,0.7666666666666667,0.05526727639878565,30
vanderpol_mu2,edmd_weak,EDMD + weak,0.8726527176527177,0.0496538455785602,0.7439702397057688,0.5666666666666667,0.0965239482653373,30
vanderpol_mu2,linear_weak,Linear q5 + weak,0.9157671957671957,0.13483902021012412,0.7673850946938011,0.6666666666666666,0.0903894488569324,30
vanderpol_mu2,raw_weak,Raw + weak,0.9398412698412699,0.09293549405917034,0.8059946456001714,0.7,0.09866578689900679,30
vanderpol_mu2,tv_weak,TV states + weak,0.9421260221260221,0.0743827463420017,0.8134595212890255,0.7333333333333333,0.0701787855056877,30
