system,method,method_label,sparse_factor,obs_dt,noise,n_planned,support_f1_mean,support_f1_se,coef_error_median,coef_error_mean,coef_error_se,practical_score_mean,practical_score_se,exact_support_rate,state_error_median,weak_truth_residual_median,n_ok
burgers,edmd_weak,EDMD + weak,8,0.04,0.05,5,1.0,0.0,0.0028217654967872,0.00530264006618766,0.0019735914875011226,0.9947406419245297,0.0019499368631598923,1.0,0.0313351244405733,0.0365057966311568,5
burgers,edmd_weak,EDMD + weak,8,0.04,0.1,5,1.0,0.0,0.004931107698149,0.00845604863096114,0.0032364621605963976,0.9916554980701724,0.0031659221191595505,1.0,0.0679672682219648,0.078060861772911,5
burgers,edmd_weak,EDMD + weak,8,0.04,0.2,5,0.96,0.03999999999999999,0.0255914855493343,0.025986792137073157,0.006908171289640741,0.9366866572898449,0.04354782623857321,0.8,0.1398369728387299,0.1335467519025237,5
burgers,edmd_weak,EDMD + weak,32,0.16,0.05,5,1.0,0.0,0.0096819149651736,0.007548689127878561,0.0018684688914049768,0.9925215326778046,0.0018423107696261926,1.0,0.0473517037234944,0.0910450896479827,5
burgers,edmd_weak,EDMD + weak,32,0.16,0.1,5,0.8,0.0816496580927726,0.0507930295646961,0.042955430369969884,0.007923383975846654,0.7695249123697419,0.08441400174728478,0.4,0.1141107694309472,0.1808793040585745,5
burgers,edmd_weak,EDMD + weak,32,0.16,0.2,5,0.6666666666666666,0.0,0.0529077745166843,0.05396744637680284,0.0023247198273122047,0.6325428475280335,0.0013875987185217851,0.0,0.2032473043984377,0.2895085922571597,5
burgers,linear_weak,Linear q5 + weak,8,0.04,0.05,5,1.0,0.0,0.0027647279804836,0.00532868124872026,0.0019761879098519897,0.9947149132508235,0.0019522389339347507,1.0,0.0407625570936092,0.0376158175773956,5
burgers,linear_weak,Linear q5 + weak,8,0.04,0.1,5,1.0,0.0,0.0038401307561288,0.008548561257168059,0.003550068567055781,0.9915727543595437,0.0034700215008289753,1.0,0.0836076062953759,0.075471272895386,5
burgers,linear_weak,Linear q5 + weak,8,0.04,0.2,5,1.0,0.0,0.0184273683152709,0.017613360391029582,0.004020995535074005,0.9827531320159839,0.0038994440167380534,1.0,0.1647067150977744,0.1748568752206266,5
burgers,linear_weak,Linear q5 + weak,32,0.16,0.05,5,1.0,0.0,0.0089132303451061,0.007089390451064501,0.0018981845301488122,0.992974640977782,0.0018736258472864162,1.0,0.0414302709421004,0.0854553839871344,5
burgers,linear_weak,Linear q5 + weak,32,0.16,0.1,5,0.9333333333333332,0.06666666666666668,0.0210796679101808,0.028094019698842697,0.00810870139365942,0.9100175039757131,0.07028557716428645,0.8,0.082541000069178,0.1625211963305395,5
burgers,linear_weak,Linear q5 + weak,32,0.16,0.2,5,0.6666666666666666,0.0,0.050864244284003,0.05216550060629738,0.001548339468814781,0.633619347289177,0.0009285869639556608,0.0,0.1663662278205413,0.2834157995536874,5
burgers,pod_tv_weak,POD + TV states + weak,8,0.04,0.05,5,1.0,0.0,0.0024109932675147,0.005350317970591779,0.001908418488076862,0.9946924688753201,0.0018850518638267848,1.0,0.0208117565732982,0.0349118150530829,5
burgers,pod_tv_weak,POD + TV states + weak,8,0.04,0.1,5,1.0,0.0,0.0043147378896306,0.00799939917229772,0.0027858260905147666,0.9920942688706079,0.0027305280214168183,1.0,0.0376508474244768,0.0581415321285408,5
burgers,pod_tv_weak,POD + TV states + weak,8,0.04,0.2,5,0.9333333333333332,0.06666666666666668,0.0186246467771536,0.02091793734815866,0.00913181995576978,0.9165728402128963,0.07112489294029303,0.8,0.0709076902163202,0.109668809133879,5
burgers,pod_tv_weak,POD + TV states + weak,32,0.16,0.05,5,1.0,0.0,0.0092875675593639,0.00751613727385792,0.001638061710368676,0.992550439680733,0.0016154828129231972,1.0,0.0406691968426476,0.0790579740719693,5
burgers,pod_tv_weak,POD + TV states + weak,32,0.16,0.1,5,0.8666666666666666,0.08164965809277262,0.0285413857914547,0.03444623031505474,0.008737527420602605,0.8405914713041451,0.08522027291462526,0.6,0.0667089564581699,0.1364675043391364,5
burgers,pod_tv_weak,POD + TV states + weak,32,0.16,0.2,5,0.76,0.0653197264742181,0.0537870894199414,0.04693238044350088,0.007174438724915877,0.7277285353583196,0.06827981111970058,0.2,0.1171097171913634,0.1942078509422506,5
burgers,pod_weak,POD only + weak,8,0.04,0.05,5,1.0,0.0,0.0027410874735804,0.00528716072690274,0.0019768196192623366,0.9947560086782825,0.0019530851277963005,1.0,0.0299945042493875,0.0363051693509287,5
burgers,pod_weak,POD only + weak,8,0.04,0.1,5,1.0,0.0,0.0050017218032525,0.00877109435426992,0.003171908476136889,0.9913441528997022,0.003099578892593842,1.0,0.0637069720830687,0.0775461408468789,5
burgers,pod_weak,POD only + weak,8,0.04,0.2,5,0.96,0.03999999999999999,0.0253419495445541,0.02633556690248346,0.006313088437276348,0.9362593859751046,0.043084335493801536,0.8,0.1263130828638074,0.1347369964627864,5
burgers,pod_weak,POD only + weak,32,0.16,0.05,5,1.0,0.0,0.0097490445579486,0.00755878933110962,0.001726771405128339,0.9925095917620753,0.0017029876894853486,1.0,0.0439643548104295,0.0813674412546099,5
burgers,pod_weak,POD only + weak,32,0.16,0.1,5,0.8666666666666666,0.08164965809277262,0.0232058786022908,0.03585950187056628,0.008711168519864093,0.8394994057968089,0.085219253593629,0.6,0.0905689437196261,0.1613837806264063,5
burgers,pod_weak,POD only + weak,32,0.16,0.2,5,0.6666666666666666,0.0,0.0521821946054686,0.053369855038139936,0.002043769097659069,0.6328989296256035,0.0012216529218296024,0.0,0.1813340628030717,0.2648787835891353,5
burgers,raw_weak,Raw + weak,8,0.04,0.05,5,1.0,0.0,0.0027005407820755,0.00532801443971324,0.001988130728546694,0.9947157590416527,0.0019640276738621763,1.0,0.0492280321818937,0.0376392340773882,5
burgers,raw_weak,Raw + weak,8,0.04,0.1,5,1.0,0.0,0.0038104003415765,0.0084622692778871,0.003523413341300929,0.9916568800578786,0.0034446758182232664,1.0,0.1014331043651453,0.0754626525629979,5
burgers,raw_weak,Raw + weak,8,0.04,0.2,5,1.0,0.0,0.0175777023009956,0.01764829180431032,0.0038774960282581625,0.982715056066569,0.0037588419900859405,1.0,0.1994628001489278,0.1749455595352523,5
burgers,raw_weak,Raw + weak,32,0.16,0.05,5,1.0,0.0,0.0090940569769494,0.0073138678003264205,0.0019681762062666625,0.9927544054199737,0.0019408753213691525,1.0,0.0491904408151779,0.0856846224100706,5
burgers,raw_weak,Raw + weak,32,0.16,0.1,5,0.9333333333333332,0.06666666666666668,0.0214521318534461,0.028340237894220282,0.00805779493701034,0.9097908379998474,0.07024932261547223,0.8,0.0998416381960738,0.1619438069106765,5
burgers,raw_weak,Raw + weak,32,0.16,0.2,5,0.6666666666666666,0.0,0.0510445961802553,0.05227642624150376,0.0016139615845982445,0.6335530250315142,0.0009675496940470534,0.0,0.1996006051596927,0.2834523917891521,5
