setting,system,method,strategy,mean_support_f1,median_coef_error,mean_practical_score
ODE,lorenz63,edmd_poly3,baseline,0.6154211801270625,1.0290418735806783,0.30291422607376506
ODE,lorenz63,edmd_poly3,global_rollout,0.44781540501122546,1.9043526246793938,0.1432424276165689
ODE,lorenz63,edmd_poly3,local_reset,0.5270672911539784,1.1067857779812957,0.23473075584129016
ODE,lorenz63,edmd_poly3,residual_corrected,0.5466686370904636,1.087448193765134,0.24328685489420282
ODE,lorenz63,edmd_poly3,two_sided,0.509855987837412,1.5631000828468387,0.1927554296341451
ODE,lorenz63,edmd_rbf,baseline,0.6154211801270625,1.0290418735806783,0.30291422607376506
ODE,lorenz63,edmd_rbf,global_rollout,0.4488000672843855,1.2513785360338328,0.19295949557614764
ODE,lorenz63,edmd_rbf,local_reset,0.5405400089473965,1.3320691865510024,0.23201833583877537
ODE,lorenz63,edmd_rbf,residual_corrected,0.48442874609051073,1.3355871261722547,0.20409537485298773
ODE,lorenz63,edmd_rbf,two_sided,0.49541799686225085,1.1509552626845962,0.21028284664546143
ODE,vanderpol_mu2,edmd_poly3,baseline,0.9944444444444445,0.34558824113842734,0.7417064092599851
ODE,vanderpol_mu2,edmd_poly3,global_rollout,0.7447005772005773,0.971691014308462,0.38078560600887856
ODE,vanderpol_mu2,edmd_poly3,local_reset,0.9717460317460317,0.0798541031712698,0.8947629215505334
ODE,vanderpol_mu2,edmd_poly3,residual_corrected,0.9888888888888889,0.11349044007456105,0.8909449949022068
ODE,vanderpol_mu2,edmd_poly3,two_sided,0.9283730158730158,0.1496675362731083,0.7885751243153776
ODE,vanderpol_mu2,edmd_rbf,baseline,0.9944444444444445,0.34558824113842734,0.7417064092599851
ODE,vanderpol_mu2,edmd_rbf,global_rollout,0.6875432900432901,0.9191013441513731,0.3520541689453144
ODE,vanderpol_mu2,edmd_rbf,local_reset,0.9496031746031747,0.12119947193542621,0.8208211204736828
ODE,vanderpol_mu2,edmd_rbf,residual_corrected,0.9888888888888889,0.1130161238683508,0.8905828181085165
ODE,vanderpol_mu2,edmd_rbf,two_sided,0.819484126984127,0.36723100382163687,0.6226731376060943
PDE,burgers,pod_edmd_rbf,baseline,0.6666666666666666,0.7457258610928631,0.3812640785644379
PDE,burgers,pod_edmd_rbf,global_rollout,0.6222222222222222,0.7026085282410817,0.3612046088978435
PDE,burgers,pod_edmd_rbf,local_reset,0.6222222222222222,0.7026122392841112,0.36120435779629545
PDE,burgers,pod_edmd_rbf,residual_corrected,0.5866666666666667,0.7503071401197148,0.33411347144489606
PDE,burgers,pod_edmd_rbf,two_sided,0.6222222222222222,0.7026124193127546,0.36120433964837056
PDE,fisher_kpp,pod_edmd_rbf,baseline,0.8,0.05277705856245685,0.7615073282427154
PDE,fisher_kpp,pod_edmd_rbf,global_rollout,0.8,0.0483839746803915,0.7549751509449185
PDE,fisher_kpp,pod_edmd_rbf,local_reset,0.8,0.0483510258407737,0.754977509964312
PDE,fisher_kpp,pod_edmd_rbf,residual_corrected,0.7771428571428572,0.05948660427852035,0.71555806439016
PDE,fisher_kpp,pod_edmd_rbf,two_sided,0.8,0.048351033397511595,0.7549775058372262
